,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
18347,Pakistan,PAK,2021-05-11,3705244.0,2811726.0,952518.0,78.0,227352130.0,1.2367273620880526
18348,Pakistan,PAK,2021-05-13,3836291.0,2931064.0,964227.0,104.0,227352130.0,1.2892177434185463
18349,Pakistan,PAK,2021-05-20,4747033.0,3647933.0,1156893.0,104.0,227352130.0,1.604529942165046
18350,Pakistan,PAK,2021-05-21,4956853.0,3825314.0,1193441.0,131.0,227352130.0,1.6825503240281936
18351,Pakistan,PAK,2021-05-24,5358808.0,4144175.0,1286429.0,74.0,227352130.0,1.822800164660872
18352,Pakistan,PAK,2021-05-27,6130509.0,4693390.0,1513144.0,65.0,227352130.0,2.0643703667962114
18353,Pakistan,PAK,2021-06-01,7337187.0,5478069.0,1985005.0,43.0,227352130.0,2.4095085451805534
18354,Pakistan,PAK,2021-06-02,7648481.0,5706680.0,2076600.0,71.0,227352130.0,2.5100622545300104
18355,Pakistan,PAK,2021-06-03,7953574.0,5920955.0,2174169.0,80.0,227352130.0,2.604310326892473
18356,Pakistan,PAK,2021-06-05,8263763.0,6364470.0,2310115.0,83.0,227352130.0,2.799388771945968
18357,Pakistan,PAK,2021-06-09,9559910.0,7281817.0,2540238.0,53.0,227352130.0,3.202880483239809
18358,Pakistan,PAK,2021-06-12,10496228.0,8133654.0,2851063.0,47.0,227352130.0,3.577557861454828
18359,Pakistan,PAK,2021-06-13,10696402.0,8323060.0,2883959.0,57.0,227352130.0,3.6608673954363216
18360,Pakistan,PAK,2021-06-15,11085787.0,8908051.0,3006048.0,34.0,227352130.0,3.918173539874027
18361,Pakistan,PAK,2021-06-16,11745889.0,9308890.0,3107671.0,59.0,227352130.0,4.094481102948101
18362,Pakistan,PAK,2021-07-26,25248858.0,20060157.0,5188701.0,45.0,227352130.0,8.82338643583414
18363,Pakistan,PAK,2021-08-09,38722292.0,30921232.0,10897649.0,68.0,227352130.0,13.600590414525696
18364,Pakistan,PAK,2021-08-10,39712007.0,31779365.0,11229247.0,53.0,227352130.0,13.978037065234444
18365,Pakistan,PAK,2021-08-11,40664110.0,32607884.0,11497462.0,86.0,227352130.0,14.342458106726337
18366,Pakistan,PAK,2021-08-12,41467713.0,33301594.0,11646699.0,81.0,227352130.0,14.64758390431618
18367,Pakistan,PAK,2021-08-13,42173424.0,33908397.0,11956552.0,102.0,227352130.0,14.91448397690402
18368,Pakistan,PAK,2021-08-15,42688545.0,34343317.0,12104373.0,73.0,227352130.0,15.1057819427511
18369,Pakistan,PAK,2021-08-17,44322217.0,35564636.0,12658359.0,72.0,227352130.0,15.642974622670128
18370,Pakistan,PAK,2021-08-18,44736977.0,35873735.0,12795662.0,95.0,227352130.0,15.778930683429268
18371,Pakistan,PAK,2021-08-20,45540221.0,36458408.0,13022591.0,74.0,227352130.0,16.03609695673403
18372,Pakistan,PAK,2021-08-21,46456077.0,37043561.0,13434605.0,70.0,227352130.0,16.293474356277198
18373,Pakistan,PAK,2021-08-24,47802106.0,37923650.0,13970584.0,80.0,227352130.0,16.680578273007605
18374,Pakistan,PAK,2021-08-26,50985184.0,39951787.0,15269699.0,141.0,227352130.0,17.572646889211022
18375,Pakistan,PAK,2021-08-29,53314628.0,41477587.0,16171867.0,120.0,227352130.0,18.243764419537214
18376,Pakistan,PAK,2021-08-31,56768446.0,43791885.0,17455249.0,66.0,227352130.0,19.261699901382052
18377,Pakistan,PAK,2021-09-01,58156714.0,44701679.0,18004529.0,118.0,227352130.0,19.661869453345343
18378,Pakistan,PAK,2021-09-02,59384758.0,45498115.0,18512319.0,101.0,227352130.0,20.01217890503159
18379,Pakistan,PAK,2021-09-05,61724580.0,47054090.0,19427419.0,79.0,227352130.0,20.696568798365774
18380,Pakistan,PAK,2021-09-06,63319214.0,48106755.0,20058377.0,61.0,227352130.0,21.15957963534364
18381,Pakistan,PAK,2021-09-07,64554859.0,48943904.0,20525969.0,57.0,227352130.0,21.527796550663503
18382,Pakistan,PAK,2021-09-08,65505999.0,49572385.0,20912015.0,98.0,227352130.0,21.804231611993256
18383,Pakistan,PAK,2021-09-09,66456245.0,50195479.0,21292706.0,83.0,227352130.0,22.078297221143256
18384,Pakistan,PAK,2021-09-10,67342288.0,50803582.0,21613626.0,84.0,227352130.0,22.345769093960104
18385,Pakistan,PAK,2021-09-12,68227337.0,51390802.0,21962455.0,82.0,227352130.0,22.6040556558674
18386,Pakistan,PAK,2021-09-14,70402987.0,52798836.0,22873298.0,67.0,227352130.0,23.223374243293872
18387,Pakistan,PAK,2021-09-16,71311567.0,53396378.0,23241257.0,73.0,227352130.0,23.486200899019508
18388,Pakistan,PAK,2021-09-17,72986511.0,54436916.0,23966026.0,66.0,227352130.0,23.943877719553363
18389,Pakistan,PAK,2021-09-19,73831778.0,54919437.0,24376310.0,63.0,227352130.0,24.15611281055515
18390,Pakistan,PAK,2021-09-20,74837117.0,55490525.0,24868018.0,71.0,227352130.0,24.407303771466754
18391,Pakistan,PAK,2021-09-22,76141484.0,56229457.0,25493964.0,81.0,227352130.0,24.73232029979222
18392,Pakistan,PAK,2021-09-27,79533208.0,57897219.0,27331678.0,42.0,227352130.0,25.46587929481901
18393,Pakistan,PAK,2021-09-28,80508569.0,58405873.0,27405873.0,31.0,227352130.0,25.68960888996289
18394,Pakistan,PAK,2021-09-30,82830350.0,59565195.0,29054821.0,52.0,227352130.0,26.19953241696042
18395,Pakistan,PAK,2021-10-04,86630655.0,61538995.0,31020211.0,35.0,227352130.0,27.0677011031302
18396,Pakistan,PAK,2021-10-05,87741079.0,62076090.0,31632731.0,27.0,227352130.0,27.30394036774584
18397,Pakistan,PAK,2021-10-07,89719686.0,63046740.0,32723061.0,39.0,227352130.0,27.730877207968096
18398,Pakistan,PAK,2021-10-11,92597193.0,64463928.0,34299139.0,19.0,227352130.0,28.354222148699463
18399,Pakistan,PAK,2021-10-12,93551193.0,64947702.0,34809848.0,28.0,227352130.0,28.567008367152752
18400,Pakistan,PAK,2021-10-20,98607708.0,67580193.0,37468751.0,20.0,227352130.0,29.724899872281824
18401,Pakistan,PAK,2021-10-21,99335067.0,67956040.0,37855681.0,12.0,227352130.0,29.890214795876336
18402,Pakistan,PAK,2021-10-23,100741762.0,68666464.0,38596890.0,16.0,227352130.0,30.20269218502593
18403,Pakistan,PAK,2021-10-26,102067945.0,69341110.0,39303110.0,9.0,227352130.0,30.499432752180507
18404,Pakistan,PAK,2021-10-28,103514198.0,70139040.0,40016932.0,13.0,227352130.0,30.850399334283782
18405,Pakistan,PAK,2021-11-01,105881931.0,71328306.0,41319385.0,10.0,227352130.0,31.37349361978707
18406,Pakistan,PAK,2021-11-02,106984156.0,71907993.0,41902093.0,7.0,227352130.0,31.628466819290413
