,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
19274,Philippines,PHL,2021-03-30,738913.0,737569.0,1344.0,16.0,111785254.0,0.6598088509956779
19275,Philippines,PHL,2021-04-05,855457.0,826607.0,28850.0,2.0,111785254.0,0.7394597859928823
19276,Philippines,PHL,2021-04-06,922898.0,872213.0,50685.0,10.0,111785254.0,0.7802576536615464
19277,Philippines,PHL,2021-04-11,1139644.0,1007356.0,132288.0,224.0,111785254.0,0.9011528479418224
19278,Philippines,PHL,2021-04-12,1202297.0,1053256.0,149041.0,201.0,111785254.0,0.9422137198883138
19279,Philippines,PHL,2021-04-13,1255716.0,1093651.0,162065.0,204.0,111785254.0,0.9783499709183466
19280,Philippines,PHL,2021-04-17,1456793.0,1264811.0,191982.0,144.0,111785254.0,1.1314649783772015
19281,Philippines,PHL,2021-04-18,1477757.0,1279223.0,198534.0,72.0,111785254.0,1.144357555424976
19282,Philippines,PHL,2021-04-20,1562563.0,1353107.0,209456.0,88.0,111785254.0,1.2104521406732234
19283,Philippines,PHL,2021-04-21,1612420.0,1397628.0,214792.0,93.0,111785254.0,1.250279397316573
19284,Philippines,PHL,2021-04-24,1753465.0,1522696.0,230769.0,159.0,111785254.0,1.3621617749332124
19285,Philippines,PHL,2021-04-26,1767940.0,1529948.0,237992.0,109.0,111785254.0,1.3686492137862836
19286,Philippines,PHL,2021-04-27,1809801.0,1562815.0,246986.0,70.0,111785254.0,1.3980511239881426
19287,Philippines,PHL,2021-04-29,1880975.0,1614420.0,266555.0,115.0,111785254.0,1.4442155313258045
19288,Philippines,PHL,2021-04-30,1919851.0,1639806.0,280045.0,114.0,111785254.0,1.4669251456010468
19289,Philippines,PHL,2021-05-01,1941196.0,1656643.0,284553.0,89.0,111785254.0,1.4819870606547083
19290,Philippines,PHL,2021-05-03,1999214.0,1689829.0,309385.0,77.0,111785254.0,1.5116743394437335
19291,Philippines,PHL,2021-05-04,2065235.0,1744649.0,320586.0,94.0,111785254.0,1.5607147969623971
19292,Philippines,PHL,2021-05-05,2129185.0,1786480.0,342705.0,97.0,111785254.0,1.598135653920865
19293,Philippines,PHL,2021-05-07,2314377.0,1892934.0,421443.0,191.0,111785254.0,1.6933664613760238
19294,Philippines,PHL,2021-05-08,2395494.0,1951698.0,443796.0,108.0,111785254.0,1.7459351123360154
19295,Philippines,PHL,2021-05-09,2408781.0,1957511.0,451270.0,170.0,111785254.0,1.7511352615435305
19296,Philippines,PHL,2021-05-11,2542066.0,2024953.0,517113.0,90.0,111785254.0,1.8114670115612923
