,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
19356,Poland,POL,2021-01-17,469466.0,468795.0,671.0,142.0,37769264.0,1.2412076655769622
19357,Poland,POL,2021-01-18,495164.0,491696.0,3468.0,52.0,37769264.0,1.301841624448917
19358,Poland,POL,2021-01-19,541229.0,530055.0,11174.0,291.0,37769264.0,1.4034030422197266
19359,Poland,POL,2021-01-20,591785.0,566793.0,24992.0,443.0,37769264.0,1.5006726104061756
19360,Poland,POL,2021-01-21,644999.0,605313.0,39686.0,419.0,37769264.0,1.6026603007143585
19361,Poland,POL,2021-01-22,684277.0,638798.0,45479.0,346.0,37769264.0,1.691317045521459
19362,Poland,POL,2021-01-23,701164.0,654184.0,46980.0,346.0,37769264.0,1.7320538732234765
19363,Poland,POL,2021-01-24,707474.0,659753.0,47721.0,110.0,37769264.0,1.7467986667677715
19364,Poland,POL,2021-01-25,776987.0,701222.0,75765.0,38.0,37769264.0,1.8565942931797663
19365,Poland,POL,2021-01-26,905457.0,782413.0,123044.0,264.0,37769264.0,2.0715600918249293
19366,Poland,POL,2021-01-27,1008253.0,858474.0,149779.0,389.0,37769264.0,2.2729434176954046
19367,Poland,POL,2021-01-28,1097036.0,917908.0,179128.0,389.0,37769264.0,2.430304175373923
19368,Poland,POL,2021-01-29,1141081.0,945600.0,195481.0,336.0,37769264.0,2.5036230518021214
19369,Poland,POL,2021-01-30,1156931.0,958453.0,198478.0,303.0,37769264.0,2.5376533680931668
19370,Poland,POL,2021-01-31,1176904.0,976367.0,200537.0,98.0,37769264.0,2.5850834689285973
19371,Poland,POL,2021-02-01,1231716.0,998587.0,233129.0,42.0,37769264.0,2.643914374397129
19372,Poland,POL,2021-02-02,1342435.0,1053245.0,289190.0,253.0,37769264.0,2.788629929352078
19373,Poland,POL,2021-02-03,1461578.0,1117146.0,344432.0,421.0,37769264.0,2.957817764201071
19374,Poland,POL,2021-02-04,1566604.0,1171229.0,395375.0,444.0,37769264.0,3.1010109172368305
19375,Poland,POL,2021-02-05,1617764.0,1193034.0,424730.0,368.0,37769264.0,3.158743045668033
19376,Poland,POL,2021-02-06,1641158.0,1200793.0,440365.0,283.0,37769264.0,3.179286204782809
19377,Poland,POL,2021-02-07,1656708.0,1206212.0,450496.0,93.0,37769264.0,3.19363385000036
19378,Poland,POL,2021-02-09,1773715.0,1291569.0,482146.0,227.0,37769264.0,3.419629781506995
19379,Poland,POL,2021-02-11,1993739.0,1413132.0,580607.0,456.0,37769264.0,3.7414867284678888
19380,Poland,POL,2021-02-12,2071009.0,1446102.0,624907.0,247.0,37769264.0,3.8287799306864967
19381,Poland,POL,2021-02-13,2107089.0,1466439.0,640650.0,284.0,37769264.0,3.882625300826619
19382,Poland,POL,2021-02-14,2122245.0,1476274.0,645971.0,98.0,37769264.0,3.9086649927835504
19383,Poland,POL,2021-02-15,2159146.0,1500911.0,658235.0,25.0,37769264.0,3.973895281623703
19384,Poland,POL,2021-02-16,2230117.0,1538737.0,691380.0,196.0,37769264.0,4.074045499006811
19385,Poland,POL,2021-02-17,2384794.0,1610734.0,774060.0,279.0,37769264.0,4.264668752878001
19386,Poland,POL,2021-02-18,2556999.0,1691115.0,865884.0,273.0,37769264.0,4.47748995055874
19387,Poland,POL,2021-02-19,2660776.0,1743841.0,916935.0,241.0,37769264.0,4.61709023506521
19388,Poland,POL,2021-02-20,2697815.0,1772133.0,925682.0,254.0,37769264.0,4.69199770480039
19389,Poland,POL,2021-02-21,2715159.0,1785194.0,929965.0,94.0,37769264.0,4.726578733437855
19390,Poland,POL,2021-02-22,2759436.0,1824654.0,934782.0,17.0,37769264.0,4.831055219926975
19391,Poland,POL,2021-02-24,2990683.0,1959165.0,1031518.0,372.0,37769264.0,5.1871940104525205
19392,Poland,POL,2021-02-26,3269812.0,2101754.0,1168058.0,259.0,37769264.0,5.564720562201053
19393,Poland,POL,2021-02-28,3336354.0,2149607.0,1186747.0,114.0,37769264.0,5.691418821399327
19394,Poland,POL,2021-03-01,3383426.0,2190526.0,1192900.0,24.0,37769264.0,5.799758237279922
19395,Poland,POL,2021-03-03,3619316.0,2338137.0,1281179.0,309.0,37769264.0,6.190581315007885
19396,Poland,POL,2021-03-04,3791577.0,2424929.0,1366648.0,289.0,37769264.0,6.420376632173716
19397,Poland,POL,2021-03-06,3951104.0,2526389.0,1424715.0,245.0,37769264.0,6.689007760384211
19398,Poland,POL,2021-03-08,4004734.0,2570094.0,1434640.0,32.0,37769264.0,6.804723544520222
19399,Poland,POL,2021-03-09,4086863.0,2641693.0,1445170.0,282.0,37769264.0,6.994293031497781
19400,Poland,POL,2021-03-11,4391256.0,2835856.0,1555400.0,375.0,37769264.0,7.50836976860338
19401,Poland,POL,2021-03-12,4487273.0,2891753.0,1595520.0,351.0,37769264.0,7.656365768737245
19402,Poland,POL,2021-03-13,4517537.0,2914792.0,1602745.0,343.0,37769264.0,7.717365104069806
19403,Poland,POL,2021-03-14,4530783.0,2924629.0,1606154.0,110.0,37769264.0,7.74341009133776
19404,Poland,POL,2021-03-15,4557060.0,2946767.0,1610293.0,28.0,37769264.0,7.802023889054338
19405,Poland,POL,2021-03-16,4605929.0,2984642.0,1621287.0,372.0,37769264.0,7.902303841557516
19406,Poland,POL,2021-03-17,4738902.0,3074378.0,1664524.0,453.0,37769264.0,8.1398938565496
19407,Poland,POL,2021-03-18,4893320.0,3162971.0,1730349.0,356.0,37769264.0,8.374457601291887
19408,Poland,POL,2021-03-19,4983494.0,3213724.0,1769770.0,419.0,37769264.0,8.5088340614739
19409,Poland,POL,2021-03-20,5014167.0,3233998.0,1780169.0,349.0,37769264.0,8.56251262931679
19410,Poland,POL,2021-03-21,5026182.0,3242462.0,1783720.0,140.0,37769264.0,8.58492238556727
19411,Poland,POL,2021-03-22,5077928.0,3289482.0,1788446.0,65.0,37769264.0,8.70941514772435
19412,Poland,POL,2021-03-23,5193835.0,3385827.0,1808008.0,396.0,37769264.0,8.964503517992831
19413,Poland,POL,2021-03-24,5381726.0,3524209.0,1857517.0,575.0,37769264.0,9.330891383003916
19414,Poland,POL,2021-03-26,5755551.0,3785646.0,1969905.0,443.0,37769264.0,10.023086496999252
19415,Poland,POL,2021-03-28,5882581.0,3889970.0,1992611.0,131.0,37769264.0,10.29930051059507
19416,Poland,POL,2021-03-30,6081824.0,4062784.0,2019040.0,461.0,37769264.0,10.756852450182771
19417,Poland,POL,2021-03-31,6270976.0,4231313.0,2039663.0,653.0,37769264.0,11.203059185903118
19418,Poland,POL,2021-04-01,6462769.0,4404565.0,2058204.0,621.0,37769264.0,11.661770798604918
19419,Poland,POL,2021-04-02,6614819.0,4544816.0,2070003.0,497.0,37769264.0,12.033107131767249
19420,Poland,POL,2021-04-04,6658909.0,4585575.0,2073334.0,204.0,37769264.0,12.141022922765982
19421,Poland,POL,2021-04-05,6665384.0,4591351.0,2074033.0,64.0,37769264.0,12.156315781001188
19422,Poland,POL,2021-04-07,6999652.0,4909594.0,2090058.0,638.0,37769264.0,12.998913613990466
19423,Poland,POL,2021-04-08,7263426.0,5167241.0,2096185.0,954.0,37769264.0,13.681074113596706
19424,Poland,POL,2021-04-10,7635264.0,5529714.0,2105550.0,749.0,37769264.0,14.640777749865604
19425,Poland,POL,2021-04-11,7687617.0,5581068.0,2106549.0,245.0,37769264.0,14.776745451010113
19426,Poland,POL,2021-04-12,7784384.0,5670769.0,2113615.0,61.0,37769264.0,15.014242798059293
19427,Poland,POL,2021-04-13,7970164.0,5832860.0,2137304.0,644.0,37769264.0,15.44340392759573
19428,Poland,POL,2021-04-15,8484815.0,6236689.0,2248126.0,682.0,37769264.0,16.51260400520381
19429,Poland,POL,2021-04-19,9006539.0,6699255.0,2307284.0,101.0,37769264.0,17.737319424598795
19430,Poland,POL,2021-04-20,9210419.0,6868703.0,2341716.0,601.0,37769264.0,18.185959355734337
19431,Poland,POL,2021-04-21,9495317.0,7079324.0,2415993.0,740.0,37769264.0,18.743611207250424
