,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
19638,Portugal,PRT,2021-01-11,85210.0,85089.0,138.0,102.0,10152861.0,0.838079039986857
19639,Portugal,PRT,2021-01-12,96092.0,95971.0,138.0,122.0,10152861.0,0.9452606511602988
19640,Portugal,PRT,2021-01-13,109891.0,109770.0,138.0,155.0,10152861.0,1.0811730801790749
19641,Portugal,PRT,2021-01-14,121041.0,120920.0,138.0,156.0,10152861.0,1.190994341397957
19642,Portugal,PRT,2021-01-15,128527.0,128406.0,138.0,148.0,10152861.0,1.2647272527418625
19643,Portugal,PRT,2021-01-16,130062.0,129941.0,138.0,159.0,10152861.0,1.2798461438603363
19644,Portugal,PRT,2021-01-17,131230.0,129948.0,1299.0,166.0,10152861.0,1.279915089943613
19645,Portugal,PRT,2021-01-18,136664.0,135322.0,1414.0,152.0,10152861.0,1.3328459830189736
19646,Portugal,PRT,2021-01-19,160394.0,151434.0,9032.0,167.0,10152861.0,1.4915401678403752
19647,Portugal,PRT,2021-01-20,189327.0,171192.0,18207.0,218.0,10152861.0,1.6861454126083275
19648,Portugal,PRT,2021-01-21,222431.0,199322.0,23181.0,219.0,10152861.0,1.9632101729748883
19649,Portugal,PRT,2021-01-22,248690.0,223177.0,25585.0,221.0,10152861.0,2.198168575340488
19650,Portugal,PRT,2021-01-23,263484.0,233931.0,29625.0,234.0,10152861.0,2.3040894581340177
19651,Portugal,PRT,2021-01-24,267659.0,237589.0,30142.0,274.0,10152861.0,2.340118711366185
19652,Portugal,PRT,2021-01-30,342193.0,277215.0,65050.0,278.0,10152861.0,2.730412639353577
19653,Portugal,PRT,2021-01-31,348731.0,280829.0,67974.0,293.0,10152861.0,2.76600851720515
19654,Portugal,PRT,2021-02-01,380349.0,300196.0,80488.0,303.0,10152861.0,2.956762630750091
19655,Portugal,PRT,2021-02-02,383902.0,301806.0,82431.0,275.0,10152861.0,2.972620229903669
19656,Portugal,PRT,2021-02-03,392728.0,305475.0,87588.0,260.0,10152861.0,3.008757826980986
19657,Portugal,PRT,2021-02-04,405994.0,309618.0,96711.0,240.0,10152861.0,3.049564058840164
19658,Portugal,PRT,2021-02-05,421161.0,314844.0,106652.0,225.0,10152861.0,3.101037234726251
19659,Portugal,PRT,2021-02-06,435871.0,320684.0,115522.0,258.0,10152861.0,3.1585579670597284
19660,Portugal,PRT,2021-02-07,437687.0,321760.0,116262.0,214.0,10152861.0,3.1691559650033616
19661,Portugal,PRT,2021-02-08,442273.0,324471.0,118172.0,204.0,10152861.0,3.195857798112276
19662,Portugal,PRT,2021-02-09,446092.0,326848.0,119614.0,196.0,10152861.0,3.219269918104857
19663,Portugal,PRT,2021-02-10,461185.0,331437.0,130118.0,203.0,10152861.0,3.2644690004127903
19664,Portugal,PRT,2021-02-11,482122.0,335855.0,146637.0,161.0,10152861.0,3.3079838284006846
19665,Portugal,PRT,2021-02-12,514221.0,343428.0,171163.0,167.0,10152861.0,3.382573641065312
19666,Portugal,PRT,2021-02-13,551273.0,353390.0,198253.0,149.0,10152861.0,3.480693767008137
19667,Portugal,PRT,2021-02-14,569251.0,361532.0,208089.0,149.0,10152861.0,3.560887911299091
19668,Portugal,PRT,2021-02-15,583052.0,365582.0,218125.0,138.0,10152861.0,3.6007781451947385
19669,Portugal,PRT,2021-02-16,593817.0,370761.0,223711.0,90.0,10152861.0,3.651788397378827
19670,Portugal,PRT,2021-02-17,610362.0,381274.0,229743.0,111.0,10152861.0,3.755335565019555
19671,Portugal,PRT,2021-02-18,632733.0,395692.0,237696.0,127.0,10152861.0,3.897344797688061
19672,Portugal,PRT,2021-02-19,672667.0,422922.0,250400.0,105.0,10152861.0,4.165545061633366
19673,Portugal,PRT,2021-02-20,710442.0,447743.0,263354.0,67.0,10152861.0,4.410018023491113
19674,Portugal,PRT,2021-02-21,729484.0,463281.0,266858.0,76.0,10152861.0,4.563058629483847
19675,Portugal,PRT,2021-02-22,737479.0,469490.0,269203.0,65.0,10152861.0,4.624213805350038
19676,Portugal,PRT,2021-02-23,751519.0,481806.0,270927.0,61.0,10152861.0,4.74551951415468
19677,Portugal,PRT,2021-02-24,777939.0,506005.0,273148.0,63.0,10152861.0,4.983866124041293
