,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
22304,Republic of Korea,KOR,2021-02-26,40636.0,32900.0,7764.0,4.0,51327415.0,0.0640982991253309
22305,Republic of Korea,KOR,2021-02-27,42408.0,34537.0,7901.0,10.0,51327415.0,0.0672876278690442
22306,Republic of Korea,KOR,2021-02-28,43435.0,35492.0,7973.0,8.0,51327415.0,0.0691482319925911
22307,Republic of Korea,KOR,2021-03-01,45393.0,37292.0,8135.0,2.0,51327415.0,0.0726551298170773
22308,Republic of Korea,KOR,2021-03-02,112339.0,104060.0,8316.0,1.0,51327415.0,0.2027376597866851
22309,Republic of Korea,KOR,2021-03-03,182298.0,173817.0,8522.0,6.0,51327415.0,0.3386435884215092
22310,Republic of Korea,KOR,2021-03-04,253445.0,244563.0,8929.0,7.0,51327415.0,0.4764763625832315
22311,Republic of Korea,KOR,2021-03-05,324728.0,315566.0,9217.0,8.0,51327415.0,0.6148098438232278
22312,Republic of Korea,KOR,2021-03-06,343120.0,333874.0,9318.0,5.0,51327415.0,0.6504788912513907
22313,Republic of Korea,KOR,2021-03-07,345446.0,336153.0,9376.0,2.0,51327415.0,0.654919013552504
22314,Republic of Korea,KOR,2021-03-08,413569.0,404118.0,9552.0,8.0,51327415.0,0.7873336305753952
22315,Republic of Korea,KOR,2021-03-09,477878.0,468153.0,9838.0,3.0,51327415.0,0.9120915206814916
22316,Republic of Korea,KOR,2021-03-10,532775.0,522880.0,10258.0,3.0,51327415.0,1.018714852481856
22317,Republic of Korea,KOR,2021-03-11,578200.0,568004.0,10762.0,4.0,51327415.0,1.1066288843885863
22318,Republic of Korea,KOR,2021-03-12,617232.0,606831.0,11183.0,10.0,51327415.0,1.1822746187393227
22319,Republic of Korea,KOR,2021-03-13,621550.0,611050.0,11325.0,5.0,51327415.0,1.1904943975846043
22320,Republic of Korea,KOR,2021-03-14,623093.0,612548.0,11408.0,2.0,51327415.0,1.1934129158852047
22321,Republic of Korea,KOR,2021-03-15,637097.0,626375.0,12451.0,6.0,51327415.0,1.2203517360069662
22322,Republic of Korea,KOR,2021-03-16,657378.0,646432.0,13333.0,3.0,51327415.0,1.2594283191545883
22323,Republic of Korea,KOR,2021-03-17,678557.0,667422.0,14098.0,8.0,51327415.0,1.3003226443412357
22324,Republic of Korea,KOR,2021-03-18,699180.0,687708.0,14780.0,2.0,51327415.0,1.3398453828231949
22325,Republic of Korea,KOR,2021-03-19,717448.0,705728.0,15550.0,2.0,51327415.0,1.37495332659944
22326,Republic of Korea,KOR,2021-03-20,719559.0,707392.0,16013.0,3.0,51327415.0,1.3781952588105206
22327,Republic of Korea,KOR,2021-03-21,720369.0,707835.0,16394.0,3.0,51327415.0,1.379058345330658
22328,Republic of Korea,KOR,2021-03-22,725280.0,712263.0,17005.0,1.0,51327415.0,1.387685313978894
22329,Republic of Korea,KOR,2021-03-23,748762.0,734854.0,18085.0,7.0,51327415.0,1.431698829952765
22330,Republic of Korea,KOR,2021-03-24,781570.0,766225.0,19542.0,3.0,51327415.0,1.4928182142038515
