,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
16254,Republic of Moldova,MDA,2021-04-15,86016.0,78019.0,7997.0,28.0,4018875.0,1.9413144225685048
16255,Republic of Moldova,MDA,2021-04-16,91743.0,82267.0,9476.0,27.0,4018875.0,2.047015644925508
16256,Republic of Moldova,MDA,2021-04-18,93466.0,83641.0,9825.0,27.0,4018875.0,2.0812043171285497
16257,Republic of Moldova,MDA,2021-04-19,96372.0,86131.0,10241.0,23.0,4018875.0,2.1431619545270757
16258,Republic of Moldova,MDA,2021-04-20,99639.0,88824.0,10815.0,20.0,4018875.0,2.2101707567416256
16259,Republic of Moldova,MDA,2021-04-22,109899.0,98541.0,11358.0,27.0,4018875.0,2.4519548381076794
16260,Republic of Moldova,MDA,2021-04-23,120254.0,108760.0,11494.0,25.0,4018875.0,2.7062299772946408
16261,Republic of Moldova,MDA,2021-04-26,124695.0,113135.0,11560.0,21.0,4018875.0,2.8150912879848216
16262,Republic of Moldova,MDA,2021-04-27,132600.0,119583.0,13017.0,15.0,4018875.0,2.975534198003172
16263,Republic of Moldova,MDA,2021-04-28,139505.0,124505.0,15000.0,17.0,4018875.0,3.098006282852789
16264,Republic of Moldova,MDA,2021-04-29,145117.0,128587.0,16530.0,18.0,4018875.0,3.1995769960498897
16265,Republic of Moldova,MDA,2021-04-30,147315.0,130218.0,17097.0,15.0,4018875.0,3.240160492675189
16266,Republic of Moldova,MDA,2021-05-04,150384.0,132065.0,18319.0,12.0,4018875.0,3.2861186277254206
16267,Republic of Moldova,MDA,2021-05-05,160476.0,140174.0,20302.0,19.0,4018875.0,3.487891511928089
16268,Republic of Moldova,MDA,2021-05-06,171820.0,150173.0,21647.0,23.0,4018875.0,3.736692482348916
16269,Republic of Moldova,MDA,2021-05-07,182717.0,159420.0,23297.0,20.0,4018875.0,3.9667817486236814
16270,Republic of Moldova,MDA,2021-05-08,184660.0,161266.0,23394.0,17.0,4018875.0,4.012715001088614
16271,Republic of Moldova,MDA,2021-05-10,185292.0,161849.0,23443.0,9.0,4018875.0,4.02722154831887
16272,Republic of Moldova,MDA,2021-05-11,192845.0,167476.0,25369.0,6.0,4018875.0,4.167235855805417
16273,Republic of Moldova,MDA,2021-05-12,202883.0,175754.0,27129.0,12.0,4018875.0,4.3732138969238905
16274,Republic of Moldova,MDA,2021-05-13,216740.0,187446.0,29294.0,11.0,4018875.0,4.664141084258654
16275,Republic of Moldova,MDA,2021-05-14,228971.0,197548.0,31423.0,14.0,4018875.0,4.915504960965444
16276,Republic of Moldova,MDA,2021-05-15,233603.0,201838.0,31765.0,11.0,4018875.0,5.022251251905073
16277,Republic of Moldova,MDA,2021-05-17,242946.0,209881.0,33065.0,11.0,4018875.0,5.222381885477901
16278,Republic of Moldova,MDA,2021-05-18,253310.0,219004.0,34306.0,7.0,4018875.0,5.449385711175391
16279,Republic of Moldova,MDA,2021-05-19,264380.0,228911.0,35469.0,9.0,4018875.0,5.695897483748562
16280,Republic of Moldova,MDA,2021-05-20,275627.0,239094.0,36533.0,10.0,4018875.0,5.949276849864701
16281,Republic of Moldova,MDA,2021-05-21,288097.0,250034.0,38063.0,8.0,4018875.0,6.221492333053404
16282,Republic of Moldova,MDA,2021-05-22,294794.0,256175.0,38619.0,6.0,4018875.0,6.374296289384467
16283,Republic of Moldova,MDA,2021-05-23,298553.0,259809.0,38744.0,5.0,4018875.0,6.464719604366893
16284,Republic of Moldova,MDA,2021-05-24,306610.0,266238.0,40372.0,3.0,4018875.0,6.624689745264532
16285,Republic of Moldova,MDA,2021-05-25,351843.0,301175.0,50668.0,5.0,4018875.0,7.49401262791204
16286,Republic of Moldova,MDA,2021-05-27,376969.0,316382.0,60587.0,4.0,4018875.0,7.872402102578457
16287,Republic of Moldova,MDA,2021-05-28,398609.0,328268.0,70341.0,5.0,4018875.0,8.168156511461541
16288,Republic of Moldova,MDA,2021-05-29,406758.0,333875.0,72883.0,4.0,4018875.0,8.307673167242076
16289,Republic of Moldova,MDA,2021-05-31,416814.0,340151.0,76663.0,4.0,4018875.0,8.463836272588722
16290,Republic of Moldova,MDA,2021-06-01,426086.0,344826.0,81260.0,3.0,4018875.0,8.580162358869087
16291,Republic of Moldova,MDA,2021-06-02,439049.0,349748.0,89301.0,7.0,4018875.0,8.702634443718702
16292,Republic of Moldova,MDA,2021-06-03,465028.0,360070.0,104958.0,6.0,4018875.0,8.959472489191626
16293,Republic of Moldova,MDA,2021-06-05,469665.0,362421.0,107244.0,4.0,4018875.0,9.017971447233368
16294,Republic of Moldova,MDA,2021-06-06,470718.0,363188.0,107530.0,3.0,4018875.0,9.037056390158938
16295,Republic of Moldova,MDA,2021-06-07,480131.0,366599.0,113532.0,2.0,4018875.0,9.121930888619326
16296,Republic of Moldova,MDA,2021-06-09,501896.0,374041.0,127855.0,4.0,4018875.0,9.307107088426488
16297,Republic of Moldova,MDA,2021-06-10,512205.0,377714.0,134491.0,4.0,4018875.0,9.398500824235638
16298,Republic of Moldova,MDA,2021-06-11,522848.0,381141.0,141707.0,2.0,4018875.0,9.483773444060835
16299,Republic of Moldova,MDA,2021-06-12,528421.0,382803.0,145618.0,2.0,4018875.0,9.525128300830456
16300,Republic of Moldova,MDA,2021-06-13,530364.0,383429.0,146935.0,3.0,4018875.0,9.54070479922864
16301,Republic of Moldova,MDA,2021-06-14,538879.0,385969.0,152910.0,2.0,4018875.0,9.603906565892196
16302,Republic of Moldova,MDA,2021-06-15,556597.0,388808.0,167789.0,0.0,4018875.0,9.674548225560637
16303,Republic of Moldova,MDA,2021-06-16,577763.0,391279.0,186484.0,2.0,4018875.0,9.73603309383845
16304,Republic of Moldova,MDA,2021-06-17,597494.0,394554.0,202940.0,3.0,4018875.0,9.817523560697955
16305,Republic of Moldova,MDA,2021-06-18,613587.0,397151.0,216436.0,3.0,4018875.0,9.882143634723649
16306,Republic of Moldova,MDA,2021-06-19,618217.0,398376.0,219841.0,3.0,4018875.0,9.912624801716898
16307,Republic of Moldova,MDA,2021-06-20,631346.0,401379.0,229967.0,3.0,4018875.0,9.987347205374638
16308,Republic of Moldova,MDA,2021-06-21,642482.0,404766.0,237716.0,2.0,4018875.0,10.071624521787816
