,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
20530,Rwanda,RWA,2021-05-08,400096.0,350400.0,49696.0,0.0,13438180.0,2.607495955553505
20531,Rwanda,RWA,2021-06-06,578569.0,350400.0,228169.0,0.0,13438180.0,2.607495955553505
20532,Rwanda,RWA,2021-07-06,643966.0,392003.0,251963.0,9.0,13438180.0,2.917084009888244
20533,Rwanda,RWA,2021-07-09,645674.0,392832.0,252842.0,14.0,13438180.0,2.9232530000342307
20534,Rwanda,RWA,2021-07-10,646909.0,394067.0,252842.0,13.0,13438180.0,2.9324432326401344
20535,Rwanda,RWA,2021-08-12,1073302.0,680470.0,392832.0,9.0,13438180.0,5.063706543594445
20536,Rwanda,RWA,2021-08-19,1344627.0,951795.0,392832.0,3.0,13438180.0,7.082767160433928
20537,Rwanda,RWA,2021-08-20,1399797.0,980082.0,419715.0,16.0,13438180.0,7.29326441527052
20538,Rwanda,RWA,2021-08-22,1473408.0,1048640.0,424768.0,5.0,13438180.0,7.80343766789848
20539,Rwanda,RWA,2021-08-25,1723562.0,1242465.0,481097.0,11.0,13438180.0,9.245783283152926
20540,Rwanda,RWA,2021-08-29,2174283.0,1513881.0,660402.0,9.0,13438180.0,11.265521075026529
20541,Rwanda,RWA,2021-09-06,2569906.0,1662759.0,907147.0,0.0,13438180.0,12.37339431381333
20542,Rwanda,RWA,2021-09-10,2644449.0,1711757.0,932692.0,6.0,13438180.0,12.738012141525118
20543,Rwanda,RWA,2021-09-13,2822493.0,1822054.0,1000439.0,8.0,13438180.0,13.558785490297048
20544,Rwanda,RWA,2021-09-15,2882134.0,1827371.0,1054763.0,5.0,13438180.0,13.598351860147728
20545,Rwanda,RWA,2021-09-18,3187638.0,1835560.0,1352078.0,6.0,13438180.0,13.659290171734565
20546,Rwanda,RWA,2021-09-19,3340448.0,1836045.0,1368758.0,7.0,13438180.0,13.662899291421905
20547,Rwanda,RWA,2021-09-22,3409470.0,1968873.0,1440597.0,0.0,13438180.0,14.651336713751414
20548,Rwanda,RWA,2021-09-26,3740279.0,2099305.0,1640974.0,6.0,13438180.0,15.621944340677086
20549,Rwanda,RWA,2021-09-28,3760170.0,2107695.0,1652475.0,0.0,13438180.0,15.6843783905261
20550,Rwanda,RWA,2021-09-30,3779887.0,2116184.0,1663703.0,4.0,13438180.0,15.74754914728036
20551,Rwanda,RWA,2021-10-01,3805225.0,2127543.0,1686978.0,9.0,13438180.0,15.832076962803
20552,Rwanda,RWA,2021-10-05,3822082.0,2135104.0,1686978.0,5.0,13438180.0,15.888342022506023
20553,Rwanda,RWA,2021-10-10,3888869.0,2192888.0,1695981.0,4.0,13438180.0,16.318340727687826
20554,Rwanda,RWA,2021-10-14,4446234.0,2738816.0,1707418.0,2.0,13438180.0,20.380855145562865
20555,Rwanda,RWA,2021-10-15,4646977.0,2928553.0,1718424.0,1.0,13438180.0,21.792779974669187
20556,Rwanda,RWA,2021-10-21,5179627.0,3434690.0,1744937.0,0.0,13438180.0,25.559190307020742
20557,Rwanda,RWA,2021-10-23,5394793.0,3632110.0,1762683.0,2.0,13438180.0,27.02828805686484
20558,Rwanda,RWA,2021-10-26,5627426.0,3712692.0,1914734.0,0.0,13438180.0,27.627937711803234
20559,Rwanda,RWA,2021-11-04,6000758.0,3937599.0,2063159.0,0.0,13438180.0,29.30157952937079
20560,Rwanda,RWA,2021-11-10,6765616.0,4496161.0,2269455.0,1.0,13438180.0,33.45810965473003
20561,Rwanda,RWA,2021-11-11,6976687.0,4774596.0,2519852.0,0.0,13438180.0,35.53007922203751
20562,Rwanda,RWA,2021-11-18,8084680.0,5227250.0,2857430.0,0.0,13438180.0,38.898496671424255
20563,Rwanda,RWA,2021-11-24,8748557.0,5744232.0,3004325.0,0.0,13438180.0,42.74560989657826
20564,Rwanda,RWA,2021-12-02,9440343.0,5987745.0,3452598.0,1.0,13438180.0,44.55770796342957
20565,Rwanda,RWA,2021-12-09,10268499.0,6388237.0,3880262.0,1.0,13438180.0,47.53796273007208
20566,Rwanda,RWA,2021-12-15,11030100.0,6847793.0,4182307.0,0.0,13438180.0,50.9577413012774
20567,Rwanda,RWA,2021-12-23,12316233.0,7322935.0,4938137.0,0.0,13438180.0,54.4935028404144
