,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
20568,Saint Kitts and Nevis,KNA,2021-05-04,13070.0,12943.0,127.0,0.0,53544.0,24.172643059913344
20569,Saint Kitts and Nevis,KNA,2021-05-12,15567.0,13821.0,1746.0,0.0,53544.0,25.81241595696997
20570,Saint Kitts and Nevis,KNA,2021-05-18,18695.0,14588.0,4107.0,0.0,53544.0,27.244882713282536
20571,Saint Kitts and Nevis,KNA,2021-05-22,21459.0,15619.0,5840.0,0.0,53544.0,29.17040191244584
20572,Saint Kitts and Nevis,KNA,2021-05-27,25347.0,18425.0,6922.0,0.0,53544.0,34.41095174062453
20573,Saint Kitts and Nevis,KNA,2021-06-01,27749.0,20090.0,7659.0,0.0,53544.0,37.52054385178545
20574,Saint Kitts and Nevis,KNA,2021-06-05,29628.0,21066.0,8562.0,0.0,53544.0,39.34334379202152
20575,Saint Kitts and Nevis,KNA,2021-06-10,31054.0,21469.0,9585.0,0.0,53544.0,40.09599581652473
20576,Saint Kitts and Nevis,KNA,2021-06-15,32415.0,22012.0,10403.0,0.0,53544.0,41.11011504557
20577,Saint Kitts and Nevis,KNA,2021-06-21,33982.0,22403.0,11579.0,0.0,53544.0,41.84035559539818
20578,Saint Kitts and Nevis,KNA,2021-06-22,38006.0,22656.0,15350.0,0.0,53544.0,42.31286418646346
20579,Saint Kitts and Nevis,KNA,2021-06-29,40615.0,22831.0,17784.0,0.0,53544.0,42.63969819214105
20580,Saint Kitts and Nevis,KNA,2021-06-30,41850.0,22937.0,18913.0,0.0,53544.0,42.83766621843718
20581,Saint Kitts and Nevis,KNA,2021-07-08,41956.0,22972.0,18984.0,0.0,53544.0,42.90303301957269
20582,Saint Kitts and Nevis,KNA,2021-07-13,42250.0,23131.0,19119.0,0.0,53544.0,43.19998505901688
20583,Saint Kitts and Nevis,KNA,2021-07-14,42345.0,23180.0,19165.0,0.0,53544.0,43.2914985806066
20584,Saint Kitts and Nevis,KNA,2021-07-15,42432.0,23232.0,19200.0,0.0,53544.0,43.38861497086508
20585,Saint Kitts and Nevis,KNA,2021-07-20,42837.0,23448.0,19389.0,0.0,53544.0,43.79202151501569
20586,Saint Kitts and Nevis,KNA,2021-07-22,43003.0,23535.0,19468.0,0.0,53544.0,43.95450470640968
20587,Saint Kitts and Nevis,KNA,2021-07-23,43190.0,23627.0,19563.0,0.0,53544.0,44.1263260122516
20588,Saint Kitts and Nevis,KNA,2021-07-26,43298.0,23695.0,19603.0,0.0,53544.0,44.25332436874346
20589,Saint Kitts and Nevis,KNA,2021-07-28,43415.0,23755.0,19660.0,0.0,53544.0,44.36538174211863
20590,Saint Kitts and Nevis,KNA,2021-07-31,43640.0,23872.0,19768.0,0.0,53544.0,44.58389362020021
20591,Saint Kitts and Nevis,KNA,2021-08-05,43726.0,23881.0,19845.0,0.0,53544.0,44.60070222620649
20592,Saint Kitts and Nevis,KNA,2021-08-07,43873.0,23921.0,19952.0,0.0,53544.0,44.67540714178993
20593,Saint Kitts and Nevis,KNA,2021-08-10,43966.0,23966.0,20000.0,0.0,53544.0,44.75945017182131
20594,Saint Kitts and Nevis,KNA,2021-08-12,44124.0,24030.0,20094.0,0.0,53544.0,44.878978036754816
20595,Saint Kitts and Nevis,KNA,2021-08-13,44750.0,24146.0,20604.0,0.0,53544.0,45.09562229194681
20596,Saint Kitts and Nevis,KNA,2021-08-24,45097.0,24189.0,20908.0,0.0,53544.0,45.17593007619901
20597,Saint Kitts and Nevis,KNA,2021-08-27,45327.0,24208.0,21119.0,0.0,53544.0,45.21141491110115
20598,Saint Kitts and Nevis,KNA,2021-08-30,45980.0,24266.0,21714.0,0.0,53544.0,45.31973703869714
20599,Saint Kitts and Nevis,KNA,2021-09-03,46241.0,24335.0,21906.0,1.0,53544.0,45.448603018078586
20600,Saint Kitts and Nevis,KNA,2021-09-06,46372.0,24458.0,21914.0,0.0,53544.0,45.67832063349768
20601,Saint Kitts and Nevis,KNA,2021-09-10,46587.0,24671.0,21916.0,0.0,53544.0,46.07612430897953
20602,Saint Kitts and Nevis,KNA,2021-09-13,46716.0,24800.0,21916.0,0.0,53544.0,46.31704766173614
20603,Saint Kitts and Nevis,KNA,2021-09-17,46884.0,24968.0,21916.0,0.0,53544.0,46.63080830718661
20604,Saint Kitts and Nevis,KNA,2021-09-22,47098.0,25178.0,21920.0,0.0,53544.0,47.023009113999706
20605,Saint Kitts and Nevis,KNA,2021-09-27,47415.0,25394.0,22021.0,0.0,53544.0,47.426415658150304
20606,Saint Kitts and Nevis,KNA,2021-10-01,48059.0,25637.0,22422.0,0.0,53544.0,47.88024802031974
20607,Saint Kitts and Nevis,KNA,2021-10-22,49817.0,25763.0,24054.0,0.0,53544.0,48.11556850440759
20608,Saint Kitts and Nevis,KNA,2021-10-29,50202.0,25921.0,24281.0,0.0,53544.0,48.4106529209622
20609,Saint Kitts and Nevis,KNA,2021-11-02,50525.0,26060.0,24465.0,0.0,53544.0,48.670252502614666
20610,Saint Kitts and Nevis,KNA,2021-11-05,50607.0,26094.0,24513.0,0.0,53544.0,48.7337516808606
20611,Saint Kitts and Nevis,KNA,2021-11-19,51414.0,26851.0,24563.0,1.0,53544.0,50.14754220827731
20612,Saint Kitts and Nevis,KNA,2021-12-08,53386.0,27350.0,25122.0,0.0,53544.0,51.07948603018079
20613,Saint Kitts and Nevis,KNA,2021-12-10,53486.0,27358.0,25165.0,0.0,53544.0,51.09442701329747
20614,Saint Kitts and Nevis,KNA,2021-12-15,53842.0,27436.0,25267.0,0.0,53544.0,51.24010159868519
20615,Saint Kitts and Nevis,KNA,2021-12-17,54077.0,27484.0,25359.0,0.0,53544.0,51.32974749738533
20616,Saint Kitts and Nevis,KNA,2021-12-22,54253.0,27523.0,25400.0,0.0,53544.0,51.40258479007919
