,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
20736,Samoa,WSM,2021-06-21,45178.0,43983.0,1195.0,0.0,200884.0,21.894725314111625
20737,Samoa,WSM,2021-06-29,54663.0,49546.0,5117.0,0.0,200884.0,24.66398518548018
20738,Samoa,WSM,2021-07-06,62161.0,52907.0,9254.0,0.0,200884.0,26.33709006192629
20739,Samoa,WSM,2021-07-20,70711.0,55061.0,15650.0,0.0,200884.0,27.409350670038428
20740,Samoa,WSM,2021-07-27,81114.0,60044.0,21070.0,0.0,200884.0,29.88988670078254
20741,Samoa,WSM,2021-08-02,92415.0,67014.0,25401.0,0.0,200884.0,33.359550785527965
20742,Samoa,WSM,2021-08-09,100610.0,71957.0,28653.0,0.0,200884.0,35.82017482726349
20743,Samoa,WSM,2021-08-16,111250.0,79072.0,32178.0,0.0,200884.0,39.36201987216504
20744,Samoa,WSM,2021-08-23,124960.0,87436.0,37524.0,0.0,200884.0,43.52561677385955
20745,Samoa,WSM,2021-08-31,134265.0,92319.0,41946.0,0.0,200884.0,45.9563728320822
20746,Samoa,WSM,2021-09-07,137958.0,94441.0,43517.0,0.0,200884.0,47.01270384898748
20747,Samoa,WSM,2021-09-14,142566.0,97032.0,45534.0,0.0,200884.0,48.30250293701837
20748,Samoa,WSM,2021-09-21,149431.0,99163.0,50268.0,0.0,200884.0,49.36331415145059
20749,Samoa,WSM,2021-09-28,172316.0,114698.0,57618.0,0.0,200884.0,57.096632882658646
20750,Samoa,WSM,2021-10-18,188664.0,115354.0,73310.0,0.0,200884.0,57.4231895023994
20751,Samoa,WSM,2021-10-25,194141.0,115545.0,78596.0,0.0,200884.0,57.51826924991538
20752,Samoa,WSM,2021-11-01,203522.0,121713.0,81809.0,0.0,200884.0,60.588697955038725
20753,Samoa,WSM,2021-11-08,217717.0,133465.0,84252.0,0.0,200884.0,66.43884032576014
20754,Samoa,WSM,2021-11-15,223504.0,137258.0,86246.0,0.0,200884.0,68.32699468349894
20755,Samoa,WSM,2021-11-30,248729.0,139865.0,108864.0,0.0,200884.0,69.62475856713327
20756,Samoa,WSM,2021-12-13,262895.0,141356.0,121539.0,0.0,200884.0,70.36697795742816
20757,Samoa,WSM,2021-12-20,263189.0,141424.0,121765.0,0.0,200884.0,70.40082833874276
