,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
20802,Sao Tome and Principe,STP,2021-05-26,14509.0,12374.0,2135.0,0.0,225573.0,5.485585597567084
20803,Sao Tome and Principe,STP,2021-05-31,18888.0,12374.0,6514.0,0.0,225573.0,5.485585597567084
20804,Sao Tome and Principe,STP,2021-06-08,23027.0,12374.0,10653.0,0.0,225573.0,5.485585597567084
20805,Sao Tome and Principe,STP,2021-06-10,23644.0,12374.0,11270.0,0.0,225573.0,5.485585597567084
20806,Sao Tome and Principe,STP,2021-07-12,37716.0,26184.0,11532.0,0.0,225573.0,11.607772206780066
20807,Sao Tome and Principe,STP,2021-07-19,41436.0,29725.0,11711.0,0.0,225573.0,13.177552277976533
20808,Sao Tome and Principe,STP,2021-07-26,43960.0,32090.0,11870.0,0.0,225573.0,14.225993359134293
20809,Sao Tome and Principe,STP,2021-08-03,43978.0,32107.0,11871.0,0.0,225573.0,14.233529722085532
20810,Sao Tome and Principe,STP,2021-08-16,43987.0,32114.0,11873.0,0.0,225573.0,14.236632930359574
20811,Sao Tome and Principe,STP,2021-09-01,46349.0,34468.0,11881.0,0.0,225573.0,15.280197541372416
20812,Sao Tome and Principe,STP,2021-09-06,50886.0,38979.0,11907.0,0.0,225573.0,17.279993616257265
20813,Sao Tome and Principe,STP,2021-09-10,57154.0,45088.0,12066.0,1.0,225573.0,19.98820780855865
20814,Sao Tome and Principe,STP,2021-09-17,65542.0,51447.0,14095.0,0.0,225573.0,22.807250867790028
20815,Sao Tome and Principe,STP,2021-09-21,73223.0,55036.0,18187.0,2.0,225573.0,24.398310081437053
20816,Sao Tome and Principe,STP,2021-09-24,82679.0,60559.0,22120.0,1.0,225573.0,26.846741409654523
20817,Sao Tome and Principe,STP,2021-10-02,94640.0,68443.0,26197.0,1.0,225573.0,30.34184055715888
20818,Sao Tome and Principe,STP,2021-10-09,101065.0,73554.0,27511.0,1.0,225573.0,32.60762591267572
20819,Sao Tome and Principe,STP,2021-10-13,102791.0,75036.0,27755.0,0.0,225573.0,33.264619435836735
20820,Sao Tome and Principe,STP,2021-10-15,103720.0,75837.0,27883.0,0.0,225573.0,33.61971512548044
20821,Sao Tome and Principe,STP,2021-10-29,108838.0,80345.0,28493.0,0.0,225573.0,35.618181253962135
20822,Sao Tome and Principe,STP,2021-11-10,109686.0,81125.0,28561.0,0.0,225573.0,35.96396731878372
20823,Sao Tome and Principe,STP,2021-11-21,114251.0,82256.0,31995.0,0.0,225573.0,36.465357112775024
20824,Sao Tome and Principe,STP,2021-11-26,121357.0,83283.0,38074.0,0.0,225573.0,36.92064209812344
20825,Sao Tome and Principe,STP,2021-12-07,132705.0,85356.0,47349.0,0.0,225573.0,37.839635062706975
20826,Sao Tome and Principe,STP,2021-12-09,134615.0,85687.0,48928.0,1.0,225573.0,37.98637248252229
20827,Sao Tome and Principe,STP,2021-12-13,137612.0,86396.0,51216.0,0.0,225573.0,38.30068314913576
