,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
21008,Senegal,SEN,2021-05-21,506388.0,437792.0,68596.0,0.0,17423370.0,2.512671199658849
21009,Senegal,SEN,2021-05-24,511286.0,442133.0,69153.0,1.0,17423370.0,2.5375860123500797
21010,Senegal,SEN,2021-05-26,513332.0,444007.0,69325.0,2.0,17423370.0,2.548341681316531
21011,Senegal,SEN,2021-05-31,522575.0,452735.0,69840.0,0.0,17423370.0,2.598435319918018
21012,Senegal,SEN,2021-06-08,537467.0,466578.0,70889.0,3.0,17423370.0,2.6778860805917573
21013,Senegal,SEN,2021-06-10,545915.0,474136.0,71779.0,0.0,17423370.0,2.7212646003614687
21014,Senegal,SEN,2021-06-14,625448.0,477957.0,147491.0,3.0,17423370.0,2.7431949157941315
21015,Senegal,SEN,2021-06-28,664826.0,515344.0,149482.0,1.0,17423370.0,2.9577745292673003
21016,Senegal,SEN,2021-07-05,751129.0,549768.0,201361.0,3.0,17423370.0,3.155348247784441
21017,Senegal,SEN,2021-07-12,816481.0,582725.0,233756.0,4.0,17423370.0,3.34450224038174
21018,Senegal,SEN,2021-07-13,823610.0,587088.0,236522.0,2.0,17423370.0,3.3695433202646794
21019,Senegal,SEN,2021-07-19,870251.0,611166.0,259085.0,6.0,17423370.0,3.5077370221719453
21020,Senegal,SEN,2021-07-24,889854.0,625510.0,264344.0,8.0,17423370.0,3.590063231165957
21021,Senegal,SEN,2021-07-26,906557.0,640013.0,266544.0,12.0,17423370.0,3.673302007590954
21022,Senegal,SEN,2021-08-03,1204245.0,900914.0,303331.0,18.0,17423370.0,5.170721852316745
21023,Senegal,SEN,2021-08-09,1360095.0,1035558.0,324537.0,15.0,17423370.0,5.943500023244642
21024,Senegal,SEN,2021-08-16,1451106.0,1109720.0,341386.0,13.0,17423370.0,6.369146726494359
21025,Senegal,SEN,2021-08-19,1690202.0,1125204.0,564998.0,22.0,17423370.0,6.458015871785998
21026,Senegal,SEN,2021-08-25,1712551.0,1147553.0,564998.0,17.0,17423370.0,6.586286120308528
21027,Senegal,SEN,2021-09-01,1732362.0,1167364.0,564998.0,5.0,17423370.0,6.699989726442129
21028,Senegal,SEN,2021-09-09,1744098.0,1179100.0,564998.0,8.0,17423370.0,6.767347533800866
21029,Senegal,SEN,2021-09-15,1768064.0,1203066.0,564998.0,4.0,17423370.0,6.904898420913979
21030,Senegal,SEN,2021-09-22,1784832.0,1219834.0,564998.0,0.0,17423370.0,7.001136978667158
21031,Senegal,SEN,2021-09-30,1812874.0,1247876.0,564998.0,3.0,17423370.0,7.162081732753194
21032,Senegal,SEN,2021-10-07,1828842.0,1263844.0,564998.0,2.0,17423370.0,7.253728756262421
21033,Senegal,SEN,2021-10-14,1836019.0,1271021.0,564998.0,1.0,17423370.0,7.294920557848453
21034,Senegal,SEN,2021-11-22,1903098.0,1316401.0,918359.0,0.0,17423370.0,7.55537533783648
21035,Senegal,SEN,2021-11-24,1908088.0,1319915.0,922233.0,2.0,17423370.0,7.575543652003028
21036,Senegal,SEN,2021-11-26,1910830.0,1321923.0,924182.0,0.0,17423370.0,7.587068402955341
21037,Senegal,SEN,2021-12-03,1919300.0,1328153.0,930046.0,1.0,17423370.0,7.622824975880096
21038,Senegal,SEN,2021-12-15,2269383.0,1328153.0,941230.0,0.0,17423370.0,7.622824975880096
