,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
21215,Seychelles,SYC,2021-02-03,37092.0,37087.0,5.0,1.0,99092.0,37.42683566786421
21216,Seychelles,SYC,2021-02-06,39175.0,37589.0,1586.0,0.0,99092.0,37.93343559520446
21217,Seychelles,SYC,2021-02-08,41694.0,37714.0,3980.0,1.0,99092.0,38.05958099543858
21218,Seychelles,SYC,2021-02-09,44423.0,37723.0,6700.0,0.0,99092.0,38.06866346425544
21219,Seychelles,SYC,2021-02-10,48061.0,37726.0,10335.0,0.0,99092.0,38.07169095386106
21220,Seychelles,SYC,2021-02-11,51819.0,37952.0,13867.0,0.0,99092.0,38.29976183748436
21221,Seychelles,SYC,2021-02-13,55980.0,41799.0,14181.0,0.0,99092.0,42.182012675089815
21222,Seychelles,SYC,2021-02-15,58249.0,41808.0,16441.0,0.0,99092.0,42.19109514390667
21223,Seychelles,SYC,2021-02-16,59991.0,41815.0,18176.0,1.0,99092.0,42.198159286319786
21224,Seychelles,SYC,2021-02-17,61351.0,41839.0,19512.0,0.0,99092.0,42.222379203164735
21225,Seychelles,SYC,2021-02-18,63286.0,42621.0,20665.0,1.0,99092.0,43.01154482702943
21226,Seychelles,SYC,2021-02-19,65060.0,43461.0,21599.0,0.0,99092.0,43.85924191660276
21227,Seychelles,SYC,2021-02-21,65576.0,43977.0,21599.0,0.0,99092.0,44.37997012876922
21228,Seychelles,SYC,2021-02-23,70568.0,47188.0,23380.0,1.0,99092.0,47.62039316998345
21229,Seychelles,SYC,2021-02-25,75096.0,51577.0,23519.0,0.0,99092.0,52.04961046300408
21230,Seychelles,SYC,2021-02-27,79438.0,55889.0,23549.0,0.0,99092.0,56.40112218948048
21231,Seychelles,SYC,2021-03-01,80131.0,55901.0,24230.0,0.0,99092.0,56.41323214790296
21232,Seychelles,SYC,2021-03-03,80863.0,56261.0,24602.0,0.0,99092.0,56.77653090057724
21233,Seychelles,SYC,2021-03-04,81715.0,57095.0,24620.0,0.0,99092.0,57.61817301093933
21234,Seychelles,SYC,2021-03-08,84468.0,57901.0,26567.0,0.0,99092.0,58.431558551648976
21235,Seychelles,SYC,2021-03-10,87333.0,60439.0,26894.0,0.0,99092.0,60.992814758002666
21236,Seychelles,SYC,2021-03-11,88106.0,61070.0,27036.0,0.0,99092.0,61.62959673838453
21237,Seychelles,SYC,2021-03-15,89509.0,62067.0,27442.0,0.0,99092.0,62.63573245065192
21238,Seychelles,SYC,2021-03-18,90150.0,62457.0,27693.0,0.0,99092.0,63.02930609938239
21239,Seychelles,SYC,2021-03-23,94472.0,63100.0,31372.0,0.0,99092.0,63.67819803818674
21240,Seychelles,SYC,2021-03-24,96523.0,63132.0,33391.0,0.0,99092.0,63.71049126064668
21241,Seychelles,SYC,2021-03-30,100552.0,63686.0,36866.0,0.0,99092.0,64.26956767448432
21242,Seychelles,SYC,2021-04-01,102080.0,64123.0,37957.0,1.0,99092.0,64.71057199370283
21243,Seychelles,SYC,2021-04-06,103968.0,64508.0,39460.0,0.0,99092.0,65.09909982642394
21244,Seychelles,SYC,2021-04-10,108749.0,65490.0,43259.0,0.0,99092.0,66.09009809066322
21245,Seychelles,SYC,2021-04-13,112194.0,66250.0,45944.0,0.0,99092.0,66.85706212408671
21246,Seychelles,SYC,2021-04-19,116957.0,66433.0,50524.0,0.0,99092.0,67.04173899002946
21247,Seychelles,SYC,2021-04-23,121165.0,66497.0,54668.0,0.0,99092.0,67.10632543494934
21248,Seychelles,SYC,2021-04-26,123831.0,66583.0,57248.0,2.0,99092.0,67.19311347031042
21249,Seychelles,SYC,2021-04-28,125539.0,67043.0,58496.0,0.0,99092.0,67.657328543172
21250,Seychelles,SYC,2021-04-29,126840.0,67680.0,59160.0,0.0,99092.0,68.30016550276511
21251,Seychelles,SYC,2021-05-03,127721.0,68045.0,59676.0,0.0,99092.0,68.66851007144875
21252,Seychelles,SYC,2021-05-05,128919.0,68512.0,60407.0,0.0,99092.0,69.13978928672346
21253,Seychelles,SYC,2021-05-12,131068.0,69708.0,61360.0,2.0,99092.0,70.34674847616357
21254,Seychelles,SYC,2021-05-15,131546.0,69915.0,61631.0,0.0,99092.0,70.55564525895129
21255,Seychelles,SYC,2021-05-18,132161.0,70126.0,62035.0,5.0,99092.0,70.76857869454648
21256,Seychelles,SYC,2021-05-25,134475.0,70446.0,64029.0,0.0,99092.0,71.09151091914583
21257,Seychelles,SYC,2021-06-02,136526.0,70653.0,65873.0,0.0,99092.0,71.30040770193355
21258,Seychelles,SYC,2021-06-10,137196.0,70653.0,66543.0,0.0,99092.0,71.30040770193355
21259,Seychelles,SYC,2021-06-18,137676.0,70660.0,67016.0,0.0,99092.0,71.30747184434667
21260,Seychelles,SYC,2021-06-24,137976.0,70671.0,67305.0,2.0,99092.0,71.31857263956726
21261,Seychelles,SYC,2021-06-30,138581.0,70911.0,67670.0,1.0,99092.0,71.56077180801678
21262,Seychelles,SYC,2021-07-05,139625.0,71490.0,68135.0,0.0,99092.0,72.14507730190127
21263,Seychelles,SYC,2021-07-22,141435.0,72882.0,68553.0,0.0,99092.0,73.5498324789085
21264,Seychelles,SYC,2021-08-09,143490.0,73777.0,69713.0,0.0,99092.0,74.45303354458484
21265,Seychelles,SYC,2021-09-16,148402.0,77311.0,71091.0,4.0,99092.0,78.01941630000404
21266,Seychelles,SYC,2021-10-15,159392.0,80595.0,74778.0,0.0,99092.0,81.33350825495499
21267,Seychelles,SYC,2021-10-25,165206.0,81021.0,76188.0,0.0,99092.0,81.76341177895289
21268,Seychelles,SYC,2021-10-26,166521.0,81101.0,76283.0,0.0,99092.0,81.84414483510272
21269,Seychelles,SYC,2021-11-03,169886.0,81323.0,76696.0,0.0,99092.0,82.06817906591854
21270,Seychelles,SYC,2021-11-08,170530.0,81375.0,76796.0,0.0,99092.0,82.12065555241594
21271,Seychelles,SYC,2021-11-15,173635.0,81597.0,77389.0,0.0,99092.0,82.34468978323174
21272,Seychelles,SYC,2021-11-17,175390.0,81669.0,77467.0,0.0,99092.0,82.41734953376661
21273,Seychelles,SYC,2021-11-23,178093.0,81867.0,77809.0,0.0,99092.0,82.61716384773746
21274,Seychelles,SYC,2021-11-29,179462.0,81937.0,77951.0,0.0,99092.0,82.68780527186857
21275,Seychelles,SYC,2021-12-10,182903.0,82117.0,78214.0,0.0,99092.0,82.8694546482057
21276,Seychelles,SYC,2021-12-17,183332.0,82323.0,78238.0,0.0,99092.0,83.07734226779154
