,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
21277,Sierra Leone,SLE,2021-04-10,37680.0,37558.0,122.0,0.0,8223830.0,0.4566971836723278
21278,Sierra Leone,SLE,2021-04-14,42419.0,41543.0,876.0,0.0,8223830.0,0.5051539246312241
21279,Sierra Leone,SLE,2021-04-15,44347.0,42566.0,1781.0,0.0,8223830.0,0.5175933841044866
21280,Sierra Leone,SLE,2021-04-25,57364.0,52076.0,5288.0,0.0,8223830.0,0.6332329340465452
21281,Sierra Leone,SLE,2021-04-27,59316.0,53717.0,5599.0,0.0,8223830.0,0.6531871402983768
21282,Sierra Leone,SLE,2021-04-29,59786.0,54084.0,5702.0,0.0,8223830.0,0.6576497811846792
21283,Sierra Leone,SLE,2021-05-01,61107.0,55083.0,6024.0,0.0,8223830.0,0.6697974058315894
21284,Sierra Leone,SLE,2021-05-08,64966.0,58250.0,6716.0,0.0,8223830.0,0.7083074431256483
21285,Sierra Leone,SLE,2021-05-31,79762.0,68882.0,10880.0,0.0,8223830.0,0.8375902711996721
21286,Sierra Leone,SLE,2021-06-08,83474.0,71821.0,11653.0,0.0,8223830.0,0.8733278776433852
21287,Sierra Leone,SLE,2021-06-10,88523.0,75667.0,12856.0,3.0,8223830.0,0.920094408566325
21288,Sierra Leone,SLE,2021-06-14,91789.0,77958.0,13831.0,0.0,8223830.0,0.9479524746985286
21289,Sierra Leone,SLE,2021-06-20,97315.0,82145.0,15170.0,0.0,8223830.0,0.998865492112556
21290,Sierra Leone,SLE,2021-08-27,193557.0,159793.0,33764.0,0.0,8223830.0,1.9430484336373683
21291,Sierra Leone,SLE,2021-09-13,221110.0,181065.0,40045.0,0.0,8223830.0,2.201711368060867
21292,Sierra Leone,SLE,2021-09-27,232375.0,189641.0,42734.0,0.0,8223830.0,2.3059936793440525
21293,Sierra Leone,SLE,2021-09-29,236465.0,192558.0,43907.0,0.0,8223830.0,2.341463770530276
21294,Sierra Leone,SLE,2021-10-12,359091.0,292239.0,66852.0,0.0,8223830.0,3.5535632424308385
21295,Sierra Leone,SLE,2021-10-18,396196.0,318380.0,110744.0,0.0,8223830.0,3.8714321672505383
21296,Sierra Leone,SLE,2021-11-04,617851.0,505385.0,251854.0,0.0,8223830.0,6.145372654833575
21297,Sierra Leone,SLE,2021-11-10,744826.0,603654.0,302686.0,0.0,8223830.0,7.340302511117083
21298,Sierra Leone,SLE,2021-11-26,868726.0,703231.0,361089.0,0.0,8223830.0,8.551137365436785
21299,Sierra Leone,SLE,2021-12-08,923880.0,747044.0,385232.0,0.0,8223830.0,9.083894000727156
