,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
21387,Slovakia,SVK,2021-01-18,72927.0,72345.0,582.0,52.0,5460905.0,1.3247804164328074
21388,Slovakia,SVK,2021-01-19,81337.0,80171.0,1166.0,111.0,5460905.0,1.4680899960720797
21389,Slovakia,SVK,2021-01-20,89225.0,87185.0,2040.0,100.0,5460905.0,1.5965302454446657
21390,Slovakia,SVK,2021-01-21,95463.0,92774.0,2689.0,64.0,5460905.0,1.6988759189182012
21391,Slovakia,SVK,2021-01-22,102280.0,99458.0,2822.0,93.0,5460905.0,1.8212732138720595
21392,Slovakia,SVK,2021-01-23,102556.0,99734.0,2822.0,71.0,5460905.0,1.826327321204086
21393,Slovakia,SVK,2021-01-24,102556.0,99734.0,2822.0,103.0,5460905.0,1.826327321204086
21394,Slovakia,SVK,2021-01-25,111707.0,106592.0,5115.0,0.0,5460905.0,1.9519109012150917
21395,Slovakia,SVK,2021-01-26,118982.0,113506.0,5476.0,192.0,5460905.0,2.078519952278972
21396,Slovakia,SVK,2021-01-27,125934.0,120289.0,5645.0,101.0,5460905.0,2.2027301335584486
21397,Slovakia,SVK,2021-01-28,135925.0,128637.0,7288.0,50.0,5460905.0,2.355598568369162
21398,Slovakia,SVK,2021-01-29,147954.0,138243.0,9711.0,84.0,5460905.0,2.531503477903388
21399,Slovakia,SVK,2021-01-30,149346.0,139632.0,9714.0,70.0,5460905.0,2.556938822411304
21400,Slovakia,SVK,2021-01-31,149406.0,139692.0,9714.0,77.0,5460905.0,2.558037541396527
21401,Slovakia,SVK,2021-02-01,161515.0,148890.0,12625.0,69.0,5460905.0,2.726471161831235
21402,Slovakia,SVK,2021-02-02,173725.0,157650.0,16075.0,73.0,5460905.0,2.886884133673814
21403,Slovakia,SVK,2021-02-03,185516.0,167105.0,18411.0,105.0,5460905.0,3.060023933761894
21404,Slovakia,SVK,2021-02-04,199876.0,175868.0,24008.0,87.0,5460905.0,3.220491841553735
21405,Slovakia,SVK,2021-02-05,214924.0,184235.0,30689.0,74.0,5460905.0,3.373708204043103
21406,Slovakia,SVK,2021-02-06,217588.0,186228.0,31360.0,85.0,5460905.0,3.410203986335598
21407,Slovakia,SVK,2021-02-07,217768.0,186408.0,31360.0,64.0,5460905.0,3.413500143291268
21408,Slovakia,SVK,2021-02-08,229538.0,193899.0,35639.0,72.0,5460905.0,3.550675208596377
21409,Slovakia,SVK,2021-02-09,244398.0,201227.0,43171.0,111.0,5460905.0,3.684865420658298
21410,Slovakia,SVK,2021-02-10,257336.0,207653.0,49683.0,120.0,5460905.0,3.802538223975696
21411,Slovakia,SVK,2021-02-11,271391.0,215108.0,56283.0,127.0,5460905.0,3.939054057889672
21412,Slovakia,SVK,2021-02-12,285480.0,222802.0,62678.0,104.0,5460905.0,4.079946455761453
21413,Slovakia,SVK,2021-02-13,290370.0,227296.0,63074.0,79.0,5460905.0,4.162240507754667
21414,Slovakia,SVK,2021-02-14,302164.0,238885.0,63279.0,73.0,5460905.0,4.374458079750518
21415,Slovakia,SVK,2021-02-15,313197.0,243511.0,69686.0,67.0,5460905.0,4.459169313511223
21416,Slovakia,SVK,2021-02-16,324507.0,248510.0,75997.0,111.0,5460905.0,4.550710916963397
21417,Slovakia,SVK,2021-02-17,336053.0,254070.0,81983.0,105.0,5460905.0,4.652525542927409
21418,Slovakia,SVK,2021-02-18,347328.0,258746.0,88582.0,103.0,5460905.0,4.738152375842466
21419,Slovakia,SVK,2021-02-19,360589.0,265169.0,95420.0,79.0,5460905.0,4.855770243210603
21420,Slovakia,SVK,2021-02-20,367232.0,271529.0,95703.0,74.0,5460905.0,4.972234455644257
21421,Slovakia,SVK,2021-02-21,373548.0,277845.0,95703.0,81.0,5460905.0,5.08789294082208
21422,Slovakia,SVK,2021-02-22,386184.0,283472.0,102712.0,72.0,5460905.0,5.190934469652924
