,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
21727,Slovenia,SVN,2021-01-06,21629.0,21628.0,1.0,30.0,2078724.0,1.0404459658906136
21728,Slovenia,SVN,2021-01-07,27106.0,27105.0,1.0,37.0,2078724.0,1.303924907779965
21729,Slovenia,SVN,2021-01-08,30372.0,30370.0,2.0,24.0,2078724.0,1.4609924165016617
21730,Slovenia,SVN,2021-01-09,30626.0,30624.0,2.0,29.0,2078724.0,1.4732114508708227
21731,Slovenia,SVN,2021-01-10,30627.0,30625.0,2.0,28.0,2078724.0,1.4732595573053469
21732,Slovenia,SVN,2021-01-11,31111.0,31109.0,2.0,33.0,2078724.0,1.496543071615087
21733,Slovenia,SVN,2021-01-12,32994.0,32992.0,2.0,20.0,2078724.0,1.5871274878242616
21734,Slovenia,SVN,2021-01-13,37732.0,37728.0,4.0,29.0,2078724.0,1.8149595617311391
21735,Slovenia,SVN,2021-01-14,44480.0,44475.0,5.0,23.0,2078724.0,2.139533675466296
21736,Slovenia,SVN,2021-01-15,49371.0,49218.0,153.0,19.0,2078724.0,2.3677024944148437
21737,Slovenia,SVN,2021-01-16,49695.0,49542.0,153.0,25.0,2078724.0,2.3832889792007017
21738,Slovenia,SVN,2021-01-17,49699.0,49545.0,154.0,30.0,2078724.0,2.3834332985042748
21739,Slovenia,SVN,2021-01-18,49908.0,49588.0,320.0,34.0,2078724.0,2.385501875188818
21740,Slovenia,SVN,2021-01-19,52099.0,50132.0,1967.0,31.0,2078724.0,2.411671775570013
21741,Slovenia,SVN,2021-01-20,57099.0,51324.0,5775.0,28.0,2078724.0,2.4690146455229267
21742,Slovenia,SVN,2021-01-21,61879.0,52612.0,9267.0,25.0,2078724.0,2.5309757331901683
21743,Slovenia,SVN,2021-01-22,64064.0,53801.0,10263.0,29.0,2078724.0,2.588174283839509
21744,Slovenia,SVN,2021-01-23,64785.0,54032.0,10753.0,24.0,2078724.0,2.599286870214613
21745,Slovenia,SVN,2021-01-24,64936.0,54049.0,10887.0,27.0,2078724.0,2.600104679601525
21746,Slovenia,SVN,2021-01-25,64944.0,54052.0,10892.0,30.0,2078724.0,2.600248998905098
21747,Slovenia,SVN,2021-01-26,66779.0,54133.0,12646.0,24.0,2078724.0,2.604145620101562
21748,Slovenia,SVN,2021-01-27,71902.0,54398.0,17504.0,23.0,2078724.0,2.6168938252504903
21749,Slovenia,SVN,2021-01-28,78235.0,54921.0,23314.0,24.0,2078724.0,2.6420534905066764
21750,Slovenia,SVN,2021-01-29,82837.0,55469.0,27368.0,16.0,2078724.0,2.6684158166259686
21751,Slovenia,SVN,2021-01-30,82954.0,55480.0,27474.0,26.0,2078724.0,2.668944987405736
21752,Slovenia,SVN,2021-01-31,82957.0,55481.0,27476.0,22.0,2078724.0,2.6689930938402595
21753,Slovenia,SVN,2021-02-01,83024.0,55504.0,27520.0,17.0,2078724.0,2.6700995418343174
21754,Slovenia,SVN,2021-02-02,84143.0,55523.0,28620.0,21.0,2078724.0,2.6710135640902783
21755,Slovenia,SVN,2021-02-03,89003.0,55708.0,33295.0,16.0,2078724.0,2.679913254477266
21756,Slovenia,SVN,2021-02-04,96467.0,56318.0,40149.0,24.0,2078724.0,2.7092581795370623
21757,Slovenia,SVN,2021-02-05,102165.0,56682.0,45483.0,25.0,2078724.0,2.726768921703892
21758,Slovenia,SVN,2021-02-06,102768.0,56710.0,46058.0,15.0,2078724.0,2.7281159018705705
21759,Slovenia,SVN,2021-02-07,102768.0,56710.0,46058.0,13.0,2078724.0,2.7281159018705705
21760,Slovenia,SVN,2021-02-08,103168.0,57109.0,46059.0,17.0,2078724.0,2.747310369245749
21761,Slovenia,SVN,2021-02-09,103288.0,57197.0,46091.0,8.0,2078724.0,2.7515437354838834
21762,Slovenia,SVN,2021-02-10,106510.0,59691.0,46819.0,18.0,2078724.0,2.871521183187378
21763,Slovenia,SVN,2021-02-11,115294.0,66604.0,48690.0,12.0,2078724.0,3.2040809650535613
21764,Slovenia,SVN,2021-02-12,124032.0,73534.0,50498.0,10.0,2078724.0,3.537458556306657
21765,Slovenia,SVN,2021-02-13,124934.0,74245.0,50689.0,16.0,2078724.0,3.571662231253404
21766,Slovenia,SVN,2021-02-14,124967.0,74262.0,50705.0,15.0,2078724.0,3.572480040640316
21767,Slovenia,SVN,2021-02-15,125051.0,74338.0,50713.0,9.0,2078724.0,3.5761361296641594
21768,Slovenia,SVN,2021-02-16,126183.0,75393.0,50790.0,10.0,2078724.0,3.62688841808725
21769,Slovenia,SVN,2021-02-17,131763.0,80341.0,51422.0,6.0,2078724.0,3.8649190561132696
21770,Slovenia,SVN,2021-02-18,140865.0,88673.0,52192.0,6.0,2078724.0,4.265741868569373
21771,Slovenia,SVN,2021-02-19,147647.0,94847.0,52800.0,8.0,2078724.0,4.562750995322131
