,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
22636,Spain,ESP,2021-01-18,897942.0,895627.0,2315.0,365.0,46738051.0,1.9162694653228047
22637,Spain,ESP,2021-01-19,966097.0,956756.0,9341.0,367.0,46738051.0,2.047060113824601
22638,Spain,ESP,2021-01-20,1025937.0,1010295.0,15642.0,412.0,46738051.0,2.161611317510865
22639,Spain,ESP,2021-01-21,1103301.0,1054245.0,49056.0,490.0,46738051.0,2.255646047371552
22640,Spain,ESP,2021-01-22,1165825.0,1097369.0,68456.0,459.0,46738051.0,2.3479134806027746
22641,Spain,ESP,2021-01-24,1237593.0,1148895.0,88698.0,568.0,46738051.0,2.4581577010988327
22642,Spain,ESP,2021-01-25,1291216.0,1167519.0,123697.0,453.0,46738051.0,2.4980053190493545
22643,Spain,ESP,2021-01-26,1356461.0,1183395.0,173066.0,518.0,46738051.0,2.531973359351249
22644,Spain,ESP,2021-01-27,1395618.0,1202859.0,192759.0,529.0,46738051.0,2.573618228111395
22645,Spain,ESP,2021-01-28,1474189.0,1222323.0,251866.0,550.0,46738051.0,2.6152630968715407
22646,Spain,ESP,2021-01-31,1609261.0,1251369.0,357892.0,533.0,46738051.0,2.677409462367184
22647,Spain,ESP,2021-02-01,1673054.0,1254535.0,418519.0,515.0,46738051.0,2.684183386252028
22648,Spain,ESP,2021-02-02,1764778.0,1265800.0,498978.0,486.0,46738051.0,2.708285803359665
22649,Spain,ESP,2021-02-03,1865342.0,1279220.0,586122.0,544.0,46738051.0,2.7369990246277065
22650,Spain,ESP,2021-02-04,1988160.0,1305251.0,682909.0,493.0,46738051.0,2.7926945434673773
22651,Spain,ESP,2021-02-07,2105033.0,1318626.0,786407.0,463.0,46738051.0,2.821311483442046
22652,Spain,ESP,2021-02-08,2167241.0,1328459.0,838782.0,408.0,46738051.0,2.842350015836133
22653,Spain,ESP,2021-02-09,2233249.0,1343566.0,889683.0,382.0,46738051.0,2.874672715813503
22654,Spain,ESP,2021-02-10,2320507.0,1377229.0,943278.0,411.0,46738051.0,2.9466975420091863
22655,Spain,ESP,2021-02-11,2423045.0,1422560.0,1000485.0,386.0,46738051.0,3.043687037784267
22656,Spain,ESP,2021-02-14,2561608.0,1491517.0,1070091.0,340.0,46738051.0,3.191226352164321
22657,Spain,ESP,2021-02-15,2624512.0,1527590.0,1096922.0,289.0,46738051.0,3.268407576516188
22658,Spain,ESP,2021-02-16,2690457.0,1571277.0,1119180.0,244.0,46738051.0,3.361879595706719
22659,Spain,ESP,2021-02-17,2782751.0,1638195.0,1144556.0,284.0,46738051.0,3.50505629770484
22660,Spain,ESP,2021-02-18,2936011.0,1764985.0,1171026.0,298.0,46738051.0,3.7763341907432126
22661,Spain,ESP,2021-02-21,3090351.0,1893290.0,1197061.0,225.0,46738051.0,4.0508535539918
22662,Spain,ESP,2021-02-22,3165191.0,1956886.0,1208305.0,185.0,46738051.0,4.186922556954718
22663,Spain,ESP,2021-02-23,3284678.0,2063495.0,1221183.0,183.0,46738051.0,4.415021499291873
22664,Spain,ESP,2021-02-24,3436158.0,2204376.0,1231782.0,226.0,46738051.0,4.716448274661689
22665,Spain,ESP,2021-02-25,3605635.0,2361852.0,1243783.0,190.0,46738051.0,5.053381451443065
22666,Spain,ESP,2021-02-28,3829465.0,2567617.0,1261848.0,176.0,46738051.0,5.493633014350555
22667,Spain,ESP,2021-03-01,3908734.0,2642034.0,1266700.0,162.0,46738051.0,5.652854458993166
22668,Spain,ESP,2021-03-02,4059320.0,2772318.0,1287002.0,149.0,46738051.0,5.931608059565856
22669,Spain,ESP,2021-03-03,4229092.0,2920179.0,1308913.0,134.0,46738051.0,6.247969133329929
22670,Spain,ESP,2021-03-04,4471577.0,3129092.0,1342485.0,154.0,46738051.0,6.694956107604915
22671,Spain,ESP,2021-03-07,4712191.0,3328703.0,1383488.0,131.0,46738051.0,7.122040668747612
22672,Spain,ESP,2021-03-08,4848648.0,3436412.0,1412236.0,126.0,46738051.0,7.352493153811655
22673,Spain,ESP,2021-03-09,4989505.0,3541667.0,1447838.0,98.0,46738051.0,7.577695099010439
22674,Spain,ESP,2021-03-10,5172106.0,3668848.0,1503258.0,119.0,46738051.0,7.849809569509007
22675,Spain,ESP,2021-03-11,5352767.0,3769523.0,1583244.0,117.0,46738051.0,8.065212218626746
22676,Spain,ESP,2021-03-15,5644895.0,3951221.0,1693674.0,85.0,46738051.0,8.45397040625421
22677,Spain,ESP,2021-03-16,5742218.0,4013681.0,1728537.0,78.0,46738051.0,8.587608841455541
22678,Spain,ESP,2021-03-17,5857085.0,4052470.0,1804615.0,100.0,46738051.0,8.670601176758526
22679,Spain,ESP,2021-03-18,5993363.0,4106550.0,1886813.0,112.0,46738051.0,8.78630989554956
22680,Spain,ESP,2021-03-22,6321908.0,4211040.0,2110868.0,67.0,46738051.0,9.009875058761008
22681,Spain,ESP,2021-03-23,6409196.0,4252598.0,2156598.0,67.0,46738051.0,9.09879190298286
22682,Spain,ESP,2021-03-24,6620093.0,4343860.0,2276233.0,74.0,46738051.0,9.294054645111324
22683,Spain,ESP,2021-03-25,6839736.0,4447534.0,2392202.0,90.0,46738051.0,9.515873907536282
