,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
22875,Sri Lanka,LKA,2021-04-29,933591.0,927711.0,5880.0,0.0,21539748.0,4.306972393548894
22876,Sri Lanka,LKA,2021-04-30,953461.0,928107.0,25354.0,6.0,21539748.0,4.30881085516878
22877,Sri Lanka,LKA,2021-05-01,991299.0,928107.0,63192.0,20.0,21539748.0,4.30881085516878
22878,Sri Lanka,LKA,2021-05-02,1016195.0,928107.0,88088.0,0.0,21539748.0,4.30881085516878
22879,Sri Lanka,LKA,2021-05-03,1024978.0,928107.0,96871.0,9.0,21539748.0,4.30881085516878
22880,Sri Lanka,LKA,2021-05-04,1048113.0,928107.0,120006.0,13.0,21539748.0,4.30881085516878
22881,Sri Lanka,LKA,2021-05-05,1069828.0,928107.0,141721.0,11.0,21539748.0,4.30881085516878
22882,Sri Lanka,LKA,2021-05-06,1088093.0,928107.0,159986.0,25.0,21539748.0,4.30881085516878
22883,Sri Lanka,LKA,2021-05-07,1105342.0,928107.0,177235.0,19.0,21539748.0,4.30881085516878
22884,Sri Lanka,LKA,2021-05-09,1125740.0,928400.0,197340.0,15.0,21539748.0,4.3101711310643
22885,Sri Lanka,LKA,2021-05-10,1130257.0,931276.0,198981.0,26.0,21539748.0,4.323523190707709
22886,Sri Lanka,LKA,2021-05-11,1162770.0,948817.0,213953.0,23.0,21539748.0,4.4049586838249
22887,Sri Lanka,LKA,2021-05-12,1220248.0,996445.0,223803.0,18.0,21539748.0,4.626075476834734
22888,Sri Lanka,LKA,2021-05-13,1309840.0,1075848.0,233992.0,24.0,21539748.0,4.994710244520967
22889,Sri Lanka,LKA,2021-05-14,1384079.0,1140122.0,243957.0,31.0,21539748.0,5.293107421683856
22890,Sri Lanka,LKA,2021-05-16,1541761.0,1273861.0,267900.0,21.0,21539748.0,5.914001408001616
22891,Sri Lanka,LKA,2021-05-17,1570070.0,1300558.0,269512.0,19.0,21539748.0,6.03794436220888
22892,Sri Lanka,LKA,2021-05-18,1644957.0,1350065.0,294892.0,34.0,21539748.0,6.267784562753473
22893,Sri Lanka,LKA,2021-05-19,1683203.0,1383082.0,300121.0,36.0,21539748.0,6.4210686216013295
22894,Sri Lanka,LKA,2021-05-20,1707323.0,1399927.0,307396.0,38.0,21539748.0,6.499272879144176
22895,Sri Lanka,LKA,2021-05-21,1726749.0,1410615.0,316134.0,0.0,21539748.0,6.548892772561684
22896,Sri Lanka,LKA,2021-05-22,1749366.0,1426735.0,322631.0,89.0,21539748.0,6.623731159714589
22897,Sri Lanka,LKA,2021-05-23,1765378.0,1437147.0,328231.0,32.0,21539748.0,6.672069701093997
22898,Sri Lanka,LKA,2021-05-24,1772924.0,1439501.0,333423.0,33.0,21539748.0,6.682998334056648
22899,Sri Lanka,LKA,2021-05-25,1782429.0,1441501.0,340928.0,26.0,21539748.0,6.692283493753037
22900,Sri Lanka,LKA,2021-05-26,1786343.0,1443066.0,343277.0,29.0,21539748.0,6.699549131215463
22901,Sri Lanka,LKA,2021-05-27,1790688.0,1446712.0,343976.0,27.0,21539748.0,6.7164759773419815
22902,Sri Lanka,LKA,2021-05-28,1833048.0,1488651.0,344397.0,38.0,21539748.0,6.911181133595434
22903,Sri Lanka,LKA,2021-05-29,1851001.0,1505273.0,345728.0,42.0,21539748.0,6.988350095832133
22904,Sri Lanka,LKA,2021-05-30,1872990.0,1526750.0,346240.0,36.0,21539748.0,7.088058783231818
22905,Sri Lanka,LKA,2021-05-31,1956742.0,1608518.0,348224.0,43.0,21539748.0,7.467673252259033
22906,Sri Lanka,LKA,2021-06-01,2041307.0,1691562.0,349745.0,43.0,21539748.0,7.853211653172544
22907,Sri Lanka,LKA,2021-06-02,2117653.0,1766636.0,351017.0,39.0,21539748.0,8.20174869269594
22908,Sri Lanka,LKA,2021-06-05,2272260.0,1920801.0,351459.0,40.0,21539748.0,8.917472014992933
22909,Sri Lanka,LKA,2021-06-06,2296864.0,1943708.0,353156.0,46.0,21539748.0,9.023819591575538
22910,Sri Lanka,LKA,2021-06-07,2301489.0,1948187.0,353302.0,47.0,21539748.0,9.044613706715603
22911,Sri Lanka,LKA,2021-06-08,2333591.0,1979802.0,353789.0,55.0,21539748.0,9.19138886861629
22912,Sri Lanka,LKA,2021-06-09,2377211.0,2023256.0,353955.0,66.0,21539748.0,9.393127533339758
22913,Sri Lanka,LKA,2021-06-10,2450965.0,2089320.0,361645.0,101.0,21539748.0,9.699834928430915
22914,Sri Lanka,LKA,2021-06-11,2544373.0,2156935.0,387438.0,62.0,21539748.0,10.013742964866628
22915,Sri Lanka,LKA,2021-06-12,2632706.0,2199504.0,433202.0,63.0,21539748.0,10.211372946424444
22916,Sri Lanka,LKA,2021-06-13,2769383.0,2259385.0,509998.0,0.0,21539748.0,10.489375270314213
22917,Sri Lanka,LKA,2021-06-14,2830470.0,2285572.0,544898.0,67.0,21539748.0,10.610950508798895
22918,Sri Lanka,LKA,2021-06-15,2930212.0,2317012.0,613200.0,55.0,21539748.0,10.756913219226147
22919,Sri Lanka,LKA,2021-06-16,3027917.0,2350564.0,677353.0,59.0,21539748.0,10.912681058292788
