,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
23104,Suriname,SUR,2021-05-04,41287.0,41205.0,82.0,1.0,594372.0,6.932527104237749
23105,Suriname,SUR,2021-05-07,43888.0,43636.0,252.0,0.0,594372.0,7.341530220131501
23106,Suriname,SUR,2021-05-08,45420.0,44918.0,502.0,1.0,594372.0,7.557220057472424
23107,Suriname,SUR,2021-05-11,48185.0,47453.0,732.0,1.0,594372.0,7.983720632869651
23108,Suriname,SUR,2021-05-13,49902.0,48904.0,998.0,2.0,594372.0,8.227843841903724
23109,Suriname,SUR,2021-05-15,51573.0,49961.0,1612.0,1.0,594372.0,8.40567859858809
23110,Suriname,SUR,2021-05-17,54162.0,52109.0,2053.0,1.0,594372.0,8.767068435256036
23111,Suriname,SUR,2021-05-19,57362.0,54837.0,2525.0,2.0,594372.0,9.226040257616445
23112,Suriname,SUR,2021-05-20,64793.0,60319.0,4474.0,8.0,594372.0,10.148358267213126
23113,Suriname,SUR,2021-05-21,68301.0,62862.0,5439.0,1.0,594372.0,10.576204801033697
23114,Suriname,SUR,2021-05-23,74120.0,64866.0,9254.0,3.0,594372.0,10.913367386081443
23115,Suriname,SUR,2021-05-25,76462.0,65675.0,10787.0,4.0,594372.0,11.049477431642137
23116,Suriname,SUR,2021-05-26,78542.0,66623.0,11919.0,7.0,594372.0,11.208973504808435
23117,Suriname,SUR,2021-05-28,80716.0,67472.0,13244.0,7.0,594372.0,11.351813342485851
23118,Suriname,SUR,2021-05-29,82943.0,68441.0,14502.0,7.0,594372.0,11.51484255651343
23119,Suriname,SUR,2021-06-01,85174.0,69226.0,15948.0,4.0,594372.0,11.64691472680409
23120,Suriname,SUR,2021-06-02,87508.0,70336.0,17172.0,10.0,594372.0,11.833666458043112
23121,Suriname,SUR,2021-06-03,90052.0,71396.0,18656.0,11.0,594372.0,12.012005949136231
23122,Suriname,SUR,2021-06-05,96708.0,75013.0,21155.0,9.0,594372.0,12.620547401290777
23123,Suriname,SUR,2021-06-06,102612.0,80816.0,21256.0,7.0,594372.0,13.596871992624148
23124,Suriname,SUR,2021-06-07,108076.0,86640.0,21436.0,7.0,594372.0,14.5767297248188
23125,Suriname,SUR,2021-06-08,110393.0,88708.0,21658.0,11.0,594372.0,14.924659977253302
23126,Suriname,SUR,2021-06-09,112200.0,90029.0,22171.0,5.0,594372.0,15.14691136190803
23127,Suriname,SUR,2021-06-12,127078.0,101781.0,25297.0,11.0,594372.0,17.12412428580081
23128,Suriname,SUR,2021-06-13,136853.0,110920.0,25933.0,6.0,594372.0,18.66171353966876
23129,Suriname,SUR,2021-06-14,144415.0,118124.0,26291.0,3.0,594372.0,19.873749099890304
23130,Suriname,SUR,2021-06-15,146567.0,119956.0,26529.0,11.0,594372.0,20.18197357883615
23131,Suriname,SUR,2021-06-16,155669.0,127363.0,28306.0,8.0,594372.0,21.428162834050056
23132,Suriname,SUR,2021-06-18,165785.0,135354.0,30431.0,9.0,594372.0,22.7726070541681
23133,Suriname,SUR,2021-06-20,175694.0,144662.0,31032.0,7.0,594372.0,24.33862967972919
23134,Suriname,SUR,2021-06-21,177228.0,145832.0,31396.0,11.0,594372.0,24.535476099143292
23135,Suriname,SUR,2021-06-23,182331.0,149697.0,32634.0,7.0,594372.0,25.185742262421517
23136,Suriname,SUR,2021-06-24,184446.0,151208.0,33238.0,10.0,594372.0,25.43996015963067
23137,Suriname,SUR,2021-06-25,187306.0,153121.0,34185.0,5.0,594372.0,25.76181246761288
23138,Suriname,SUR,2021-06-27,191963.0,157459.0,34504.0,4.0,594372.0,26.49165842267132
23139,Suriname,SUR,2021-06-28,192975.0,157982.0,34993.0,5.0,594372.0,26.57965045459746
23140,Suriname,SUR,2021-06-30,196194.0,160268.0,35926.0,5.0,594372.0,26.96425807406809
23141,Suriname,SUR,2021-07-01,197723.0,161525.0,36198.0,4.0,594372.0,27.175741791336065
23142,Suriname,SUR,2021-07-02,199471.0,162516.0,36955.0,6.0,594372.0,27.34247239102784
