,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
23289,Sweden,SWE,2021-01-17,132630.0,132102.0,527.0,90.0,10190849.0,1.2962806141078138
23290,Sweden,SWE,2021-01-24,249112.0,237336.0,11773.0,59.0,10190849.0,2.3289129296293174
23291,Sweden,SWE,2021-01-31,340204.0,302012.0,38186.0,58.0,10190849.0,2.963560739640044
23292,Sweden,SWE,2021-02-07,440253.0,345342.0,94904.0,36.0,10190849.0,3.3887461191898733
23293,Sweden,SWE,2021-02-14,558310.0,391794.0,166505.0,28.0,10190849.0,3.844566826571565
23294,Sweden,SWE,2021-02-21,712926.0,461904.0,251007.0,25.0,10190849.0,4.53253698489694
23295,Sweden,SWE,2021-02-28,869245.0,563337.0,305892.0,18.0,10190849.0,5.527871132228531
23296,Sweden,SWE,2021-03-07,1058957.0,714956.0,343981.0,15.0,10190849.0,7.015666702548532
23297,Sweden,SWE,2021-03-14,1280301.0,896821.0,383457.0,19.0,10190849.0,8.800257956918015
23298,Sweden,SWE,2021-03-21,1454510.0,1015697.0,438783.0,11.0,10190849.0,9.966755468558116
23299,Sweden,SWE,2021-03-28,1652620.0,1144435.0,508153.0,22.0,10190849.0,11.230026075354466
23300,Sweden,SWE,2021-04-04,1917750.0,1341068.0,576649.0,22.0,10190849.0,13.159531654330271
23301,Sweden,SWE,2021-04-11,2263138.0,1592340.0,670762.0,24.0,10190849.0,15.625194721264146
23302,Sweden,SWE,2021-04-18,2737847.0,2000305.0,737502.0,15.0,10190849.0,19.628443125788635
23303,Sweden,SWE,2021-04-25,3178611.0,2402644.0,775924.0,17.0,10190849.0,23.576485138774995
23304,Sweden,SWE,2021-05-02,3578793.0,2775117.0,803622.0,17.0,10190849.0,27.23146030325834
23305,Sweden,SWE,2021-05-09,4037258.0,3117985.0,919215.0,13.0,10190849.0,30.595929740495613
23306,Sweden,SWE,2021-05-16,4463306.0,3396488.0,1066751.0,24.0,10190849.0,33.328803125235204
