,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
25052,The United Kingdom,GBR,2021-01-10,2677971.0,2286572.0,391399.0,1035.0,68372457.0,3.344288183178791
25053,The United Kingdom,GBR,2021-01-11,2843815.0,2431648.0,412167.0,563.0,68372457.0,3.5564730400137585
25054,The United Kingdom,GBR,2021-01-12,3067541.0,2639309.0,428232.0,529.0,68372457.0,3.860193293916584
25055,The United Kingdom,GBR,2021-01-13,3356229.0,2918252.0,437977.0,1243.0,68372457.0,4.268168979213369
25056,The United Kingdom,GBR,2021-01-14,3678180.0,3234946.0,443234.0,1564.0,68372457.0,4.731358418200475
25057,The United Kingdom,GBR,2021-01-15,4023705.0,3576263.0,447442.0,1248.0,68372457.0,5.230560896765784
25058,The United Kingdom,GBR,2021-01-16,4322456.0,3872394.0,450062.0,1280.0,68372457.0,5.663675359801681
25059,The United Kingdom,GBR,2021-01-17,4514802.0,4062501.0,452301.0,1295.0,68372457.0,5.9417215326926165
25060,The United Kingdom,GBR,2021-01-18,4723443.0,4266577.0,456866.0,671.0,68372457.0,6.24019844716126
25061,The United Kingdom,GBR,2021-01-19,5070365.0,4609740.0,460625.0,599.0,68372457.0,6.742100843326429
25062,The United Kingdom,GBR,2021-01-20,5437284.0,4973248.0,464036.0,1610.0,68372457.0,7.273759373602735
25063,The United Kingdom,GBR,2021-01-21,5849899.0,5383103.0,466796.0,1820.0,68372457.0,7.873203971593415
25064,The United Kingdom,GBR,2021-01-22,6329968.0,5861351.0,468617.0,1290.0,68372457.0,8.5726786153085
25065,The United Kingdom,GBR,2021-01-23,6822981.0,6353321.0,469660.0,1401.0,68372457.0,9.292222744021032
25066,The United Kingdom,GBR,2021-01-24,7044048.0,6573570.0,470478.0,1348.0,68372457.0,9.61435392032204
25067,The United Kingdom,GBR,2021-01-25,7325773.0,6853327.0,472446.0,610.0,68372457.0,10.02352014349872
25068,The United Kingdom,GBR,2021-01-26,7638543.0,7164387.0,474156.0,592.0,68372457.0,10.478469422270432
25069,The United Kingdom,GBR,2021-01-27,7953250.0,7476765.0,476485.0,1631.0,68372457.0,10.935346377855048
25070,The United Kingdom,GBR,2021-01-28,8369438.0,7891184.0,478254.0,1725.0,68372457.0,11.541466178405727
25071,The United Kingdom,GBR,2021-01-29,8859372.0,8378940.0,480432.0,1239.0,68372457.0,12.254847006595067
25072,The United Kingdom,GBR,2021-01-30,9468382.0,8977329.0,491053.0,1223.0,68372457.0,13.130037143465534
25073,The United Kingdom,GBR,2021-01-31,9790576.0,9296367.0,494209.0,1222.0,68372457.0,13.596654863522016
25074,The United Kingdom,GBR,2021-02-01,10143511.0,9646715.0,496796.0,587.0,68372457.0,14.109065877214272
25075,The United Kingdom,GBR,2021-02-02,10520433.0,10021471.0,498962.0,406.0,68372457.0,14.657175476376402
25076,The United Kingdom,GBR,2021-02-03,10992444.0,10490487.0,501957.0,1449.0,68372457.0,15.343147606937688
25077,The United Kingdom,GBR,2021-02-04,11477040.0,10971047.0,505993.0,1322.0,68372457.0,16.046003729250216
25078,The United Kingdom,GBR,2021-02-05,11975267.0,11465210.0,510057.0,915.0,68372457.0,16.768755289867673
25079,The United Kingdom,GBR,2021-02-06,12526737.0,12015018.0,511719.0,1014.0,68372457.0,17.57289196145167
25080,The United Kingdom,GBR,2021-02-07,12806587.0,12294006.0,512581.0,828.0,68372457.0,17.980933462724618
25081,The United Kingdom,GBR,2021-02-08,13162878.0,12646486.0,516392.0,373.0,68372457.0,18.496462691109667
25082,The United Kingdom,GBR,2021-02-09,13577851.0,13058298.0,519553.0,333.0,68372457.0,19.098769552774737
25083,The United Kingdom,GBR,2021-02-10,14033555.0,13509108.0,524447.0,1052.0,68372457.0,19.758114001958425
25084,The United Kingdom,GBR,2021-02-11,14542318.0,14012224.0,530094.0,1001.0,68372457.0,20.49396001667748
25085,The United Kingdom,GBR,2021-02-12,15091696.0,14556827.0,534869.0,678.0,68372457.0,21.29048397368549
25086,The United Kingdom,GBR,2021-02-13,15599904.0,15062189.0,537715.0,758.0,68372457.0,22.029614936903613
25087,The United Kingdom,GBR,2021-02-14,15839781.0,15300151.0,539630.0,621.0,68372457.0,22.377652743998947
25088,The United Kingdom,GBR,2021-02-15,16122272.0,15576107.0,546165.0,258.0,68372457.0,22.78125971105587
25089,The United Kingdom,GBR,2021-02-16,16499549.0,15940972.0,558577.0,230.0,68372457.0,23.314902958657758
25090,The United Kingdom,GBR,2021-02-17,16996806.0,16423082.0,573724.0,799.0,68372457.0,24.020026075704724
25091,The United Kingdom,GBR,2021-02-18,17465127.0,16875536.0,589591.0,738.0,68372457.0,24.68177500188417
25092,The United Kingdom,GBR,2021-02-19,17852327.0,17247442.0,604885.0,454.0,68372457.0,25.225716255889413
25093,The United Kingdom,GBR,2021-02-20,18197269.0,17582121.0,615148.0,533.0,68372457.0,25.71521014668231
25094,The United Kingdom,GBR,2021-02-21,18348165.0,17723840.0,624325.0,445.0,68372457.0,25.922485131695648
25095,The United Kingdom,GBR,2021-02-22,18558969.0,17916181.0,642788.0,215.0,68372457.0,26.203798702158675
25096,The United Kingdom,GBR,2021-02-23,18911978.0,18242873.0,669105.0,177.0,68372457.0,26.68161098847157
25097,The United Kingdom,GBR,2021-02-24,19392553.0,18691835.0,700718.0,548.0,68372457.0,27.338252594900897
25098,The United Kingdom,GBR,2021-02-25,19913592.0,19177555.0,736037.0,442.0,68372457.0,28.04865561581325
25099,The United Kingdom,GBR,2021-02-26,20450858.0,19682048.0,768810.0,323.0,68372457.0,28.78651559940284
25100,The United Kingdom,GBR,2021-02-27,20885683.0,20089551.0,796132.0,345.0,68372457.0,29.38252021570616
25101,The United Kingdom,GBR,2021-02-28,21091267.0,20275451.0,815816.0,290.0,68372457.0,29.65441332611464
25102,The United Kingdom,GBR,2021-03-01,21322717.0,20478619.0,844098.0,144.0,68372457.0,29.951562220442067
25103,The United Kingdom,GBR,2021-03-02,21599027.0,20703615.0,895412.0,104.0,68372457.0,30.28063625093947
25104,The United Kingdom,GBR,2021-03-03,21946433.0,20982571.0,963862.0,343.0,68372457.0,30.68863094974048
25105,The United Kingdom,GBR,2021-03-04,22392883.0,21358815.0,1034068.0,487.0,68372457.0,31.23891686384768
25106,The United Kingdom,GBR,2021-03-05,22887118.0,21796278.0,1090840.0,242.0,68372457.0,31.878740294501924
25107,The United Kingdom,GBR,2021-03-06,23335514.0,22213112.0,1122402.0,236.0,68372457.0,32.48839221910659
25108,The United Kingdom,GBR,2021-03-07,23519898.0,22377255.0,1142643.0,158.0,68372457.0,32.72846403632972
25109,The United Kingdom,GBR,2021-03-08,23773959.0,22592528.0,1181431.0,82.0,68372457.0,33.043317428244535
25110,The United Kingdom,GBR,2021-03-09,24064182.0,22809829.0,1254353.0,65.0,68372457.0,33.361136926818354
