,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
24021,Tonga,TON,2021-07-20,35635.0,28729.0,6906.0,0.0,107311.0,26.771719581403588
24022,Tonga,TON,2021-07-27,39511.0,28753.0,10758.0,0.0,107311.0,26.79408448341736
24023,Tonga,TON,2021-08-02,47553.0,28841.0,18712.0,0.0,107311.0,26.876089124134523
24024,Tonga,TON,2021-08-23,54619.0,28841.0,25778.0,0.0,107311.0,26.876089124134523
24025,Tonga,TON,2021-08-31,68404.0,41130.0,27274.0,0.0,107311.0,38.32785082610357
24026,Tonga,TON,2021-09-21,73603.0,46126.0,27477.0,0.0,107311.0,42.98347792863733
24027,Tonga,TON,2021-10-05,74503.0,46985.0,27518.0,0.0,107311.0,43.78395504654695
24028,Tonga,TON,2021-10-18,80062.0,49817.0,30245.0,0.0,107311.0,46.42301348417217
24029,Tonga,TON,2021-10-25,84506.0,51048.0,33458.0,0.0,107311.0,47.57014658329528
24030,Tonga,TON,2021-11-01,91707.0,54529.0,37178.0,0.0,107311.0,50.813989246209616
24031,Tonga,TON,2021-11-15,102568.0,63259.0,39309.0,0.0,107311.0,58.94922235371956
24032,Tonga,TON,2021-11-22,116753.0,72695.0,44058.0,0.0,107311.0,67.74235632880134
24033,Tonga,TON,2021-11-30,118185.0,73183.0,45002.0,0.0,107311.0,68.19710933641471
24034,Tonga,TON,2021-12-06,119535.0,73296.0,46239.0,0.0,107311.0,68.3024107500629
24035,Tonga,TON,2021-12-20,130236.0,73609.0,56627.0,0.0,107311.0,68.59408634715919
