,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
24298,Turkey,TUR,2021-02-12,3404354.0,3067822.0,336532.0,94.0,85419533.0,3.5914759683830164
24299,Turkey,TUR,2021-02-13,3709896.0,3253005.0,456891.0,97.0,85419533.0,3.8082683032228704
24300,Turkey,TUR,2021-02-14,3825101.0,3336164.0,488937.0,93.0,85419533.0,3.9056219143693984
24301,Turkey,TUR,2021-02-15,4182027.0,3608148.0,573879.0,94.0,85419533.0,4.224031522157818
24302,Turkey,TUR,2021-02-16,4630784.0,3984622.0,646162.0,91.0,85419533.0,4.664766781152972
24303,Turkey,TUR,2021-02-17,5223602.0,4477432.0,746170.0,90.0,85419533.0,5.241695713789492
24304,Turkey,TUR,2021-02-18,5895295.0,5028179.0,867116.0,86.0,85419533.0,5.886451053297143
24305,Turkey,TUR,2021-02-19,6361699.0,5384983.0,976716.0,83.0,85419533.0,6.30415879234554
24306,Turkey,TUR,2021-02-20,6533510.0,5503094.0,1030416.0,82.0,85419533.0,6.4424304450365
24307,Turkey,TUR,2021-02-21,6571830.0,5517993.0,1053837.0,80.0,85419533.0,6.459872591436435
24308,Turkey,TUR,2021-02-22,6837302.0,5738471.0,1098831.0,77.0,85419533.0,6.717984515321572
24309,Turkey,TUR,2021-02-23,7289498.0,6106522.0,1182976.0,78.0,85419533.0,7.148859032043643
24310,Turkey,TUR,2021-02-24,7619695.0,6352410.0,1267285.0,75.0,85419533.0,7.43671825037957
24311,Turkey,TUR,2021-02-25,7979726.0,6582239.0,1397487.0,72.0,85419533.0,7.705777319105691
24312,Turkey,TUR,2021-02-26,8298805.0,6745147.0,1553658.0,73.0,85419533.0,7.896492480238683
24313,Turkey,TUR,2021-02-27,8514775.0,6854642.0,1660133.0,74.0,85419533.0,8.024677447019055
24314,Turkey,TUR,2021-02-28,8547875.0,6869923.0,1677952.0,71.0,85419533.0,8.04256679792431
24315,Turkey,TUR,2021-03-01,8774718.0,6975558.0,1799160.0,66.0,85419533.0,8.166232891954584
24316,Turkey,TUR,2021-03-02,9073640.0,7123722.0,1949918.0,69.0,85419533.0,8.3396873640131
24317,Turkey,TUR,2021-03-03,9317546.0,7240515.0,2077031.0,68.0,85419533.0,8.476416044091462
24318,Turkey,TUR,2021-03-04,9560038.0,7353536.0,2206502.0,65.0,85419533.0,8.608728872352884
24319,Turkey,TUR,2021-03-05,9756289.0,7446337.0,2309952.0,68.0,85419533.0,8.717370299835284
24320,Turkey,TUR,2021-03-06,9883607.0,7509923.0,2373684.0,62.0,85419533.0,8.791809948200022
24321,Turkey,TUR,2021-03-07,9917348.0,7524943.0,2392405.0,64.0,85419533.0,8.809393748383055
24322,Turkey,TUR,2021-03-08,10001980.0,7565023.0,2436957.0,65.0,85419533.0,8.856315100669072
24323,Turkey,TUR,2021-03-09,10222994.0,7676519.0,2546475.0,64.0,85419533.0,8.986842622986478
24324,Turkey,TUR,2021-03-10,10360283.0,7745480.0,2614803.0,66.0,85419533.0,9.067574743121108
24325,Turkey,TUR,2021-03-11,10502494.0,7807838.0,2694656.0,67.0,85419533.0,9.140576781191251
24326,Turkey,TUR,2021-03-12,10742277.0,7858565.0,2883712.0,63.0,85419533.0,9.19996249569756
