,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
26049,Uzbekistan,UZB,2021-05-10,1173978.0,1057094.0,116884.0,0.0,34167792.0,3.093831758282771
26050,Uzbekistan,UZB,2021-05-12,1285215.0,1095112.0,190103.0,2.0,34167792.0,3.2051002885992754
26051,Uzbekistan,UZB,2021-05-18,1412312.0,1125995.0,286317.0,2.0,34167792.0,3.295486579876159
26052,Uzbekistan,UZB,2021-05-23,1600504.0,1183943.0,416561.0,0.0,34167792.0,3.4650848963257563
26053,Uzbekistan,UZB,2021-05-25,1642744.0,1199354.0,443390.0,2.0,34167792.0,3.5101887766116118
26054,Uzbekistan,UZB,2021-06-15,2695058.0,1623764.0,1002919.0,1.0,34167792.0,4.75232347469219
26055,Uzbekistan,UZB,2021-07-20,5803255.0,3667979.0,1023425.0,4.0,34167792.0,10.735194712025876
26056,Uzbekistan,UZB,2021-08-02,8009376.0,5231451.0,1232807.0,6.0,34167792.0,15.31105960841719
26057,Uzbekistan,UZB,2021-09-21,18755587.0,10591499.0,3842737.0,5.0,34167792.0,30.99848828393711
26058,Uzbekistan,UZB,2021-09-24,19425897.0,10844590.0,4095845.0,5.0,34167792.0,31.73921803316995
26059,Uzbekistan,UZB,2021-09-25,19669106.0,10946587.0,4186586.0,6.0,34167792.0,32.03773600588531
26060,Uzbekistan,UZB,2021-09-27,19969345.0,11085296.0,4283645.0,3.0,34167792.0,32.443700195786725
26061,Uzbekistan,UZB,2021-09-28,20219087.0,11196460.0,4372030.0,5.0,34167792.0,32.769047528737005
26062,Uzbekistan,UZB,2021-09-29,20505369.0,11345355.0,4458166.0,4.0,34167792.0,33.20482341966961
26063,Uzbekistan,UZB,2021-09-30,20781994.0,11491111.0,4539621.0,5.0,34167792.0,33.63141229611794
26064,Uzbekistan,UZB,2021-10-02,21035121.0,11620140.0,4613029.0,3.0,34167792.0,34.00904571182124
26065,Uzbekistan,UZB,2021-10-04,21292009.0,11728726.0,4700231.0,2.0,34167792.0,34.32684792742826
26066,Uzbekistan,UZB,2021-10-05,21521904.0,11827764.0,4781754.0,2.0,34167792.0,34.61670569757624
26067,Uzbekistan,UZB,2021-10-06,21745580.0,11923044.0,4861151.0,4.0,34167792.0,34.89556480559236
26068,Uzbekistan,UZB,2021-10-07,21978290.0,12025985.0,4941860.0,5.0,34167792.0,35.1968456141386
26069,Uzbekistan,UZB,2021-10-14,23183452.0,12500946.0,5421471.0,4.0,34167792.0,36.586929585616765
26070,Uzbekistan,UZB,2021-10-15,23416745.0,12595716.0,5514287.0,3.0,34167792.0,36.86429605986831
26071,Uzbekistan,UZB,2021-10-16,23645856.0,12692440.0,5605575.0,2.0,34167792.0,37.147381370151166
26072,Uzbekistan,UZB,2021-10-17,23846899.0,12772433.0,5688341.0,2.0,34167792.0,37.38149951275751
26073,Uzbekistan,UZB,2021-10-19,24087004.0,12861301.0,5789691.0,2.0,34167792.0,37.64159240960024
26074,Uzbekistan,UZB,2021-10-20,24300975.0,12938201.0,5882086.0,3.0,34167792.0,37.86665816743441
