,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
26075,Vanuatu,VUT,2021-07-27,23995.0,23881.0,114.0,0.0,318138.0,7.506490893888816
26076,Vanuatu,VUT,2021-08-16,31042.0,29321.0,1721.0,0.0,318138.0,9.216440664114316
26077,Vanuatu,VUT,2021-08-31,38250.0,31654.0,6596.0,0.0,318138.0,9.949770225499623
26078,Vanuatu,VUT,2021-09-07,43659.0,34753.0,8906.0,0.0,318138.0,10.923875802324776
26079,Vanuatu,VUT,2021-09-14,50620.0,39347.0,11273.0,0.0,318138.0,12.36790323696006
26080,Vanuatu,VUT,2021-09-21,57184.0,42840.0,14344.0,0.0,318138.0,13.46585444052581
26081,Vanuatu,VUT,2021-10-05,73744.0,49639.0,24105.0,0.0,318138.0,15.602977324305806
26082,Vanuatu,VUT,2021-10-12,87583.0,59215.0,28368.0,0.0,318138.0,18.61299184630569
26083,Vanuatu,VUT,2021-10-25,96536.0,65982.0,30554.0,0.0,318138.0,20.74005620202553
26084,Vanuatu,VUT,2021-11-01,105012.0,72276.0,32736.0,0.0,318138.0,22.71844293985629
26085,Vanuatu,VUT,2021-11-08,114912.0,80551.0,34361.0,0.0,318138.0,25.3195154304107
26086,Vanuatu,VUT,2021-11-15,122867.0,85976.0,36891.0,0.0,318138.0,27.02475026560801
26087,Vanuatu,VUT,2021-11-22,129582.0,89472.0,40110.0,0.0,318138.0,28.12364445617939
26088,Vanuatu,VUT,2021-12-06,141490.0,96141.0,45349.0,0.0,318138.0,30.219904569715027
26089,Vanuatu,VUT,2021-12-13,147609.0,100264.0,47345.0,0.0,318138.0,31.51588304446498
26090,Vanuatu,VUT,2021-12-20,152711.0,102308.0,50403.0,0.0,318138.0,32.158371524307064
