,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
26091,Venezuela (Bolivarian Republic of),VEN,2021-06-11,739962.0,588066.0,151896.0,14.0,28822530.0,2.040299723861854
26092,Venezuela (Bolivarian Republic of),VEN,2021-06-18,1302992.0,1079134.0,223858.0,21.0,28822530.0,3.7440641054064314
26093,Venezuela (Bolivarian Republic of),VEN,2021-06-25,1466988.0,1223130.0,223858.0,18.0,28822530.0,4.2436593872918165
26094,Venezuela (Bolivarian Republic of),VEN,2021-07-05,2508201.0,2284343.0,223858.0,19.0,28822530.0,7.92554643884489
26095,Venezuela (Bolivarian Republic of),VEN,2021-07-12,4000000.0,2900000.0,1100000.0,14.0,28822530.0,10.06157335945179
26096,Venezuela (Bolivarian Republic of),VEN,2021-08-27,9342817.0,6006270.0,3336547.0,16.0,28822530.0,20.838802145405
26097,Venezuela (Bolivarian Republic of),VEN,2021-09-10,11094206.0,6822809.0,4271397.0,17.0,28822530.0,23.67179078311307
26098,Venezuela (Bolivarian Republic of),VEN,2021-09-21,14050000.0,8800000.0,5250000.0,10.0,28822530.0,30.531670883853707
26099,Venezuela (Bolivarian Republic of),VEN,2021-09-27,15714857.0,9731808.0,5983049.0,16.0,28822530.0,33.76458624555166
26100,Venezuela (Bolivarian Republic of),VEN,2021-10-08,16127242.0,9926613.0,6190629.0,19.0,28822530.0,34.4404637622027
26101,Venezuela (Bolivarian Republic of),VEN,2021-11-05,23156914.0,13858057.0,9271857.0,10.0,28822530.0,48.08064038791876
26102,Venezuela (Bolivarian Republic of),VEN,2021-11-29,26314390.0,16415684.0,9858581.0,7.0,28822530.0,56.95434786606173
26103,Venezuela (Bolivarian Republic of),VEN,2021-12-17,30049714.0,18393519.0,11608305.0,6.0,28822530.0,63.81646232998976
