,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
26294,Zambia,ZMB,2021-05-21,129941.0,128834.0,1107.0,2.0,19191260.0,0.6713160053065823
26295,Zambia,ZMB,2021-05-22,134832.0,131633.0,3199.0,1.0,19191260.0,0.6859007694127431
26296,Zambia,ZMB,2021-05-23,138201.0,133134.0,5067.0,1.0,19191260.0,0.6937220380527386
26297,Zambia,ZMB,2021-05-25,144085.0,138799.0,5286.0,3.0,19191260.0,0.7232406835194771
26298,Zambia,ZMB,2021-05-26,145198.0,139912.0,5286.0,0.0,19191260.0,0.7290401985070287
26299,Zambia,ZMB,2021-05-27,146129.0,140843.0,5286.0,2.0,19191260.0,0.7338913651318361
26300,Zambia,ZMB,2021-05-28,146645.0,141359.0,5286.0,2.0,19191260.0,0.7365800890613748
26301,Zambia,ZMB,2021-05-29,147033.0,141747.0,5286.0,0.0,19191260.0,0.7386018427138187
26302,Zambia,ZMB,2021-06-02,147115.0,141829.0,5286.0,1.0,19191260.0,0.7390291205475826
26303,Zambia,ZMB,2021-06-15,148304.0,142089.0,6215.0,27.0,19191260.0,0.7403839039229315
26304,Zambia,ZMB,2021-06-24,149002.0,142089.0,6913.0,50.0,19191260.0,0.7403839039229315
26305,Zambia,ZMB,2021-06-25,149699.0,142089.0,7610.0,61.0,19191260.0,0.7403839039229315
26306,Zambia,ZMB,2021-06-26,150476.0,142089.0,8387.0,60.0,19191260.0,0.7403839039229315
26307,Zambia,ZMB,2021-06-27,151205.0,142125.0,9080.0,52.0,19191260.0,0.7405714893133645
26308,Zambia,ZMB,2021-06-29,153106.0,142125.0,10981.0,69.0,19191260.0,0.7405714893133645
26309,Zambia,ZMB,2021-06-30,154819.0,142125.0,12694.0,47.0,19191260.0,0.7405714893133645
26310,Zambia,ZMB,2021-07-01,156584.0,142125.0,14459.0,61.0,19191260.0,0.7405714893133645
26311,Zambia,ZMB,2021-07-02,158786.0,142125.0,16661.0,72.0,19191260.0,0.7405714893133645
26312,Zambia,ZMB,2021-07-03,162383.0,142125.0,20258.0,70.0,19191260.0,0.7405714893133645
26313,Zambia,ZMB,2021-07-04,164370.0,142125.0,22245.0,56.0,19191260.0,0.7405714893133645
26314,Zambia,ZMB,2021-07-07,169922.0,142198.0,27724.0,67.0,19191260.0,0.7409518707995202
26315,Zambia,ZMB,2021-07-08,171238.0,142198.0,29040.0,59.0,19191260.0,0.7409518707995202
26316,Zambia,ZMB,2021-07-09,175244.0,142198.0,33046.0,54.0,19191260.0,0.7409518707995202
26317,Zambia,ZMB,2021-07-10,181219.0,144457.0,36762.0,64.0,19191260.0,0.7527228540491869
26318,Zambia,ZMB,2021-07-11,191272.0,150161.0,41111.0,39.0,19191260.0,0.782444717022228
26319,Zambia,ZMB,2021-07-12,197744.0,155129.0,42615.0,47.0,19191260.0,0.808331500901973
26320,Zambia,ZMB,2021-07-13,210992.0,164503.0,46489.0,45.0,19191260.0,0.857176652288594
26321,Zambia,ZMB,2021-07-14,215784.0,167816.0,47968.0,37.0,19191260.0,0.874439718913714
26322,Zambia,ZMB,2021-07-15,243818.0,189408.0,54410.0,45.0,19191260.0,0.9869492675311574
26323,Zambia,ZMB,2021-07-16,260882.0,202690.0,58192.0,42.0,19191260.0,1.0561578551903317
26324,Zambia,ZMB,2021-07-17,275253.0,213237.0,62016.0,0.0,19191260.0,1.111115163881892
26325,Zambia,ZMB,2021-07-18,283617.0,219467.0,64150.0,61.0,19191260.0,1.1435778578373696
26326,Zambia,ZMB,2021-07-19,289948.0,224420.0,65528.0,32.0,19191260.0,1.169386481137768
26327,Zambia,ZMB,2021-07-20,301220.0,232383.0,68837.0,29.0,19191260.0,1.2108793273604754
26328,Zambia,ZMB,2021-07-21,312479.0,243642.0,68837.0,25.0,19191260.0,1.2695466582183763
26329,Zambia,ZMB,2021-07-22,322358.0,246553.0,75805.0,24.0,19191260.0,1.284715021316995
26330,Zambia,ZMB,2021-07-24,343223.0,256059.0,87164.0,25.0,19191260.0,1.3342479858018703
26331,Zambia,ZMB,2021-07-26,361333.0,266262.0,95071.0,22.0,19191260.0,1.3874128118737383
26332,Zambia,ZMB,2021-07-27,381015.0,269762.0,111253.0,23.0,19191260.0,1.4056502803880515
26333,Zambia,ZMB,2021-07-28,400639.0,282556.0,118083.0,21.0,19191260.0,1.4723160438658014
26334,Zambia,ZMB,2021-07-29,413774.0,283481.0,130293.0,22.0,19191260.0,1.47713594625887
