,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
18444,"occupied Palestinian territory, including east Jerusalem",PSE,2021-03-30,81942.0,73964.0,7978.0,18.0,5283006.0,1.4000362672311937
18445,"occupied Palestinian territory, including east Jerusalem",PSE,2021-03-31,87066.0,78379.0,8687.0,16.0,5283006.0,1.4836061136406054
18446,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-01,93217.0,83822.0,9395.0,13.0,5283006.0,1.5866345788742242
18447,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-03,100386.0,90204.0,10182.0,16.0,5283006.0,1.7074370159715888
18448,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-04,102755.0,91626.0,11129.0,24.0,5283006.0,1.7343535101039067
18449,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-05,111880.0,100552.0,11328.0,25.0,5283006.0,1.9033103502059243
18450,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-06,121326.0,109894.0,11432.0,10.0,5283006.0,2.0801414952017847
18451,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-07,132392.0,120772.0,11620.0,21.0,5283006.0,2.286046996728756
18452,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-08,143142.0,131394.0,11748.0,18.0,5283006.0,2.487106772167209
18453,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-09,152503.0,140032.0,12471.0,28.0,5283006.0,2.650612170419644
18454,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-10,152952.0,140481.0,12471.0,33.0,5283006.0,2.6591111196920845
18455,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-11,154099.0,140932.0,13167.0,26.0,5283006.0,2.667647926199592
18456,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-12,161660.0,146986.0,14674.0,22.0,5283006.0,2.782241776746042
18457,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-13,168682.0,151022.0,17660.0,26.0,5283006.0,2.858637677110342
18458,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-14,173851.0,153911.0,19940.0,18.0,5283006.0,2.913322453163975
18459,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-15,177865.0,156446.0,21419.0,22.0,5283006.0,2.9613064986108286
18460,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-16,182867.0,159754.0,23113.0,14.0,5283006.0,3.0239223654109044
18461,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-17,182867.0,159754.0,23113.0,19.0,5283006.0,3.0239223654109044
18462,"occupied Palestinian territory, including east Jerusalem",PSE,2021-04-18,183606.0,159976.0,23630.0,28.0,5283006.0,3.0281245185032915
