,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
6360,Denmark,DNK,2021-02-23,498280.0,330295.0,167984.0,5.0,5823953.0,5.671319806323988
6361,Denmark,DNK,2021-02-24,513531.0,343699.0,169830.0,0.0,5823953.0,5.901472762572088
6362,Denmark,DNK,2021-02-25,528515.0,358075.0,170437.0,2.0,5823953.0,6.148315413946508
6363,Denmark,DNK,2021-02-26,564962.0,393520.0,171438.0,6.0,5823953.0,6.756922660605262
6364,Denmark,DNK,2021-02-27,572826.0,400023.0,172797.0,2.0,5823953.0,6.868582215550162
6365,Denmark,DNK,2021-02-28,584791.0,410669.0,174114.0,5.0,5823953.0,7.0513790204007485
6366,Denmark,DNK,2021-03-01,605123.0,429964.0,175149.0,3.0,5823953.0,7.382683205032732
6367,Denmark,DNK,2021-03-02,622832.0,446417.0,176403.0,4.0,5823953.0,7.665188918935302
6368,Denmark,DNK,2021-03-03,636699.0,459287.0,177399.0,2.0,5823953.0,7.886172845144872
6369,Denmark,DNK,2021-03-04,655742.0,476556.0,179172.0,3.0,5823953.0,8.18268966112879
6370,Denmark,DNK,2021-03-05,677634.0,492891.0,184729.0,4.0,5823953.0,8.463169259779397
6371,Denmark,DNK,2021-03-06,695863.0,507290.0,188559.0,3.0,5823953.0,8.710406831923263
6372,Denmark,DNK,2021-03-07,711790.0,519054.0,192722.0,0.0,5823953.0,8.912400220262768
6373,Denmark,DNK,2021-03-08,727468.0,528476.0,198977.0,2.0,5823953.0,9.074180371991329
6374,Denmark,DNK,2021-03-09,745165.0,539216.0,205921.0,2.0,5823953.0,9.258591200856188
6375,Denmark,DNK,2021-03-10,764027.0,551098.0,212899.0,0.0,5823953.0,9.462610704447648
6376,Denmark,DNK,2021-03-11,776188.0,555537.0,220620.0,1.0,5823953.0,9.538830412951476
6377,Denmark,DNK,2021-03-12,789670.0,558785.0,230854.0,2.0,5823953.0,9.5946000937851
6378,Denmark,DNK,2021-03-13,799819.0,563238.0,236549.0,3.0,5823953.0,9.671060188844244
6379,Denmark,DNK,2021-03-14,810171.0,564450.0,245689.0,3.0,5823953.0,9.691870796347427
6380,Denmark,DNK,2021-03-15,822539.0,567216.0,255290.0,1.0,5823953.0,9.739364311490837
6381,Denmark,DNK,2021-03-16,838418.0,573900.0,264485.0,2.0,5823953.0,9.854131721186624
6382,Denmark,DNK,2021-03-17,857878.0,584473.0,273372.0,2.0,5823953.0,10.035675081855915
6383,Denmark,DNK,2021-03-18,879412.0,598925.0,280454.0,1.0,5823953.0,10.283822688816342
6384,Denmark,DNK,2021-03-19,898622.0,606661.0,291928.0,1.0,5823953.0,10.4166534310974
6385,Denmark,DNK,2021-03-20,906278.0,609620.0,296625.0,0.0,5823953.0,10.467460846610539
6386,Denmark,DNK,2021-03-21,915771.0,614543.0,301195.0,2.0,5823953.0,10.551991061741056
6387,Denmark,DNK,2021-03-22,927426.0,618606.0,308787.0,1.0,5823953.0,10.621754674187793
6388,Denmark,DNK,2021-03-23,940885.0,624633.0,316217.0,2.0,5823953.0,10.7252410862519
6389,Denmark,DNK,2021-03-24,963791.0,634372.0,329382.0,1.0,5823953.0,10.892464276411571
6390,Denmark,DNK,2021-03-25,979692.0,642036.0,337617.0,2.0,5823953.0,11.02405874497957
6391,Denmark,DNK,2021-03-26,993490.0,648149.0,345302.0,4.0,5823953.0,11.129021817312058
6392,Denmark,DNK,2021-03-27,1006413.0,658026.0,348348.0,2.0,5823953.0,11.298614532088427
6393,Denmark,DNK,2021-03-28,1019850.0,668701.0,351109.0,2.0,5823953.0,11.48190928051789
6394,Denmark,DNK,2021-03-29,1043713.0,686497.0,357175.0,1.0,5823953.0,11.787474933262686
6395,Denmark,DNK,2021-03-30,1071090.0,707920.0,363125.0,1.0,5823953.0,12.1553178743029
6396,Denmark,DNK,2021-03-31,1093600.0,720889.0,372666.0,2.0,5823953.0,12.378001676867928
6397,Denmark,DNK,2021-04-01,1104610.0,725098.0,379466.0,2.0,5823953.0,12.450272177677258
6398,Denmark,DNK,2021-04-02,1116360.0,729983.0,386331.0,4.0,5823953.0,12.534149915014767
6399,Denmark,DNK,2021-04-03,1130563.0,742013.0,388503.0,1.0,5823953.0,12.7407106479053
6400,Denmark,DNK,2021-04-04,1143924.0,753612.0,390265.0,4.0,5823953.0,12.939870908985704
6401,Denmark,DNK,2021-04-05,1157485.0,765860.0,391578.0,1.0,5823953.0,13.150174803951886
6402,Denmark,DNK,2021-04-06,1179412.0,781786.0,397573.0,1.0,5823953.0,13.423631681093584
6403,Denmark,DNK,2021-04-07,1204061.0,798335.0,405670.0,2.0,5823953.0,13.707785759946894
6404,Denmark,DNK,2021-04-08,1226200.0,812057.0,414087.0,3.0,5823953.0,13.943398925094344
6405,Denmark,DNK,2021-04-09,1251165.0,828454.0,422652.0,1.0,5823953.0,14.224943092775645
6406,Denmark,DNK,2021-04-10,1273243.0,845134.0,428050.0,0.0,5823953.0,14.511346502968
6407,Denmark,DNK,2021-04-11,1291979.0,859985.0,431935.0,3.0,5823953.0,14.766345126754976
6408,Denmark,DNK,2021-04-12,1396997.0,953578.0,443359.0,2.0,5823953.0,16.373380760455998
6409,Denmark,DNK,2021-04-13,1421646.0,972063.0,449522.0,2.0,5823953.0,16.690776865816055
6410,Denmark,DNK,2021-04-14,1444129.0,983499.0,460564.0,3.0,5823953.0,16.887138340573834
6411,Denmark,DNK,2021-04-15,1468422.0,998763.0,469591.0,1.0,5823953.0,17.149228367742666
6412,Denmark,DNK,2021-04-16,1493870.0,1016122.0,477678.0,2.0,5823953.0,17.447290525867913
6413,Denmark,DNK,2021-04-17,1515335.0,1034870.0,480395.0,3.0,5823953.0,17.769202464374285
6414,Denmark,DNK,2021-04-18,1534900.0,1049333.0,485497.0,0.0,5823953.0,18.01753894648532
6415,Denmark,DNK,2021-04-19,1573939.0,1074105.0,499763.0,3.0,5823953.0,18.442885785651086
6416,Denmark,DNK,2021-04-20,1612706.0,1096077.0,516556.0,4.0,5823953.0,18.82015531375339
6417,Denmark,DNK,2021-04-21,1647828.0,1118565.0,529189.0,4.0,5823953.0,19.20628480346596
6418,Denmark,DNK,2021-04-22,1681387.0,1146764.0,534544.0,2.0,5823953.0,19.690474837279766
6419,Denmark,DNK,2021-04-23,1714677.0,1168894.0,545702.0,2.0,5823953.0,20.070457299363508
6420,Denmark,DNK,2021-04-24,1737104.0,1183763.0,553260.0,5.0,5823953.0,20.325764991578747
6421,Denmark,DNK,2021-04-25,1757550.0,1198943.0,558525.0,2.0,5823953.0,20.58641269941567
6422,Denmark,DNK,2021-04-26,1796824.0,1230370.0,566368.0,1.0,5823953.0,21.126029004698356
6423,Denmark,DNK,2021-04-27,1844122.0,1256860.0,587166.0,2.0,5823953.0,21.580874708295212
6424,Denmark,DNK,2021-04-28,1888653.0,1280930.0,607619.0,2.0,5823953.0,21.994167878758635
6425,Denmark,DNK,2021-04-29,1932378.0,1306799.0,625472.0,2.0,5823953.0,22.438350721580342
6426,Denmark,DNK,2021-04-30,1949769.0,1320227.0,629434.0,2.0,5823953.0,22.66891576906613
6427,Denmark,DNK,2021-05-01,1963203.0,1327544.0,635546.0,2.0,5823953.0,22.79455208515591
6428,Denmark,DNK,2021-05-02,1993589.0,1344179.0,649296.0,4.0,5823953.0,23.0801828242776
6429,Denmark,DNK,2021-05-03,2059554.0,1364608.0,694825.0,1.0,5823953.0,23.43095831989029
6430,Denmark,DNK,2021-05-04,2111883.0,1392226.0,719528.0,0.0,5823953.0,23.905172311658426
6431,Denmark,DNK,2021-05-05,2167840.0,1419014.0,748696.0,1.0,5823953.0,24.36513481478989
6432,Denmark,DNK,2021-05-06,2214871.0,1440542.0,774193.0,1.0,5823953.0,24.734780654994985
6433,Denmark,DNK,2021-05-07,2255885.0,1457022.0,798726.0,1.0,5823953.0,25.01774997153995
6434,Denmark,DNK,2021-05-08,2296108.0,1466509.0,829461.0,2.0,5823953.0,25.18064620370391
6435,Denmark,DNK,2021-05-09,2328673.0,1482420.0,846115.0,2.0,5823953.0,25.45384552382205
6436,Denmark,DNK,2021-05-10,2391279.0,1508969.0,882167.0,0.0,5823953.0,25.90970428504488
6437,Denmark,DNK,2021-05-11,2447171.0,1538646.0,908380.0,0.0,5823953.0,26.419272270912906
6438,Denmark,DNK,2021-05-12,2500312.0,1564827.0,935337.0,2.0,5823953.0,26.868812299824533
6439,Denmark,DNK,2021-05-13,2539692.0,1584530.0,955013.0,0.0,5823953.0,27.207122035497193
6440,Denmark,DNK,2021-05-14,2591036.0,1605140.0,985742.0,0.0,5823953.0,27.561005385860767
6441,Denmark,DNK,2021-05-15,2625861.0,1620568.0,1005138.0,0.0,5823953.0,27.82591136982047
6442,Denmark,DNK,2021-05-16,2659876.0,1640525.0,1019194.0,3.0,5823953.0,28.168582404425305
6443,Denmark,DNK,2021-05-17,2721018.0,1671571.0,1049287.0,0.0,5823953.0,28.701656761309714
6444,Denmark,DNK,2021-05-18,2781334.0,1701155.0,1080016.0,1.0,5823953.0,29.20962789363169
6445,Denmark,DNK,2021-05-19,2835695.0,1732909.0,1102621.0,0.0,5823953.0,29.754858942027866
6446,Denmark,DNK,2021-05-20,2890503.0,1765393.0,1124944.0,2.0,5823953.0,30.312624432237005
6447,Denmark,DNK,2021-05-21,2945040.0,1800677.0,1144196.0,1.0,5823953.0,30.918467233509606
6448,Denmark,DNK,2021-05-22,2982880.0,1826628.0,1156083.0,0.0,5823953.0,31.364058054726748
6449,Denmark,DNK,2021-05-23,3011637.0,1849185.0,1162283.0,1.0,5823953.0,31.751372306747665
6450,Denmark,DNK,2021-05-24,3044804.0,1872624.0,1172010.0,1.0,5823953.0,32.15383091175358
6451,Denmark,DNK,2021-05-25,3101146.0,1916074.0,1184899.0,1.0,5823953.0,32.899887756649136
6452,Denmark,DNK,2021-05-26,3160693.0,1963468.0,1197047.0,1.0,5823953.0,33.71366492827123
6453,Denmark,DNK,2021-05-27,3263903.0,2012779.0,1209466.0,1.0,5823953.0,34.56035788750356
6454,Denmark,DNK,2021-05-28,3314465.0,2053788.0,1219216.0,0.0,5823953.0,35.264501619432714
6455,Denmark,DNK,2021-05-30,3349058.0,2109412.0,1231449.0,4.0,5823953.0,36.21959174464492
6456,Denmark,DNK,2021-05-31,3438656.0,2145543.0,1252931.0,0.0,5823953.0,36.839977932514216
6457,Denmark,DNK,2021-06-01,3495268.0,2185301.0,1270601.0,0.0,5823953.0,37.52264140867895
6458,Denmark,DNK,2021-06-02,3554428.0,2227950.0,1287975.0,0.0,5823953.0,38.25494470851671
6459,Denmark,DNK,2021-06-03,3612295.0,2264156.0,1311673.0,0.0,5823953.0,38.876618681503786
6460,Denmark,DNK,2021-06-05,3665730.0,2340481.0,1333450.0,0.0,5823953.0,40.18715466968913
6461,Denmark,DNK,2021-06-06,3749429.0,2370423.0,1348562.0,1.0,5823953.0,40.70127282963993
6462,Denmark,DNK,2021-06-07,3821196.0,2423982.0,1370388.0,0.0,5823953.0,41.620905937942844
6463,Denmark,DNK,2021-06-08,3896783.0,2477498.0,1395024.0,2.0,5823953.0,42.53980071611154
6464,Denmark,DNK,2021-06-09,3972246.0,2530291.0,1419230.0,0.0,5823953.0,43.446281245744935
