,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
6622,Djibouti,DJI,2021-04-28,13042.0,12547.0,495.0,4.0,1009168.0,1.2433014126488355
6623,Djibouti,DJI,2021-05-24,14943.0,12547.0,2396.0,1.0,1009168.0,1.2433014126488355
6624,Djibouti,DJI,2021-06-01,21357.0,12547.0,8810.0,0.0,1009168.0,1.2433014126488355
6625,Djibouti,DJI,2021-08-05,50509.0,31528.0,18981.0,0.0,1009168.0,3.124157722004661
6626,Djibouti,DJI,2021-08-12,53064.0,32548.0,20516.0,0.0,1009168.0,3.2252310814453096
6627,Djibouti,DJI,2021-08-19,54229.0,33388.0,20841.0,0.0,1009168.0,3.3084679656905487
6628,Djibouti,DJI,2021-08-25,58245.0,35396.0,22849.0,0.0,1009168.0,3.5074437556482168
6629,Djibouti,DJI,2021-09-01,60141.0,36344.0,23797.0,0.0,1009168.0,3.6013825250107017
6630,Djibouti,DJI,2021-09-09,64721.0,38634.0,26087.0,0.0,1009168.0,3.8283021261078436
6631,Djibouti,DJI,2021-09-15,66010.0,39923.0,26087.0,0.0,1009168.0,3.9560311068127407
6632,Djibouti,DJI,2021-09-22,67229.0,41142.0,26087.0,0.0,1009168.0,4.076823680497202
6633,Djibouti,DJI,2021-11-03,92097.0,66010.0,26087.0,1.0,1009168.0,6.5410318202717495
6634,Djibouti,DJI,2021-11-18,96168.0,70081.0,26087.0,0.0,1009168.0,6.94443343427457
6635,Djibouti,DJI,2021-11-24,99679.0,73592.0,26087.0,0.0,1009168.0,7.2923437921139005
6636,Djibouti,DJI,2021-12-02,104475.0,78388.0,26087.0,0.0,1009168.0,7.767586764542672
6637,Djibouti,DJI,2021-12-09,108945.0,82858.0,26087.0,0.0,1009168.0,8.210525898561983
6638,Djibouti,DJI,2021-12-15,135032.0,108945.0,26087.0,0.0,1009168.0,10.795526612020993
