,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
7235,Egypt,EGY,2021-05-09,1300212.0,1064360.0,235852.0,66.0,105223553.0,1.011522581831085
7236,Egypt,EGY,2021-05-11,1371976.0,1133956.0,238020.0,68.0,105223553.0,1.0776636671829547
7237,Egypt,EGY,2021-05-22,1877993.0,1575449.0,302544.0,52.0,105223553.0,1.4972398812649863
7238,Egypt,EGY,2021-05-23,1962216.0,1653599.0,308617.0,59.0,105223553.0,1.5715103252595928
7239,Egypt,EGY,2021-05-24,2059987.0,1745841.0,314146.0,51.0,105223553.0,1.6591732081124462
7240,Egypt,EGY,2021-05-25,2128164.0,1812826.0,315338.0,45.0,105223553.0,1.7228329098524169
7241,Egypt,EGY,2021-05-29,2586274.0,2254371.0,331903.0,46.0,105223553.0,2.142458542528021
7242,Egypt,EGY,2021-06-01,2822479.0,2465521.0,356958.0,49.0,105223553.0,2.3431265431609214
7243,Egypt,EGY,2021-06-09,3340216.0,2820175.0,520041.0,38.0,105223553.0,2.6801746563338344
7244,Egypt,EGY,2021-06-12,3506760.0,2931715.0,575045.0,37.0,105223553.0,2.7861775395476336
7245,Egypt,EGY,2021-06-14,3746978.0,3078964.0,668014.0,41.0,105223553.0,2.9261167411824616
7246,Egypt,EGY,2021-06-16,3794707.0,3117818.0,676889.0,37.0,105223553.0,2.96304193415708
7247,Egypt,EGY,2021-06-20,4010467.0,3315854.0,694613.0,38.0,105223553.0,3.1512469456339307
7248,Egypt,EGY,2021-06-23,4138935.0,3418331.0,720604.0,37.0,105223553.0,3.24863673820252
7249,Egypt,EGY,2021-06-27,4253397.0,3489503.0,763894.0,31.0,105223553.0,3.3162755870826754
7250,Egypt,EGY,2021-06-28,4282641.0,3502181.0,780460.0,30.0,105223553.0,3.3283242203387684
7251,Egypt,EGY,2021-07-04,4442102.0,3560795.0,881307.0,27.0,105223553.0,3.3840284788710755
7252,Egypt,EGY,2021-07-06,4497919.0,3568042.0,929877.0,20.0,105223553.0,3.3909157201715097
7253,Egypt,EGY,2021-07-07,4529884.0,3576269.0,953615.0,22.0,105223553.0,3.398734311889278
7254,Egypt,EGY,2021-07-08,4560082.0,3580443.0,979639.0,26.0,105223553.0,3.402701104381069
7255,Egypt,EGY,2021-07-12,5056303.0,3627345.0,1428958.0,13.0,105223553.0,3.447274775068658
