,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
7493,Estonia,EST,2020-12-28,509.0,509.0,1.0,9.0,1324450.0,0.0384310468496357
7494,Estonia,EST,2020-12-29,876.0,876.0,2.0,0.0,1324450.0,0.06614066216165201
7495,Estonia,EST,2020-12-30,1889.0,1889.0,3.0,13.0,1324450.0,0.14262524066593682
7496,Estonia,EST,2020-12-31,2475.0,2475.0,3.0,3.0,1324450.0,0.1868700215183661
7497,Estonia,EST,2021-01-01,2475.0,2475.0,3.0,5.0,1324450.0,0.1868700215183661
7498,Estonia,EST,2021-01-02,2505.0,2505.0,3.0,7.0,1324450.0,0.1891351126882857
7499,Estonia,EST,2021-01-03,2523.0,2523.0,3.0,3.0,1324450.0,0.19049416739023745
7500,Estonia,EST,2021-01-04,3165.0,3165.0,3.0,7.0,1324450.0,0.2389671184265167
7501,Estonia,EST,2021-01-05,4977.0,4975.0,10.0,6.0,1324450.0,0.3756276190116653
7502,Estonia,EST,2021-01-06,6589.0,6586.0,11.0,4.0,1324450.0,0.4972630148363471
7503,Estonia,EST,2021-01-07,7931.0,7928.0,12.0,4.0,1324450.0,0.5985880931707501
7504,Estonia,EST,2021-01-08,10145.0,10142.0,14.0,5.0,1324450.0,0.7657518215108158
7505,Estonia,EST,2021-01-09,10696.0,10693.0,14.0,8.0,1324450.0,0.8073539959983389
7506,Estonia,EST,2021-01-10,10919.0,10916.0,14.0,5.0,1324450.0,0.8241911736947413
7507,Estonia,EST,2021-01-11,11768.0,11765.0,14.0,4.0,1324450.0,0.8882932538034657
7508,Estonia,EST,2021-01-12,13348.0,13345.0,16.0,5.0,1324450.0,1.0075880554192305
7509,Estonia,EST,2021-01-13,14743.0,14740.0,19.0,0.0,1324450.0,1.1129147948204914
7510,Estonia,EST,2021-01-14,16523.0,16520.0,26.0,9.0,1324450.0,1.2473102042357205
7511,Estonia,EST,2021-01-15,17804.0,17801.0,35.0,10.0,1324450.0,1.344029597191287
7512,Estonia,EST,2021-01-16,18024.0,18021.0,38.0,9.0,1324450.0,1.3606402657706973
7513,Estonia,EST,2021-01-17,18120.0,18051.0,104.0,5.0,1324450.0,1.3629053569406169
7514,Estonia,EST,2021-01-18,19153.0,18709.0,481.0,8.0,1324450.0,1.4125863566008532
7515,Estonia,EST,2021-01-19,20314.0,19467.0,888.0,11.0,1324450.0,1.4698176601608215
7516,Estonia,EST,2021-01-20,21796.0,20319.0,1522.0,5.0,1324450.0,1.5341462493865377
7517,Estonia,EST,2021-01-21,23977.0,21835.0,2203.0,5.0,1324450.0,1.6486088565064745
7518,Estonia,EST,2021-01-22,25479.0,23068.0,2480.0,4.0,1324450.0,1.7417041035901697
7519,Estonia,EST,2021-01-23,25737.0,23323.0,2492.0,10.0,1324450.0,1.760957378534486
7520,Estonia,EST,2021-01-24,25898.0,23484.0,2492.0,8.0,1324450.0,1.7731133678130544
7521,Estonia,EST,2021-01-25,26960.0,23858.0,3181.0,7.0,1324450.0,1.801351504398052
7522,Estonia,EST,2021-01-26,29352.0,24601.0,4830.0,9.0,1324450.0,1.8574502623730604
7523,Estonia,EST,2021-01-27,31487.0,25240.0,6327.0,6.0,1324450.0,1.905696704292348
7524,Estonia,EST,2021-01-28,33958.0,26311.0,7729.0,8.0,1324450.0,1.986560459058477
7525,Estonia,EST,2021-01-29,37164.0,27531.0,9721.0,3.0,1324450.0,2.0786741666352078
7526,Estonia,EST,2021-01-30,37995.0,27797.0,10286.0,2.0,1324450.0,2.0987579750084944
7527,Estonia,EST,2021-01-31,38533.0,28082.0,10543.0,8.0,1324450.0,2.12027634112273
7528,Estonia,EST,2021-02-01,40141.0,28801.0,11437.0,3.0,1324450.0,2.1745630261618034
7529,Estonia,EST,2021-02-02,42910.0,30046.0,12966.0,2.0,1324450.0,2.268564309713466
7530,Estonia,EST,2021-02-03,46105.0,31707.0,14507.0,9.0,1324450.0,2.393974857488014
7531,Estonia,EST,2021-02-04,49706.0,33751.0,16110.0,10.0,1324450.0,2.548303069198535
