,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
7950,Fiji,FJI,2021-05-25,109927.0,107014.0,2913.0,0.0,906029.0,11.81132171266041
7951,Fiji,FJI,2021-06-08,223429.0,218830.0,4599.0,0.0,906029.0,24.15264853553253
7952,Fiji,FJI,2021-06-15,242539.0,237940.0,4599.0,0.0,906029.0,26.261852545558696
7953,Fiji,FJI,2021-06-21,274008.0,256018.0,17990.0,1.0,906029.0,28.25715291673887
7954,Fiji,FJI,2021-06-29,322299.0,278954.0,43345.0,2.0,906029.0,30.788639215742545
7955,Fiji,FJI,2021-07-06,379199.0,324462.0,54737.0,3.0,906029.0,35.811436499273206
7956,Fiji,FJI,2021-07-13,419998.0,353355.0,66643.0,3.0,906029.0,39.00040727173192
7957,Fiji,FJI,2021-07-20,471719.0,393095.0,78624.0,15.0,906029.0,43.386580341247345
7958,Fiji,FJI,2021-07-27,538439.0,441171.0,97268.0,9.0,906029.0,48.69281226097619
7959,Fiji,FJI,2021-08-02,628823.0,484629.0,144194.0,2.0,906029.0,53.48934747121781
7960,Fiji,FJI,2021-08-09,690888.0,512282.0,178606.0,3.0,906029.0,56.541457282272425
7961,Fiji,FJI,2021-08-16,745201.0,533705.0,211496.0,3.0,906029.0,58.90595113401447
7962,Fiji,FJI,2021-08-23,778159.0,543254.0,234905.0,5.0,906029.0,59.95989090856914
7963,Fiji,FJI,2021-08-31,825552.0,558944.0,266608.0,10.0,906029.0,61.69162355730335
7964,Fiji,FJI,2021-09-07,866153.0,566210.0,299943.0,12.0,906029.0,62.49358464243418
7965,Fiji,FJI,2021-09-14,912149.0,569958.0,342191.0,3.0,906029.0,62.90725793545239
7966,Fiji,FJI,2021-09-21,975268.0,587948.0,387320.0,9.0,906029.0,64.8928455932426
7967,Fiji,FJI,2021-09-28,1017195.0,591293.0,425902.0,2.0,906029.0,65.26203907380446
7968,Fiji,FJI,2021-10-05,1055883.0,593442.0,462441.0,1.0,906029.0,65.49922794965724
7969,Fiji,FJI,2021-10-12,1090963.0,594872.0,496091.0,0.0,906029.0,65.65705954224424
7970,Fiji,FJI,2021-10-18,1136909.0,619734.0,517175.0,0.0,906029.0,68.40112181839653
7971,Fiji,FJI,2021-10-25,1166051.0,624413.0,541638.0,0.0,906029.0,68.91755120421091
7972,Fiji,FJI,2021-11-01,1189238.0,629006.0,560232.0,0.0,906029.0,69.42448862012142
7973,Fiji,FJI,2021-11-08,1196888.0,630524.0,566364.0,0.0,906029.0,69.5920329260984
7974,Fiji,FJI,2021-11-15,1208816.0,632505.0,576311.0,0.0,906029.0,69.81067934911576
7975,Fiji,FJI,2021-11-22,1213236.0,633512.0,579724.0,0.0,906029.0,69.92182369438504
7976,Fiji,FJI,2021-11-30,1237108.0,651320.0,585788.0,0.0,906029.0,71.88732369493692
7977,Fiji,FJI,2021-12-06,1245234.0,655857.0,589377.0,0.0,906029.0,72.38808029323566
7978,Fiji,FJI,2021-12-13,1257375.0,659250.0,598125.0,0.0,906029.0,72.7625716174648
7979,Fiji,FJI,2021-12-20,1267045.0,661452.0,605593.0,0.0,906029.0,73.00561019570011
