,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
8373,French Polynesia,PYF,2021-02-10,3611.0,3196.0,415.0,0.0,283265.0,1.1282721126860007
8374,French Polynesia,PYF,2021-02-16,5705.0,4628.0,1077.0,0.0,283265.0,1.6338058002224067
8375,French Polynesia,PYF,2021-02-17,6155.0,4889.0,1266.0,1.0,283265.0,1.7259456692496424
8376,French Polynesia,PYF,2021-02-23,8045.0,5930.0,2115.0,1.0,283265.0,2.0934460664042502
8377,French Polynesia,PYF,2021-03-01,9692.0,6596.0,3096.0,0.0,283265.0,2.3285615942668527
8378,French Polynesia,PYF,2021-03-02,10097.0,6773.0,3324.0,0.0,283265.0,2.39104725257268
8379,French Polynesia,PYF,2021-03-09,12417.0,8018.0,4399.0,1.0,283265.0,2.8305650186221385
8380,French Polynesia,PYF,2021-03-16,18996.0,13358.0,5638.0,0.0,283265.0,4.715725557340299
8381,French Polynesia,PYF,2021-03-23,23975.0,17563.0,6412.0,0.0,283265.0,6.200201225001324
8382,French Polynesia,PYF,2021-03-30,30080.0,22648.0,7432.0,0.0,283265.0,7.9953400526009215
8383,French Polynesia,PYF,2021-04-07,34889.0,25565.0,9324.0,0.0,283265.0,9.02511782253367
8384,French Polynesia,PYF,2021-04-13,44378.0,30082.0,14296.0,0.0,283265.0,10.619737701445645
8385,French Polynesia,PYF,2021-04-20,51521.0,33625.0,17896.0,0.0,283265.0,11.870509946516512
8386,French Polynesia,PYF,2021-04-27,62185.0,39107.0,23078.0,0.0,283265.0,13.80580022240658
8387,French Polynesia,PYF,2021-05-04,71638.0,44541.0,27097.0,0.0,283265.0,15.72414523502727
8388,French Polynesia,PYF,2021-05-11,81202.0,49707.0,31495.0,0.0,283265.0,17.547879194393946
8389,French Polynesia,PYF,2021-05-18,85747.0,51856.0,33891.0,0.0,283265.0,18.306532752016665
8390,French Polynesia,PYF,2021-05-25,95556.0,55606.0,39950.0,0.0,283265.0,19.63038144493672
8391,French Polynesia,PYF,2021-06-01,103252.0,57743.0,45509.0,0.0,283265.0,20.384798686742094
8392,French Polynesia,PYF,2021-06-08,115739.0,63204.0,52535.0,0.0,283265.0,22.31267540995181
8393,French Polynesia,PYF,2021-06-15,119393.0,64749.0,54644.0,0.0,283265.0,22.858101071434874
8394,French Polynesia,PYF,2021-06-21,125484.0,67913.0,57571.0,0.0,283265.0,23.97507634194129
8395,French Polynesia,PYF,2021-06-29,132540.0,71242.0,61298.0,0.0,283265.0,25.15030095493619
8396,French Polynesia,PYF,2021-07-13,141523.0,75504.0,66019.0,0.0,283265.0,26.654899122729603
8397,French Polynesia,PYF,2021-07-20,148329.0,79201.0,69128.0,0.0,283265.0,27.960037420789718
8398,French Polynesia,PYF,2021-07-27,154037.0,83210.0,70827.0,1.0,283265.0,29.37531993010079
8399,French Polynesia,PYF,2021-08-02,161482.0,87758.0,73724.0,0.0,283265.0,30.980883624874235
8400,French Polynesia,PYF,2021-08-09,174127.0,96949.0,77178.0,0.0,283265.0,34.22554851464177
8401,French Polynesia,PYF,2021-08-16,190080.0,108287.0,81793.0,0.0,283265.0,38.2281609093958
8402,French Polynesia,PYF,2021-08-23,209386.0,119413.0,89973.0,0.0,283265.0,42.15593172471008
8403,French Polynesia,PYF,2021-08-31,235114.0,133302.0,101812.0,38.0,283265.0,47.05911425696785
8404,French Polynesia,PYF,2021-09-07,257265.0,142109.0,115156.0,33.0,283265.0,50.168217040580366
8405,French Polynesia,PYF,2021-09-14,271181.0,146890.0,124291.0,24.0,283265.0,51.856035867473906
8406,French Polynesia,PYF,2021-09-21,282180.0,150277.0,131903.0,6.0,283265.0,53.05173600691932
8407,French Polynesia,PYF,2021-09-28,290776.0,152157.0,138619.0,5.0,283265.0,53.7154254849699
8408,French Polynesia,PYF,2021-10-05,294961.0,153079.0,141882.0,0.0,283265.0,54.040915750269185
8409,French Polynesia,PYF,2021-10-12,298182.0,154058.0,144124.0,3.0,283265.0,54.38652851570085
8410,French Polynesia,PYF,2021-10-18,302475.0,155290.0,147185.0,0.0,283265.0,54.82145693961484
8411,French Polynesia,PYF,2021-10-25,303630.0,156445.0,147185.0,0.0,283265.0,55.229202337034216
8412,French Polynesia,PYF,2021-11-01,304528.0,157343.0,147185.0,0.0,283265.0,55.54621997069882
8413,French Polynesia,PYF,2021-11-15,312817.0,159343.0,153474.0,0.0,283265.0,56.25227260692286
8414,French Polynesia,PYF,2021-11-22,314576.0,161102.0,153474.0,0.0,283265.0,56.87324590048188
8415,French Polynesia,PYF,2021-11-30,318790.0,162831.0,155959.0,0.0,283265.0,57.483628404497566
8416,French Polynesia,PYF,2021-12-06,321000.0,165041.0,155959.0,0.0,283265.0,58.26381656752511
8417,French Polynesia,PYF,2021-12-13,324631.0,167068.0,157563.0,0.0,283265.0,58.97940091433816
8418,French Polynesia,PYF,2021-12-20,329095.0,169995.0,159100.0,0.0,283265.0,60.01270894745203
