,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
8419,Gabon,GAB,2021-04-14,4920.0,4853.0,67.0,2.0,2305831.0,0.2104664218669972
8420,Gabon,GAB,2021-04-16,5762.0,5362.0,400.0,3.0,2305831.0,0.2325408930663175
8421,Gabon,GAB,2021-04-19,6528.0,5765.0,763.0,0.0,2305831.0,0.25001832311214484
8422,Gabon,GAB,2021-04-21,7700.0,6358.0,1342.0,0.0,2305831.0,0.2757357325840445
8423,Gabon,GAB,2021-04-23,8897.0,6895.0,2002.0,0.0,2305831.0,0.2990245165408913
8424,Gabon,GAB,2021-04-30,10678.0,8035.0,2643.0,0.0,2305831.0,0.34846439309732585
8425,Gabon,GAB,2021-05-05,12364.0,8515.0,3849.0,0.0,2305831.0,0.36928118322635095
8426,Gabon,GAB,2021-05-17,17272.0,10670.0,6602.0,0.0,2305831.0,0.4627398972431198
8427,Gabon,GAB,2021-05-29,22524.0,14352.0,8172.0,0.0,2305831.0,0.6224220248578496
8428,Gabon,GAB,2021-06-05,23371.0,14352.0,9019.0,2.0,2305831.0,0.6224220248578496
8429,Gabon,GAB,2021-06-09,29728.0,19755.0,9973.0,0.0,2305831.0,0.8567410187476878
8430,Gabon,GAB,2021-06-11,32105.0,22132.0,9973.0,0.0,2305831.0,0.9598274981991308
8431,Gabon,GAB,2021-06-12,33591.0,23260.0,10331.0,0.0,2305831.0,1.0087469550023396
8432,Gabon,GAB,2021-06-23,49346.0,37888.0,11458.0,2.0,2305831.0,1.6431386341843786
8433,Gabon,GAB,2021-06-30,56768.0,38496.0,18272.0,0.0,2305831.0,1.6695065683478103
8434,Gabon,GAB,2021-07-05,64161.0,42022.0,22139.0,0.0,2305831.0,1.822423239170607
8435,Gabon,GAB,2021-07-12,72351.0,45968.0,26383.0,0.0,2305831.0,1.9935546013563008
8436,Gabon,GAB,2021-07-19,82488.0,50227.0,32261.0,0.0,2305831.0,2.1782602454386293
8437,Gabon,GAB,2021-07-24,87181.0,52830.0,34351.0,0.0,2305831.0,2.2911479635758214
8438,Gabon,GAB,2021-08-03,100240.0,59315.0,40925.0,0.0,2305831.0,2.572391471881504
8439,Gabon,GAB,2021-08-05,103820.0,61457.0,42363.0,1.0,2305831.0,2.6652863978322783
8440,Gabon,GAB,2021-08-09,111546.0,65709.0,45837.0,0.0,2305831.0,2.8496884637252253
8441,Gabon,GAB,2021-08-12,120627.0,71867.0,48760.0,0.0,2305831.0,3.1167505337555093
8442,Gabon,GAB,2021-08-20,127757.0,74720.0,53037.0,0.0,2305831.0,3.2404803300849023
8443,Gabon,GAB,2021-08-25,130798.0,77761.0,53037.0,0.0,2305831.0,3.37236336921483
8444,Gabon,GAB,2021-09-03,146464.0,84214.0,62250.0,0.0,2305831.0,3.65221909151191
8445,Gabon,GAB,2021-09-16,171339.0,100263.0,71076.0,1.0,2305831.0,4.348237143138417
8446,Gabon,GAB,2021-09-22,177392.0,100884.0,76508.0,0.0,2305831.0,4.375168865367844
8447,Gabon,GAB,2021-09-30,180320.0,102256.0,78064.0,0.0,2305831.0,4.4346701904866395
8448,Gabon,GAB,2021-10-07,186365.0,105903.0,80462.0,3.0,2305831.0,4.592834427154462
8449,Gabon,GAB,2021-10-14,206373.0,120033.0,86340.0,0.0,2305831.0,5.205628686577636
8450,Gabon,GAB,2021-10-21,217606.0,125804.0,91802.0,1.0,2305831.0,5.455907219566394
8451,Gabon,GAB,2021-10-29,223308.0,125912.0,97396.0,0.0,2305831.0,5.4605909973454265
8452,Gabon,GAB,2021-11-01,228381.0,128226.0,100155.0,0.0,2305831.0,5.560945273092433
8453,Gabon,GAB,2021-11-04,232538.0,132383.0,100155.0,5.0,2305831.0,5.741227349272346
8454,Gabon,GAB,2021-11-08,244055.0,138880.0,105175.0,0.0,2305831.0,6.022991277331253
8455,Gabon,GAB,2021-11-10,248311.0,143136.0,105175.0,0.0,2305831.0,6.207566816475277
8456,Gabon,GAB,2021-11-15,256974.0,148798.0,108176.0,0.0,2305831.0,6.453118203372233
8457,Gabon,GAB,2021-11-22,273421.0,161795.0,111626.0,3.0,2305831.0,7.016776164428356
8458,Gabon,GAB,2021-11-24,277979.0,166353.0,111626.0,0.0,2305831.0,7.214448934028558
8459,Gabon,GAB,2021-12-04,328721.0,186639.0,142082.0,0.0,2305831.0,8.094218526856478
8460,Gabon,GAB,2021-12-13,392898.0,219775.0,173123.0,0.0,2305831.0,9.531270938763507
8461,Gabon,GAB,2021-12-15,566021.0,392898.0,173123.0,0.0,2305831.0,17.039323350236856
