,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
8485,Georgia,GEO,2021-04-26,38553.0,35666.0,2887.0,18.0,3974805.0,0.8973018802180233
8486,Georgia,GEO,2021-04-27,40095.0,36473.0,3622.0,17.0,3974805.0,0.9176047630009522
8487,Georgia,GEO,2021-04-28,41801.0,37404.0,4397.0,17.0,3974805.0,0.9410272956786558
8488,Georgia,GEO,2021-04-29,43568.0,38350.0,5218.0,18.0,3974805.0,0.9648272053597596
8489,Georgia,GEO,2021-04-30,45338.0,39274.0,6064.0,15.0,3974805.0,0.98807362876921
8490,Georgia,GEO,2021-05-05,47949.0,40940.0,7009.0,24.0,3974805.0,1.029987634613522
8491,Georgia,GEO,2021-05-06,51600.0,43727.0,7873.0,20.0,3974805.0,1.1001042818452729
8492,Georgia,GEO,2021-05-07,54687.0,45987.0,8700.0,18.0,3974805.0,1.1569624170242314
8493,Georgia,GEO,2021-05-08,58533.0,49021.0,9512.0,18.0,3974805.0,1.2332932055786383
8494,Georgia,GEO,2021-05-10,62447.0,51595.0,10852.0,24.0,3974805.0,1.2980510993621068
8495,Georgia,GEO,2021-05-11,67136.0,55632.0,11504.0,31.0,3974805.0,1.3996158302105386
8496,Georgia,GEO,2021-05-12,71570.0,59195.0,12375.0,27.0,3974805.0,1.4892554477515247
8497,Georgia,GEO,2021-05-13,77343.0,64259.0,13084.0,16.0,3974805.0,1.616657924099421
8498,Georgia,GEO,2021-05-14,81076.0,67569.0,13507.0,18.0,3974805.0,1.6999324495163912
8499,Georgia,GEO,2021-05-15,85286.0,71338.0,13948.0,29.0,3974805.0,1.7947547112374067
8500,Georgia,GEO,2021-05-17,89260.0,74617.0,14643.0,27.0,3974805.0,1.8772493241806831
8501,Georgia,GEO,2021-05-18,93305.0,78228.0,15077.0,30.0,3974805.0,1.9680965481325496
8502,Georgia,GEO,2021-05-19,97153.0,81640.0,15513.0,20.0,3974805.0,2.053937237172641
8503,Georgia,GEO,2021-05-20,101415.0,85541.0,15874.0,21.0,3974805.0,2.1520804165235776
8504,Georgia,GEO,2021-05-21,105500.0,89353.0,16147.0,29.0,3974805.0,2.247984492321007
8505,Georgia,GEO,2021-05-22,109395.0,93072.0,16323.0,33.0,3974805.0,2.341548830697355
8506,Georgia,GEO,2021-05-24,113000.0,96445.0,16555.0,17.0,3974805.0,2.426408339528606
8507,Georgia,GEO,2021-05-25,117354.0,100490.0,16864.0,15.0,3974805.0,2.528174338112184
8508,Georgia,GEO,2021-05-26,121263.0,103745.0,17518.0,28.0,3974805.0,2.6100651478500203
8509,Georgia,GEO,2021-05-27,125601.0,106209.0,19392.0,17.0,3974805.0,2.6720556102752204
8510,Georgia,GEO,2021-05-28,130037.0,108979.0,21058.0,28.0,3974805.0,2.741744563569785
8511,Georgia,GEO,2021-05-29,134602.0,109995.0,24607.0,12.0,3974805.0,2.767305565933423
8512,Georgia,GEO,2021-05-31,138914.0,112813.0,26101.0,16.0,3974805.0,2.838202125638868
8513,Georgia,GEO,2021-06-01,143970.0,113248.0,30722.0,31.0,3974805.0,2.8491460587374724
8514,Georgia,GEO,2021-06-02,149191.0,115473.0,33718.0,30.0,3974805.0,2.905123647575164
8515,Georgia,GEO,2021-06-03,155538.0,117758.0,37780.0,19.0,3974805.0,2.962610744426456
8516,Georgia,GEO,2021-06-04,161947.0,121136.0,40811.0,23.0,3974805.0,3.0475960455921736
8517,Georgia,GEO,2021-06-05,167332.0,122936.0,44396.0,17.0,3974805.0,3.092881286000194
8518,Georgia,GEO,2021-06-07,173345.0,125596.0,47749.0,24.0,3974805.0,3.1598028079364897
8519,Georgia,GEO,2021-06-08,178738.0,127490.0,51248.0,17.0,3974805.0,3.207452944232484
8520,Georgia,GEO,2021-06-09,184718.0,130244.0,54474.0,31.0,3974805.0,3.276739362056755
8521,Georgia,GEO,2021-06-10,191001.0,132734.0,58267.0,14.0,3974805.0,3.3393839446211833
8522,Georgia,GEO,2021-06-11,197114.0,135799.0,61315.0,16.0,3974805.0,3.416494645649283
8523,Georgia,GEO,2021-06-12,202314.0,138482.0,63832.0,22.0,3974805.0,3.4839948123241267
8524,Georgia,GEO,2021-06-14,207470.0,141205.0,66265.0,12.0,3974805.0,3.552501317674704
8525,Georgia,GEO,2021-06-15,212163.0,142966.0,69197.0,23.0,3974805.0,3.596805377873883
8526,Georgia,GEO,2021-06-16,216742.0,144727.0,72015.0,13.0,3974805.0,3.6411094380730624
8527,Georgia,GEO,2021-06-17,221156.0,146661.0,74495.0,18.0,3974805.0,3.6897659130447913
8528,Georgia,GEO,2021-06-18,225666.0,148722.0,76944.0,17.0,3974805.0,3.741617513311974
8529,Georgia,GEO,2021-06-19,229906.0,150684.0,79222.0,17.0,3974805.0,3.790978425356716
8530,Georgia,GEO,2021-06-21,234410.0,152221.0,82189.0,15.0,3974805.0,3.8296469889717857
8531,Georgia,GEO,2021-06-22,238220.0,153464.0,84756.0,24.0,3974805.0,3.860918963320213
8532,Georgia,GEO,2021-06-23,242451.0,155320.0,87131.0,12.0,3974805.0,3.907613077874261
8533,Georgia,GEO,2021-06-24,245380.0,156626.0,88754.0,17.0,3974805.0,3.940470035636968
8534,Georgia,GEO,2021-06-25,248545.0,157675.0,90870.0,9.0,3974805.0,3.9668612674080874
8535,Georgia,GEO,2021-06-26,251529.0,158739.0,92790.0,18.0,3974805.0,3.993629876182605
8536,Georgia,GEO,2021-06-28,254737.0,159997.0,94740.0,9.0,3974805.0,4.0252792275344325
8537,Georgia,GEO,2021-06-29,257974.0,160999.0,96975.0,22.0,3974805.0,4.050488011361564
8538,Georgia,GEO,2021-06-30,261652.0,161580.0,100072.0,19.0,3974805.0,4.065105080626596
8539,Georgia,GEO,2021-07-02,266161.0,161965.0,104196.0,8.0,3974805.0,4.0747910903805336
8540,Georgia,GEO,2021-07-05,269154.0,162115.0,107039.0,26.0,3974805.0,4.078564860414536
8541,Georgia,GEO,2021-07-06,272810.0,165433.0,107377.0,10.0,3974805.0,4.162040653566653
8542,Georgia,GEO,2021-07-07,277872.0,168047.0,109825.0,11.0,3974805.0,4.227804886025855
8543,Georgia,GEO,2021-07-08,283631.0,172042.0,111589.0,20.0,3974805.0,4.328312961264767
8544,Georgia,GEO,2021-07-09,289399.0,175504.0,113895.0,7.0,3974805.0,4.415411573649526
8545,Georgia,GEO,2021-07-22,391781.0,255047.0,136734.0,18.0,3974805.0,6.416591505746823
8546,Georgia,GEO,2021-07-25,404339.0,264583.0,139756.0,23.0,3974805.0,6.656502646041755
8547,Georgia,GEO,2021-07-26,418398.0,276144.0,142254.0,26.0,3974805.0,6.94735968179571
8548,Georgia,GEO,2021-07-27,432795.0,288573.0,144222.0,17.0,3974805.0,7.260054266813088
8549,Georgia,GEO,2021-07-29,464875.0,311747.0,153128.0,17.0,3974805.0,7.8430765785994545
8550,Georgia,GEO,2021-07-31,481591.0,323837.0,157754.0,27.0,3974805.0,8.147242443339987
8551,Georgia,GEO,2021-08-01,506780.0,345238.0,161542.0,33.0,3974805.0,8.685658793324453
8552,Georgia,GEO,2021-08-03,542639.0,370731.0,171908.0,34.0,3974805.0,9.327023589836482
8553,Georgia,GEO,2021-08-04,564691.0,386614.0,178077.0,38.0,3974805.0,9.726615519503474
8554,Georgia,GEO,2021-08-05,583647.0,400732.0,182915.0,38.0,3974805.0,10.081802755103707
8555,Georgia,GEO,2021-08-06,606988.0,417214.0,189774.0,30.0,3974805.0,10.496464606439812
8556,Georgia,GEO,2021-08-07,626343.0,431894.0,194449.0,38.0,3974805.0,10.86579090043411
8557,Georgia,GEO,2021-08-08,641242.0,444124.0,197118.0,30.0,3974805.0,11.173478950539712
8558,Georgia,GEO,2021-08-09,664997.0,460763.0,204234.0,44.0,3974805.0,11.592090681178071
8559,Georgia,GEO,2021-08-10,688940.0,478164.0,210776.0,54.0,3974805.0,12.029873163589153
8560,Georgia,GEO,2021-08-11,715919.0,497752.0,218167.0,48.0,3974805.0,12.522677213095989
8561,Georgia,GEO,2021-08-12,741353.0,516300.0,225053.0,49.0,3974805.0,12.989316457033745
8562,Georgia,GEO,2021-08-13,767882.0,538646.0,229236.0,42.0,3974805.0,13.551507558232418
8563,Georgia,GEO,2021-08-14,791863.0,554714.0,237149.0,50.0,3974805.0,13.955753804274677
8564,Georgia,GEO,2021-08-16,831815.0,586608.0,245207.0,30.0,3974805.0,14.758157947371005
8565,Georgia,GEO,2021-08-18,883570.0,625267.0,258303.0,49.0,3974805.0,15.730759119000805
8566,Georgia,GEO,2021-08-19,907665.0,640703.0,266962.0,58.0,3974805.0,16.119105213966474
8567,Georgia,GEO,2021-08-22,962165.0,675978.0,286187.0,48.0,3974805.0,17.006570133629197
8568,Georgia,GEO,2021-08-23,979813.0,685448.0,294365.0,60.0,3974805.0,17.24482081510917
8569,Georgia,GEO,2021-08-24,1038292.0,719380.0,318912.0,60.0,3974805.0,18.09849791373413
8570,Georgia,GEO,2021-08-25,1065848.0,734112.0,331736.0,58.0,3974805.0,18.46913244800689
8571,Georgia,GEO,2021-08-26,1095069.0,749754.0,345315.0,79.0,3974805.0,18.862661187152575
8572,Georgia,GEO,2021-08-28,1145925.0,771055.0,374870.0,74.0,3974805.0,19.398561690447707
8573,Georgia,GEO,2021-08-29,1164402.0,780948.0,383454.0,76.0,3974805.0,19.647454403423566
8574,Georgia,GEO,2021-08-31,1210746.0,802083.0,408663.0,79.0,3974805.0,20.1791786012144
8575,Georgia,GEO,2021-09-01,1235386.0,813601.0,421785.0,74.0,3974805.0,20.46895382289194
8576,Georgia,GEO,2021-09-02,1259381.0,822287.0,437094.0,81.0,3974805.0,20.68748026632753
8577,Georgia,GEO,2021-09-04,1314104.0,838356.0,475748.0,83.0,3974805.0,21.091751670836686
8578,Georgia,GEO,2021-09-05,1326033.0,845420.0,480613.0,74.0,3974805.0,21.269471080971265
8579,Georgia,GEO,2021-09-06,1340062.0,850868.0,489194.0,61.0,3974805.0,21.40653440860621
8580,Georgia,GEO,2021-09-07,1366678.0,856956.0,509722.0,50.0,3974805.0,21.55969915505289
8581,Georgia,GEO,2021-09-10,1433296.0,879384.0,553912.0,54.0,3974805.0,22.123953250536818
8582,Georgia,GEO,2021-09-12,1507986.0,902457.0,605529.0,39.0,3974805.0,22.70443455716695
8583,Georgia,GEO,2021-09-14,1534111.0,914222.0,619889.0,54.0,3974805.0,23.000423920167155
8584,Georgia,GEO,2021-09-16,1610309.0,935094.0,675215.0,43.0,3974805.0,23.525531441165036
8585,Georgia,GEO,2021-09-19,1655040.0,947477.0,707563.0,43.0,3974805.0,23.837068736705323
8586,Georgia,GEO,2021-09-20,1671295.0,952219.0,719076.0,34.0,3974805.0,23.956370186713567
8587,Georgia,GEO,2021-09-21,1686412.0,956417.0,729995.0,46.0,3974805.0,24.061985430731827
8588,Georgia,GEO,2021-09-22,1700895.0,960081.0,740814.0,43.0,3974805.0,24.154166053429037
8589,Georgia,GEO,2021-09-23,1715073.0,963663.0,751410.0,47.0,3974805.0,24.244283681841
8590,Georgia,GEO,2021-09-25,1729672.0,967441.0,762231.0,38.0,3974805.0,24.33933236976405
8591,Georgia,GEO,2021-09-26,1749457.0,971836.0,777621.0,30.0,3974805.0,24.449903831760302
8592,Georgia,GEO,2021-09-27,1760878.0,975028.0,785850.0,27.0,3974805.0,24.530209658083855
8593,Georgia,GEO,2021-09-28,1774769.0,978640.0,796129.0,40.0,3974805.0,24.62108204050261
8594,Georgia,GEO,2021-10-02,1813679.0,988358.0,825321.0,29.0,3974805.0,24.865572021772138
8595,Georgia,GEO,2021-10-03,1818258.0,989294.0,828964.0,33.0,3974805.0,24.889120346784306
8596,Georgia,GEO,2021-10-04,1826786.0,991141.0,835645.0,30.0,3974805.0,24.93558803513632
8597,Georgia,GEO,2021-10-06,1836443.0,993154.0,843289.0,24.0,3974805.0,24.986232028992614
8598,Georgia,GEO,2021-10-09,1862753.0,998444.0,864309.0,29.0,3974805.0,25.11932031885841
8599,Georgia,GEO,2021-10-10,1874845.0,1000785.0,874060.0,25.0,3974805.0,25.17821628985573
8600,Georgia,GEO,2021-10-11,1882118.0,1002488.0,879630.0,23.0,3974805.0,25.22106115897509
8601,Georgia,GEO,2021-10-13,1889200.0,1004298.0,884902.0,26.0,3974805.0,25.26659798405205
8602,Georgia,GEO,2021-10-14,1899938.0,1007528.0,892410.0,38.0,3974805.0,25.347859832117553
8603,Georgia,GEO,2021-10-19,1920934.0,1013828.0,907106.0,36.0,3974805.0,25.506358173545614
8604,Georgia,GEO,2021-11-03,1990501.0,1044106.0,946395.0,49.0,3974805.0,26.268106234142298
8605,Georgia,GEO,2021-11-04,1995150.0,1046643.0,948507.0,53.0,3974805.0,26.33193326465072
8606,Georgia,GEO,2021-11-06,2003963.0,1051715.0,952248.0,68.0,3974805.0,26.459537008733765
8607,Georgia,GEO,2021-11-07,2005229.0,1052398.0,952831.0,67.0,3974805.0,26.476720241621923
8608,Georgia,GEO,2021-11-08,2010783.0,1055792.0,954991.0,74.0,3974805.0,26.56210807825793
8609,Georgia,GEO,2021-11-09,2018336.0,1060937.0,957399.0,75.0,3974805.0,26.691548390424185
8610,Georgia,GEO,2021-11-11,2032939.0,1070966.0,961973.0,77.0,3974805.0,26.943862654897536
8611,Georgia,GEO,2021-11-12,2041209.0,1076629.0,964580.0,77.0,3974805.0,27.08633505291455
8612,Georgia,GEO,2021-11-13,2046362.0,1080219.0,966143.0,78.0,3974805.0,27.176653949061645
8613,Georgia,GEO,2021-11-15,2057216.0,1088007.0,969209.0,82.0,3974805.0,27.37258808922702
8614,Georgia,GEO,2021-11-16,2066159.0,1094581.0,971578.0,83.0,3974805.0,27.537979850583863
8615,Georgia,GEO,2021-11-17,2074270.0,1100474.0,973796.0,72.0,3974805.0,27.686238695986344
8616,Georgia,GEO,2021-11-19,2090036.0,1111828.0,978208.0,63.0,3974805.0,27.971887929093374
8617,Georgia,GEO,2021-11-21,2097159.0,1116946.0,980213.0,76.0,3974805.0,28.100648962653512
8618,Georgia,GEO,2021-11-22,2107467.0,1124753.0,982714.0,55.0,3974805.0,28.297061113689853
8619,Georgia,GEO,2021-11-23,2112851.0,1128312.0,984539.0,62.0,3974805.0,28.38660009736327
8620,Georgia,GEO,2021-11-25,2133935.0,1144402.0,989533.0,57.0,3974805.0,28.791399829677182
8621,Georgia,GEO,2021-11-28,2155561.0,1160258.0,995303.0,56.0,3974805.0,29.190312480738047
8622,Georgia,GEO,2021-12-03,2224629.0,1210371.0,1014258.0,67.0,3974805.0,30.451078732164227
8623,Georgia,GEO,2021-12-05,2238070.0,1219086.0,1018984.0,46.0,3974805.0,30.670334771139718
8624,Georgia,GEO,2021-12-06,2251150.0,1227371.0,1023779.0,63.0,3974805.0,30.878772669351072
8625,Georgia,GEO,2021-12-07,2264582.0,1235785.0,1028797.0,59.0,3974805.0,31.090456009791673
8626,Georgia,GEO,2021-12-08,2276478.0,1243023.0,1033455.0,53.0,3974805.0,31.272552993165704
8627,Georgia,GEO,2021-12-10,2300323.0,1257362.0,1042961.0,49.0,3974805.0,31.633300249949368
8628,Georgia,GEO,2021-12-12,2311840.0,1264271.0,1047569.0,36.0,3974805.0,31.807120097715487
8629,Georgia,GEO,2021-12-13,2324131.0,1271145.0,1052986.0,46.0,3974805.0,31.980059399140334
8630,Georgia,GEO,2021-12-14,2336951.0,1278845.0,1058106.0,49.0,3974805.0,32.173779594219084
8631,Georgia,GEO,2021-12-15,2349643.0,1285859.0,1063784.0,53.0,3974805.0,32.35024108100901
