,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
9005,Ghana,GHA,2021-05-31,1228216.0,852047.0,376169.0,1.0,32063363.0,2.6573850035631006
9006,Ghana,GHA,2021-06-20,1232876.0,852047.0,380829.0,0.0,32063363.0,2.6573850035631006
9007,Ghana,GHA,2021-07-05,1261677.0,864918.0,396759.0,0.0,32063363.0,2.6975273928689267
9008,Ghana,GHA,2021-07-12,1265306.0,864964.0,400342.0,2.0,32063363.0,2.697670858792947
9009,Ghana,GHA,2021-07-19,1271393.0,865422.0,405971.0,2.0,32063363.0,2.699099280384281
9010,Ghana,GHA,2021-09-20,1623582.0,865422.0,758160.0,3.0,32063363.0,2.699099280384281
9011,Ghana,GHA,2021-10-07,2189552.0,1369515.0,820037.0,0.0,32063363.0,4.2712768464119
9012,Ghana,GHA,2021-10-21,2727537.0,1901831.0,825706.0,0.0,32063363.0,5.931476994474973
9013,Ghana,GHA,2021-10-28,2979766.0,2149123.0,830643.0,0.0,32063363.0,6.702737326711488
9014,Ghana,GHA,2021-11-04,3102396.0,2269003.0,833393.0,0.0,32063363.0,7.076622000006673
9015,Ghana,GHA,2021-11-05,3162666.0,2328335.0,834331.0,0.0,32063363.0,7.261668091397651
9016,Ghana,GHA,2021-11-10,3188114.0,2352125.0,835989.0,15.0,32063363.0,7.335864924711733
9017,Ghana,GHA,2021-11-18,3367531.0,2527761.0,839770.0,0.0,32063363.0,7.8836427732175185
9018,Ghana,GHA,2021-11-24,3493688.0,2651463.0,842225.0,1.0,32063363.0,8.269447593504147
9019,Ghana,GHA,2021-12-15,4216970.0,2651463.0,1565507.0,0.0,32063363.0,8.269447593504147
9020,Ghana,GHA,2021-12-23,7755231.0,5774413.0,2334010.0,4.0,32063363.0,18.00938036350086
