,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
9649,Grenada,GRD,2021-04-03,10373.0,10371.0,2.0,0.0,113205.0,9.161256128262886
9650,Grenada,GRD,2021-04-08,10717.0,10712.0,5.0,0.0,113205.0,9.462479572457047
9651,Grenada,GRD,2021-04-09,10878.0,10858.0,20.0,0.0,113205.0,9.591449140939005
9652,Grenada,GRD,2021-04-11,10911.0,10891.0,20.0,0.0,113205.0,9.620599796828762
9653,Grenada,GRD,2021-04-16,11497.0,11388.0,109.0,0.0,113205.0,10.059626341592685
9654,Grenada,GRD,2021-04-19,11731.0,11537.0,194.0,0.0,113205.0,10.191245969700985
9655,Grenada,GRD,2021-04-22,12764.0,11779.0,985.0,0.0,113205.0,10.405017446225877
9656,Grenada,GRD,2021-04-23,13458.0,12121.0,1337.0,0.0,113205.0,10.707124243628817
9657,Grenada,GRD,2021-04-27,14550.0,12445.0,2105.0,0.0,113205.0,10.993330683273706
9658,Grenada,GRD,2021-04-29,15397.0,12666.0,2731.0,0.0,113205.0,11.188551742414203
9659,Grenada,GRD,2021-05-06,17000.0,13000.0,4000.0,0.0,113205.0,11.4835917141469
9660,Grenada,GRD,2021-05-11,19519.0,13744.0,5775.0,0.0,113205.0,12.140806501479616
9661,Grenada,GRD,2021-05-21,23553.0,16334.0,7219.0,0.0,113205.0,14.428691312221193
9662,Grenada,GRD,2021-05-28,25544.0,17344.0,8200.0,0.0,113205.0,15.32087805308953
9663,Grenada,GRD,2021-06-04,26975.0,17970.0,9005.0,0.0,113205.0,15.873857161786141
9664,Grenada,GRD,2021-06-11,27929.0,18415.0,9514.0,0.0,113205.0,16.266949339693475
9665,Grenada,GRD,2021-06-18,29157.0,19024.0,10133.0,0.0,113205.0,16.804911443840822
9666,Grenada,GRD,2021-06-25,31494.0,19521.0,11973.0,0.0,113205.0,17.243937988604742
9667,Grenada,GRD,2021-07-02,34331.0,20023.0,14308.0,0.0,113205.0,17.687381299412564
9668,Grenada,GRD,2021-07-09,35072.0,20292.0,14780.0,0.0,113205.0,17.925003312574532
9669,Grenada,GRD,2021-07-16,35756.0,20626.0,15130.0,0.0,113205.0,18.22004328430723
9670,Grenada,GRD,2021-07-23,36524.0,21014.0,15510.0,0.0,113205.0,18.562784329314074
9671,Grenada,GRD,2021-07-30,37689.0,21453.0,16236.0,0.0,113205.0,18.950576387968727
9672,Grenada,GRD,2021-08-06,38233.0,21625.0,16608.0,0.0,113205.0,19.10251313987898
9673,Grenada,GRD,2021-08-09,38872.0,21859.0,17013.0,0.0,113205.0,19.309217790733626
9674,Grenada,GRD,2021-08-13,39121.0,21963.0,17158.0,0.0,113205.0,19.4010865244468
9675,Grenada,GRD,2021-08-20,40075.0,22307.0,17768.0,0.0,113205.0,19.7049600282673
9676,Grenada,GRD,2021-08-27,42484.0,23965.0,18519.0,0.0,113205.0,21.169559648425427
9677,Grenada,GRD,2021-09-03,45460.0,26088.0,19372.0,1.0,113205.0,23.04491851066649
9678,Grenada,GRD,2021-09-10,48140.0,28511.0,19629.0,1.0,113205.0,25.185283335541715
9679,Grenada,GRD,2021-09-17,51610.0,30783.0,20827.0,5.0,113205.0,27.192261825891084
9680,Grenada,GRD,2021-09-24,55663.0,33132.0,22531.0,10.0,113205.0,29.267258513316552
9681,Grenada,GRD,2021-10-01,58985.0,34535.0,24450.0,4.0,113205.0,30.506603065235637
9682,Grenada,GRD,2021-10-08,62095.0,35762.0,26333.0,2.0,113205.0,31.590477452409345
9683,Grenada,GRD,2021-10-15,65362.0,36757.0,28605.0,5.0,113205.0,32.469413895145976
9684,Grenada,GRD,2021-10-22,67959.0,37675.0,30284.0,0.0,113205.0,33.2803321408065
9685,Grenada,GRD,2021-10-29,69622.0,38205.0,31417.0,0.0,113205.0,33.74850934146018
9686,Grenada,GRD,2021-11-05,70861.0,38704.0,32157.0,0.0,113205.0,34.189302592641674
9687,Grenada,GRD,2021-11-12,72282.0,39254.0,33028.0,0.0,113205.0,34.67514685747096
9688,Grenada,GRD,2021-11-19,73320.0,39717.0,33603.0,0.0,113205.0,35.08413939313634
9689,Grenada,GRD,2021-11-29,74708.0,40353.0,34355.0,0.0,113205.0,35.645952033920764
9690,Grenada,GRD,2021-12-03,75154.0,40561.0,34593.0,0.0,113205.0,35.829689501347104
9691,Grenada,GRD,2021-12-10,75893.0,40930.0,34963.0,0.0,113205.0,36.15564683538714
9692,Grenada,GRD,2021-12-17,76128.0,41064.0,35064.0,0.0,113205.0,36.27401616536372
