,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
9693,Guatemala,GTM,2021-03-27,93601.0,93231.0,370.0,10.0,18417406.0,0.5062113524564751
9694,Guatemala,GTM,2021-03-28,94272.0,93902.0,370.0,19.0,18417406.0,0.5098546451112606
9695,Guatemala,GTM,2021-03-29,98920.0,98402.0,518.0,8.0,18417406.0,0.5342880533773323
9696,Guatemala,GTM,2021-03-30,104919.0,103959.0,960.0,7.0,18417406.0,0.5644605977627902
9697,Guatemala,GTM,2021-03-31,108165.0,106973.0,1192.0,14.0,18417406.0,0.580825551654777
9698,Guatemala,GTM,2021-04-01,110438.0,109246.0,1192.0,17.0,18417406.0,0.5931671376522839
9699,Guatemala,GTM,2021-04-02,112751.0,111559.0,1192.0,0.0,18417406.0,0.6057259095010448
9700,Guatemala,GTM,2021-04-03,114511.0,113319.0,1192.0,20.0,18417406.0,0.6152820869562196
9701,Guatemala,GTM,2021-04-04,116221.0,115029.0,1192.0,15.0,18417406.0,0.6245667820973269
9702,Guatemala,GTM,2021-04-05,119558.0,118325.0,1233.0,16.0,18417406.0,0.6424628962406541
9703,Guatemala,GTM,2021-04-06,123473.0,121848.0,1625.0,3.0,18417406.0,0.6615915400898476
9704,Guatemala,GTM,2021-04-07,127945.0,126320.0,1625.0,9.0,18417406.0,0.6858729182600416
9705,Guatemala,GTM,2021-04-08,132611.0,130985.0,1626.0,25.0,18417406.0,0.7112022181625359
9706,Guatemala,GTM,2021-04-09,137716.0,136077.0,1639.0,27.0,18417406.0,0.7388499770271666
9707,Guatemala,GTM,2021-04-10,139010.0,137371.0,1639.0,22.0,18417406.0,0.7458759393152326
9708,Guatemala,GTM,2021-04-11,139490.0,137851.0,1639.0,24.0,18417406.0,0.7484821695302802
9709,Guatemala,GTM,2021-04-12,143488.0,141766.0,1722.0,15.0,18417406.0,0.7697392347217626
9710,Guatemala,GTM,2021-04-13,147614.0,145795.0,1819.0,4.0,18417406.0,0.7916152795893189
9711,Guatemala,GTM,2021-04-14,150898.0,149078.0,1820.0,37.0,18417406.0,0.8094408083309886
9712,Guatemala,GTM,2021-04-15,154556.0,152733.0,1823.0,63.0,18417406.0,0.8292861654893202
9713,Guatemala,GTM,2021-04-16,157745.0,155919.0,1826.0,0.0,18417406.0,0.8465850185416991
9714,Guatemala,GTM,2021-04-17,157799.0,155973.0,1826.0,40.0,18417406.0,0.8468782194408919
9715,Guatemala,GTM,2021-04-18,157800.0,155974.0,1826.0,30.0,18417406.0,0.8468836490871733
9716,Guatemala,GTM,2021-04-19,158918.0,157092.0,1826.0,31.0,18417406.0,0.8529539936297218
9717,Guatemala,GTM,2021-04-20,160370.0,158543.0,1827.0,20.0,18417406.0,0.8608324103839595
9718,Guatemala,GTM,2021-04-21,162110.0,160282.0,1828.0,38.0,18417406.0,0.8702745652672259
9719,Guatemala,GTM,2021-04-22,163438.0,161608.0,1830.0,30.0,18417406.0,0.8774742762362951
9720,Guatemala,GTM,2021-04-23,165271.0,163431.0,1840.0,36.0,18417406.0,0.8873725214071948
9721,Guatemala,GTM,2021-04-26,166209.0,164368.0,1841.0,15.0,18417406.0,0.8924600999728192
9722,Guatemala,GTM,2021-04-27,167447.0,165549.0,1898.0,18.0,18417406.0,0.8988725122310927
9723,Guatemala,GTM,2021-04-28,168367.0,166469.0,1898.0,25.0,18417406.0,0.903867786809934
9724,Guatemala,GTM,2021-04-29,170109.0,168211.0,1898.0,25.0,18417406.0,0.9133262306320444
9725,Guatemala,GTM,2021-04-30,170833.0,168935.0,1898.0,22.0,18417406.0,0.9172572945397414
9726,Guatemala,GTM,2021-05-01,171267.0,169369.0,1898.0,24.0,18417406.0,0.9196137610258468
9727,Guatemala,GTM,2021-05-02,171695.0,169797.0,1898.0,19.0,18417406.0,0.9219376496342644
9728,Guatemala,GTM,2021-05-03,172490.0,170591.0,1899.0,15.0,18417406.0,0.9262487887816558
9729,Guatemala,GTM,2021-05-04,176102.0,174152.0,1950.0,20.0,18417406.0,0.9455837591895406
9730,Guatemala,GTM,2021-05-05,182332.0,180072.0,2260.0,28.0,18417406.0,0.9777272651751284
9731,Guatemala,GTM,2021-05-06,191128.0,188671.0,2457.0,36.0,18417406.0,1.0244167935484507
9732,Guatemala,GTM,2021-05-07,204328.0,201836.0,2492.0,35.0,18417406.0,1.0958980868424142
9733,Guatemala,GTM,2021-05-08,206951.0,204459.0,2492.0,18.0,18417406.0,1.1101400490383937
9734,Guatemala,GTM,2021-05-10,217348.0,214830.0,2518.0,16.0,18417406.0,1.1664509106222667
9735,Guatemala,GTM,2021-05-11,232949.0,230431.0,2518.0,3.0,18417406.0,1.2511588222575971
9736,Guatemala,GTM,2021-05-12,245772.0,243251.0,2521.0,40.0,18417406.0,1.320766887584495
9737,Guatemala,GTM,2021-05-13,259768.0,257247.0,2521.0,39.0,18417406.0,1.3967602169382594
9738,Guatemala,GTM,2021-05-14,274434.0,271912.0,2522.0,17.0,18417406.0,1.476385979654247
9739,Guatemala,GTM,2021-05-15,276843.0,274321.0,2522.0,13.0,18417406.0,1.489465997546017
9740,Guatemala,GTM,2021-05-16,279902.0,277380.0,2522.0,0.0,18417406.0,1.5060752855206645
9741,Guatemala,GTM,2021-05-17,293643.0,291108.0,2535.0,42.0,18417406.0,1.5806134696710277
9742,Guatemala,GTM,2021-05-18,308299.0,305764.0,2535.0,6.0,18417406.0,1.6601903655704824
9743,Guatemala,GTM,2021-05-19,323720.0,321185.0,2535.0,20.0,18417406.0,1.74392094087517
9744,Guatemala,GTM,2021-05-20,337356.0,334821.0,2535.0,15.0,18417406.0,1.8179595975676488
9745,Guatemala,GTM,2021-05-21,350418.0,347883.0,2535.0,24.0,18417406.0,1.888881637294633
9746,Guatemala,GTM,2021-05-22,352111.0,349576.0,2535.0,25.0,18417406.0,1.8980740284489572
9747,Guatemala,GTM,2021-05-23,352941.0,350406.0,2535.0,19.0,18417406.0,1.9025806348624772
9748,Guatemala,GTM,2021-05-24,363400.0,360865.0,2535.0,4.0,18417406.0,1.9593693053191097
9749,Guatemala,GTM,2021-05-25,409532.0,374708.0,34824.0,9.0,18417406.0,2.0345318987918275
9750,Guatemala,GTM,2021-05-26,429959.0,385620.0,44339.0,13.0,18417406.0,2.0937801990139118
