,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
10260,Hungary,HUN,2021-01-18,131332.0,129689.0,1643.0,68.0,9620569.0,1.348038769848228
10261,Hungary,HUN,2021-01-19,133257.0,130318.0,2939.0,111.0,9620569.0,1.3545768446751951
10262,Hungary,HUN,2021-01-20,138584.0,134554.0,4030.0,95.0,9620569.0,1.3986075044002075
10263,Hungary,HUN,2021-01-21,144798.0,138983.0,5815.0,98.0,9620569.0,1.4446442824743526
10264,Hungary,HUN,2021-01-22,150128.0,143184.0,6944.0,98.0,9620569.0,1.4883111383536671
10265,Hungary,HUN,2021-01-23,153392.0,145257.0,8135.0,93.0,9620569.0,1.5098587204145617
10266,Hungary,HUN,2021-01-24,156098.0,146695.0,9403.0,64.0,9620569.0,1.5248058612749409
10267,Hungary,HUN,2021-01-25,162315.0,149676.0,12639.0,56.0,9620569.0,1.5557915545327932
10268,Hungary,HUN,2021-01-26,170476.0,152704.0,17772.0,89.0,9620569.0,1.5872657843834392
10269,Hungary,HUN,2021-01-27,187508.0,161215.0,26293.0,85.0,9620569.0,1.6757324852615267
10270,Hungary,HUN,2021-01-28,213010.0,175283.0,37727.0,93.0,9620569.0,1.8219608424408158
10271,Hungary,HUN,2021-01-29,247889.0,198283.0,49606.0,83.0,9620569.0,2.0610319410421565
10272,Hungary,HUN,2021-01-30,278830.0,222005.0,56825.0,89.0,9620569.0,2.307607793260461
10273,Hungary,HUN,2021-01-31,299138.0,237872.0,61266.0,61.0,9620569.0,2.472535668108612
10274,Hungary,HUN,2021-02-01,311662.0,243136.0,68526.0,54.0,9620569.0,2.5272517665015446
10275,Hungary,HUN,2021-02-02,322306.0,247270.0,75036.0,78.0,9620569.0,2.5702221978762383
10276,Hungary,HUN,2021-02-03,334130.0,249687.0,84452.0,83.0,9620569.0,2.595345452020561
10277,Hungary,HUN,2021-02-04,357303.0,264530.0,92773.0,93.0,9620569.0,2.7496294657831566
