,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
10403,Iceland,ISL,2021-01-20,6205.0,5725.0,480.0,0.0,344455.0,1.6620458405306937
10404,Iceland,ISL,2021-01-25,15220.0,10433.0,4787.0,0.0,344455.0,3.0288426644989914
10405,Iceland,ISL,2021-01-27,15522.0,10702.0,4820.0,0.0,344455.0,3.1069370454776384
10406,Iceland,ISL,2021-02-03,16951.0,12098.0,4853.0,0.0,344455.0,3.5122149482515868
10407,Iceland,ISL,2021-02-05,17515.0,12660.0,4855.0,0.0,344455.0,3.675371238623333
10408,Iceland,ISL,2021-02-08,17657.0,12801.0,4856.0,0.0,344455.0,3.716305468058237
10409,Iceland,ISL,2021-02-12,19624.0,14086.0,5538.0,0.0,344455.0,4.089358551915344
10410,Iceland,ISL,2021-02-15,19844.0,14087.0,5757.0,0.0,344455.0,4.0896488655992815
10411,Iceland,ISL,2021-02-16,20031.0,14087.0,5944.0,0.0,344455.0,4.0896488655992815
10412,Iceland,ISL,2021-02-17,21569.0,14188.0,7381.0,0.0,344455.0,4.1189705476767635
10413,Iceland,ISL,2021-02-18,24853.0,15195.0,9658.0,0.0,344455.0,4.4113164273998065
10414,Iceland,ISL,2021-02-19,25718.0,15644.0,10074.0,0.0,344455.0,4.5416672714868405
10415,Iceland,ISL,2021-02-22,27762.0,17232.0,10530.0,0.0,344455.0,5.002685401576404
10416,Iceland,ISL,2021-02-23,27933.0,17379.0,10554.0,0.0,344455.0,5.045361513114921
10417,Iceland,ISL,2021-02-25,31451.0,19075.0,12376.0,0.0,344455.0,5.5377335210695176
10418,Iceland,ISL,2021-02-26,32157.0,19593.0,12564.0,0.0,344455.0,5.688116009348102
10419,Iceland,ISL,2021-03-01,33683.0,21083.0,12600.0,0.0,344455.0,6.120683398411983
10420,Iceland,ISL,2021-03-02,33835.0,21191.0,12644.0,0.0,344455.0,6.152037276277017
10421,Iceland,ISL,2021-03-04,39196.0,26489.0,12707.0,0.0,344455.0,7.690119173767256
10422,Iceland,ISL,2021-03-05,39749.0,27041.0,12708.0,0.0,344455.0,7.850372327299647
10423,Iceland,ISL,2021-03-08,42027.0,29317.0,12710.0,0.0,344455.0,8.511126271936826
10424,Iceland,ISL,2021-03-11,46052.0,33289.0,12763.0,0.0,344455.0,9.664252224528603
10425,Iceland,ISL,2021-03-12,46862.0,34018.0,12844.0,0.0,344455.0,9.875890900117577
10426,Iceland,ISL,2021-03-15,47059.0,34171.0,12888.0,0.0,344455.0,9.920308893759707
10427,Iceland,ISL,2021-03-17,50297.0,36775.0,13522.0,0.0,344455.0,10.676285726727727
10428,Iceland,ISL,2021-03-18,51283.0,37179.0,14104.0,0.0,344455.0,10.793572455037667
10429,Iceland,ISL,2021-03-19,52604.0,37865.0,14739.0,0.0,344455.0,10.992727642217417
10430,Iceland,ISL,2021-03-22,53019.0,37953.0,15066.0,0.0,344455.0,11.01827524640374
10431,Iceland,ISL,2021-03-23,54868.0,37962.0,16906.0,0.0,344455.0,11.02088806955916
10432,Iceland,ISL,2021-03-24,58029.0,38142.0,19887.0,0.0,344455.0,11.073144532667547
10433,Iceland,ISL,2021-03-25,59903.0,39578.0,20325.0,0.0,344455.0,11.490034982798916
10434,Iceland,ISL,2021-03-26,60366.0,39633.0,20733.0,0.0,344455.0,11.506002235415366
10435,Iceland,ISL,2021-03-29,66156.0,45422.0,20734.0,0.0,344455.0,13.18662815171793
10436,Iceland,ISL,2021-03-31,72987.0,49289.0,23698.0,0.0,344455.0,14.309271167496481
10437,Iceland,ISL,2021-04-03,74603.0,50259.0,24344.0,0.0,344455.0,14.590875440913909
10438,Iceland,ISL,2021-04-08,79726.0,52634.0,27092.0,0.0,344455.0,15.280370440260704
10439,Iceland,ISL,2021-04-09,86368.0,58567.0,27801.0,0.0,344455.0,17.002801527049975
10440,Iceland,ISL,2021-04-12,89190.0,61134.0,28056.0,0.0,344455.0,17.748036753712388
10441,Iceland,ISL,2021-04-14,95439.0,67158.0,28281.0,0.0,344455.0,19.496886385739792
10442,Iceland,ISL,2021-04-16,98672.0,70058.0,28614.0,0.0,344455.0,20.338796069152718
10443,Iceland,ISL,2021-04-19,100168.0,70482.0,29686.0,0.0,344455.0,20.461889071141368
10444,Iceland,ISL,2021-04-22,113330.0,80721.0,32609.0,0.0,344455.0,23.434410880956875
10445,Iceland,ISL,2021-04-28,121530.0,87038.0,34492.0,0.0,344455.0,25.268322422377377
10446,Iceland,ISL,2021-04-29,133064.0,98008.0,35432.0,0.0,344455.0,28.45306353514973
