,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
10829,Indonesia,IDN,2021-01-28,373786.0,368318.0,5468.0,476.0,277789965.0,0.1325886628050081
10830,Indonesia,IDN,2021-01-29,416299.0,405012.0,11287.0,187.0,277789965.0,0.1457979232619148
10831,Indonesia,IDN,2021-01-30,502955.0,482145.0,20810.0,210.0,277789965.0,0.1735645850273965
10832,Indonesia,IDN,2021-01-31,515681.0,493133.0,22548.0,270.0,277789965.0,0.17752009148350625
10833,Indonesia,IDN,2021-02-01,574938.0,539532.0,35406.0,279.0,277789965.0,0.1942229986601568
10834,Indonesia,IDN,2021-02-02,648259.0,596260.0,51999.0,304.0,277789965.0,0.21464418270112814
10835,Indonesia,IDN,2021-02-03,717647.0,646026.0,71621.0,189.0,277789965.0,0.23255915669955896
10836,Indonesia,IDN,2021-02-04,796819.0,700266.0,96553.0,231.0,277789965.0,0.25208470003587063
10837,Indonesia,IDN,2021-02-05,865609.0,744884.0,120725.0,201.0,277789965.0,0.2681464753415409
10838,Indonesia,IDN,2021-02-06,914303.0,777096.0,137207.0,191.0,277789965.0,0.27974228658691824
10839,Indonesia,IDN,2021-02-07,923449.0,784318.0,139131.0,163.0,277789965.0,0.28234209252303266
10840,Indonesia,IDN,2021-02-08,985855.0,814585.0,171270.0,207.0,277789965.0,0.2932377344876371
10841,Indonesia,IDN,2021-02-09,1066860.0,845407.0,221453.0,213.0,277789965.0,0.3043331676866009
10842,Indonesia,IDN,2021-02-10,1248797.0,969546.0,279251.0,191.0,277789965.0,0.3490212470418073
10843,Indonesia,IDN,2021-02-11,1362791.0,1017186.0,345605.0,214.0,277789965.0,0.3661708946181696
10844,Indonesia,IDN,2021-02-13,1475812.0,1060326.0,415486.0,280.0,277789965.0,0.3817006132672935
10845,Indonesia,IDN,2021-02-14,1494325.0,1068747.0,425578.0,247.0,277789965.0,0.38473204026646535
10846,Indonesia,IDN,2021-02-15,1578720.0,1096095.0,482625.0,184.0,277789965.0,0.3945768883336013
10847,Indonesia,IDN,2021-02-16,1658110.0,1120963.0,537147.0,229.0,277789965.0,0.4035289755697257
10848,Indonesia,IDN,2021-02-17,1747267.0,1149939.0,597328.0,192.0,277789965.0,0.4139598779243159
10849,Indonesia,IDN,2021-02-18,1787976.0,1164144.0,623832.0,181.0,277789965.0,0.419073453571298
10850,Indonesia,IDN,2021-02-20,1956725.0,1224091.0,732634.0,164.0,277789965.0,0.4406534267715537
10851,Indonesia,IDN,2021-02-23,2059871.0,1269905.0,789966.0,323.0,277789965.0,0.4571457431876634
10852,Indonesia,IDN,2021-02-24,2188788.0,1363138.0,825650.0,240.0,277789965.0,0.4907081506705975
10853,Indonesia,IDN,2021-02-25,2315665.0,1461920.0,853745.0,264.0,277789965.0,0.5262681105129193
10854,Indonesia,IDN,2021-02-26,2449451.0,1583581.0,865870.0,268.0,277789965.0,0.5700641490055266
10855,Indonesia,IDN,2021-02-27,2598535.0,1616165.0,982370.0,195.0,277789965.0,0.5817938743755556
10856,Indonesia,IDN,2021-02-28,2690163.0,1691724.0,998439.0,185.0,277789965.0,0.6089939210007099
10857,Indonesia,IDN,2021-03-02,3023348.0,1968057.0,1055291.0,193.0,277789965.0,0.7084694366119382
10858,Indonesia,IDN,2021-03-03,3386351.0,2286123.0,1100228.0,203.0,277789965.0,0.8229681730943736
