,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
11118,Iran (Islamic Republic of),IRN,2021-04-14,462642.0,361951.0,100691.0,291.0,85538745.0,0.4231427524451054
11119,Iran (Islamic Republic of),IRN,2021-04-19,550131.0,416084.0,134047.0,405.0,85538745.0,0.4864275247433195
11120,Iran (Islamic Republic of),IRN,2021-04-20,621822.0,480646.0,141176.0,398.0,85538745.0,0.5619044328976303
11121,Iran (Islamic Republic of),IRN,2021-04-22,667202.0,518904.0,148298.0,388.0,85538745.0,0.6066303638193429
11122,Iran (Islamic Republic of),IRN,2021-04-28,938754.0,744914.0,193840.0,462.0,85538745.0,0.8708498119770169
11123,Iran (Islamic Republic of),IRN,2021-04-29,1002591.0,798465.0,204126.0,434.0,85538745.0,0.9334541908464988
11124,Iran (Islamic Republic of),IRN,2021-04-30,1068123.0,858296.0,209827.0,385.0,85538745.0,1.0034002720053936
11125,Iran (Islamic Republic of),IRN,2021-05-04,1314641.0,1083138.0,231503.0,391.0,85538745.0,1.266254257062107
11126,Iran (Islamic Republic of),IRN,2021-05-07,1485287.0,1231652.0,253635.0,338.0,85538745.0,1.4398761637197273
11127,Iran (Islamic Republic of),IRN,2021-05-10,1767570.0,1475436.0,292134.0,386.0,85538745.0,1.724874499853838
11128,Iran (Islamic Republic of),IRN,2021-05-17,2329379.0,1979167.0,350212.0,303.0,85538745.0,2.3137667030303053
11129,Iran (Islamic Republic of),IRN,2021-05-24,3141577.0,2738504.0,403073.0,216.0,85538745.0,3.2014778799946155
11130,Iran (Islamic Republic of),IRN,2021-06-08,4553653.0,3915783.0,637870.0,120.0,85538745.0,4.5777886968063415
11131,Iran (Islamic Republic of),IRN,2021-06-14,4792881.0,3984095.0,808786.0,187.0,85538745.0,4.657649583238567
11132,Iran (Islamic Republic of),IRN,2021-06-21,4968642.0,4013642.0,955000.0,111.0,85538745.0,4.692191824885904
11133,Iran (Islamic Republic of),IRN,2021-06-29,5717914.0,4076904.0,1641010.0,140.0,85538745.0,4.766148953903871
11134,Iran (Islamic Republic of),IRN,2021-07-13,6530124.0,4390342.0,2139782.0,182.0,85538745.0,5.132577056163263
