,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
11166,Iraq,IRQ,2021-06-08,613840.0,447321.0,166519.0,28.0,41666372.0,1.0735779923435618
11167,Iraq,IRQ,2021-06-14,703820.0,494524.0,209296.0,15.0,41666372.0,1.1868659935163062
11168,Iraq,IRQ,2021-06-20,805363.0,548696.0,256667.0,26.0,41666372.0,1.31687971297333
11169,Iraq,IRQ,2021-07-05,1087866.0,699325.0,388541.0,35.0,41666372.0,1.6783918695873017
11170,Iraq,IRQ,2021-07-11,1330393.0,826007.0,494900.0,39.0,41666372.0,1.9824308197507567
11171,Iraq,IRQ,2021-09-08,5739867.0,3684546.0,2055321.0,58.0,41666372.0,8.842972937504614
11172,Iraq,IRQ,2021-09-11,6672182.0,4203578.0,2468604.0,61.0,41666372.0,10.088658546993244
11173,Iraq,IRQ,2021-09-23,7448300.0,4585095.0,2486604.0,38.0,41666372.0,11.004305822450776
11174,Iraq,IRQ,2021-09-26,7608508.0,4676216.0,2932292.0,33.0,41666372.0,11.222997769040225
11175,Iraq,IRQ,2021-10-09,8187299.0,5024958.0,3162341.0,36.0,41666372.0,12.0599844882103
11176,Iraq,IRQ,2021-10-17,8506934.0,5260678.0,3246256.0,25.0,41666372.0,12.625716489067011
11177,Iraq,IRQ,2021-10-24,8972041.0,5621027.0,3351014.0,36.0,41666372.0,13.490560205241772
11178,Iraq,IRQ,2021-10-30,9370826.0,5896149.0,3474677.0,28.0,41666372.0,14.150857674865478
11179,Iraq,IRQ,2021-11-03,9632835.0,6062577.0,3570258.0,27.0,41666372.0,14.550287699634614
11180,Iraq,IRQ,2021-11-15,10806021.0,6732542.0,4073479.0,20.0,41666372.0,16.15821507089698
11181,Iraq,IRQ,2021-11-21,11380981.0,7055224.0,4325757.0,14.0,41666372.0,16.932657347752762
11182,Iraq,IRQ,2021-11-24,11715365.0,7246498.0,4468867.0,26.0,41666372.0,17.39171819423107
11183,Iraq,IRQ,2021-11-28,12048583.0,7424101.0,4624482.0,7.0,41666372.0,17.817968408672584
11184,Iraq,IRQ,2021-11-30,12268675.0,7545538.0,4723137.0,14.0,41666372.0,18.109419269813078
11185,Iraq,IRQ,2021-12-04,12550487.0,7691071.0,4858405.0,8.0,41666372.0,18.45870093993305
11186,Iraq,IRQ,2021-12-08,12912613.0,7880958.0,5028072.0,16.0,41666372.0,18.914432962869913
11187,Iraq,IRQ,2021-12-12,13174583.0,8009447.0,5158731.0,6.0,41666372.0,19.222808743703435
11188,Iraq,IRQ,2021-12-14,13360483.0,8111496.0,5241122.0,16.0,41666372.0,19.467728075772953
11189,Iraq,IRQ,2021-12-19,13685013.0,8271151.0,5402359.0,9.0,41666372.0,19.8509027855845
11190,Iraq,IRQ,2021-12-22,13928740.0,8390446.0,5523839.0,13.0,41666372.0,20.137212810369
