,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
11551,Israel,ISR,2020-12-19,74.0,73.0,1.0,16.0,8857013.0,0.0008242056323051574
11552,Israel,ISR,2020-12-20,7459.0,7458.0,1.0,19.0,8857013.0,0.0842044603524913
11553,Israel,ISR,2020-12-21,32368.0,32367.0,1.0,19.0,8857013.0,0.3654392287783703
11554,Israel,ISR,2020-12-22,77002.0,77001.0,1.0,16.0,8857013.0,0.8693788752483484
11555,Israel,ISR,2020-12-23,139894.0,139893.0,1.0,13.0,8857013.0,1.579460253699526
11556,Israel,ISR,2020-12-24,213293.0,213292.0,1.0,25.0,8857013.0,2.4081707907620773
11557,Israel,ISR,2020-12-25,251794.0,251793.0,1.0,15.0,8857013.0,2.8428658736303087
11558,Israel,ISR,2020-12-26,284400.0,284399.0,1.0,21.0,8857013.0,3.2110035290678702
11559,Israel,ISR,2020-12-27,388930.0,388929.0,1.0,23.0,8857013.0,4.391198251600173
11560,Israel,ISR,2020-12-28,523909.0,523908.0,1.0,21.0,8857013.0,5.915177046708636
11561,Israel,ISR,2020-12-29,680153.0,680152.0,1.0,32.0,8857013.0,7.679248071556404
11562,Israel,ISR,2020-12-30,833228.0,833227.0,1.0,25.0,8857013.0,9.407539539571637
11563,Israel,ISR,2020-12-31,991725.0,991724.0,1.0,16.0,8857013.0,11.197048034139726
11564,Israel,ISR,2021-01-01,1063115.0,1063114.0,1.0,36.0,8857013.0,12.003075980581714
11565,Israel,ISR,2021-01-02,1134831.0,1134830.0,1.0,34.0,8857013.0,12.812784626148796
11566,Israel,ISR,2021-01-03,1284527.0,1284526.0,1.0,27.0,8857013.0,14.502925534827597
11567,Israel,ISR,2021-01-04,1436649.0,1436647.0,2.0,26.0,8857013.0,16.220445877182296
11568,Israel,ISR,2021-01-05,1561766.0,1561763.0,3.0,38.0,8857013.0,17.633066588024658
11569,Israel,ISR,2021-01-06,1665055.0,1665050.0,5.0,23.0,8857013.0,18.79922723383154
11570,Israel,ISR,2021-01-07,1781070.0,1781060.0,10.0,43.0,8857013.0,20.10903675990992
11571,Israel,ISR,2021-01-08,1847498.0,1847485.0,13.0,48.0,8857013.0,20.85900743286704
11572,Israel,ISR,2021-01-09,1892043.0,1892006.0,37.0,46.0,8857013.0,21.361671254180166
11573,Israel,ISR,2021-01-10,1935646.0,1929616.0,6030.0,20.0,8857013.0,21.786306512139024
11574,Israel,ISR,2021-01-11,1976023.0,1950740.0,25283.0,43.0,8857013.0,22.02480678305429
11575,Israel,ISR,2021-01-12,2035691.0,1974753.0,60938.0,28.0,8857013.0,22.29592527413023
11576,Israel,ISR,2021-01-13,2144568.0,2026772.0,117796.0,55.0,8857013.0,22.883245175320397
11577,Israel,ISR,2021-01-14,2269814.0,2083201.0,186613.0,57.0,8857013.0,23.520356129092285
11578,Israel,ISR,2021-01-15,2336459.0,2113923.0,222536.0,59.0,8857013.0,23.8672225049235
11579,Israel,ISR,2021-01-16,2391893.0,2143355.0,248538.0,52.0,8857013.0,24.19952415108796
11580,Israel,ISR,2021-01-17,2544837.0,2211732.0,333105.0,47.0,8857013.0,24.971533856843163
11581,Israel,ISR,2021-01-18,2734914.0,2281434.0,453480.0,56.0,8857013.0,25.758503459349107
11582,Israel,ISR,2021-01-19,2945457.0,2354212.0,591245.0,46.0,8857013.0,26.580202603293014
11583,Israel,ISR,2021-01-20,3165895.0,2430979.0,734916.0,43.0,8857013.0,27.446939504322728
11584,Israel,ISR,2021-01-21,3400103.0,2500858.0,899245.0,55.0,8857013.0,28.235907523224817
11585,Israel,ISR,2021-01-22,3509008.0,2538697.0,970311.0,48.0,8857013.0,28.66312830296173
11586,Israel,ISR,2021-01-23,3602478.0,2578614.0,1023864.0,65.0,8857013.0,29.11381071699907
11587,Israel,ISR,2021-01-24,3812144.0,2647661.0,1164483.0,52.0,8857013.0,29.89338504979049
11588,Israel,ISR,2021-01-25,4032407.0,2728500.0,1303907.0,75.0,8857013.0,30.806096818419483
11589,Israel,ISR,2021-01-26,4237363.0,2807133.0,1430230.0,60.0,8857013.0,31.693901770269502
11590,Israel,ISR,2021-01-27,4440174.0,2884993.0,1555181.0,53.0,8857013.0,32.57297917480758
11591,Israel,ISR,2021-01-28,4650170.0,2964464.0,1685706.0,61.0,8857013.0,33.470245555696934
11592,Israel,ISR,2021-01-29,4751530.0,3001083.0,1750447.0,49.0,8857013.0,33.88369193993505
11593,Israel,ISR,2021-01-30,4828617.0,3035438.0,1793179.0,45.0,8857013.0,34.2715766590836
11594,Israel,ISR,2021-01-31,4961349.0,3108719.0,1852630.0,38.0,8857013.0,35.098954918548735
11595,Israel,ISR,2021-02-01,5079084.0,3191152.0,1887932.0,51.0,8857013.0,36.02966372523107
