,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
13029,Kenya,KEN,2021-05-31,969692.0,969489.0,203.0,16.0,55597645.0,1.7437591106601726
13030,Kenya,KEN,2021-06-02,971714.0,971243.0,471.0,16.0,55597645.0,1.746913920544656
13031,Kenya,KEN,2021-06-03,973987.0,972601.0,1386.0,18.0,55597645.0,1.7493564700447293
13032,Kenya,KEN,2021-06-04,976541.0,974000.0,2541.0,17.0,55597645.0,1.7518727636755118
13033,Kenya,KEN,2021-06-05,981887.0,975265.0,6622.0,17.0,55597645.0,1.7541480399034888
13034,Kenya,KEN,2021-06-06,983580.0,975399.0,8181.0,24.0,55597645.0,1.754389057306294
13035,Kenya,KEN,2021-06-07,989029.0,975835.0,13194.0,23.0,55597645.0,1.7551732631840793
13036,Kenya,KEN,2021-06-08,1005509.0,978127.0,27382.0,21.0,55597645.0,1.759295739954453
13037,Kenya,KEN,2021-06-09,1030445.0,979955.0,50490.0,18.0,55597645.0,1.7625836490016795
13038,Kenya,KEN,2021-06-10,1059117.0,982310.0,76807.0,19.0,55597645.0,1.766819439924119
13039,Kenya,KEN,2021-06-11,1095122.0,985070.0,110052.0,17.0,55597645.0,1.771783678966978
13040,Kenya,KEN,2021-06-13,1113158.0,986881.0,126277.0,18.0,55597645.0,1.7750410111795203
13041,Kenya,KEN,2021-06-14,1116021.0,987277.0,128744.0,14.0,55597645.0,1.7757532715639304
13042,Kenya,KEN,2021-06-15,1138748.0,989422.0,149326.0,11.0,55597645.0,1.7796113486461522
13043,Kenya,KEN,2021-06-16,1155745.0,991184.0,164561.0,7.0,55597645.0,1.7827805476293104
13044,Kenya,KEN,2021-06-17,1164161.0,992418.0,171743.0,0.0,55597645.0,1.785000066099922
13045,Kenya,KEN,2021-06-18,1174071.0,993670.0,180401.0,6.0,55597645.0,1.7872519600425525
13046,Kenya,KEN,2021-06-19,1181588.0,994622.0,186966.0,3.0,55597645.0,1.7889642627848714
13047,Kenya,KEN,2021-06-20,1183376.0,995012.0,188364.0,10.0,55597645.0,1.7896657313452755
13048,Kenya,KEN,2021-06-21,1187663.0,995570.0,192093.0,9.0,55597645.0,1.7906693709778536
13049,Kenya,KEN,2021-06-22,1190889.0,996414.0,194475.0,5.0,55597645.0,1.7921874208880608
13050,Kenya,KEN,2021-06-23,1201325.0,997420.0,203905.0,23.0,55597645.0,1.7939968500464358
13051,Kenya,KEN,2021-06-24,1220151.0,998073.0,222078.0,30.0,55597645.0,1.7951713602257793
13052,Kenya,KEN,2021-06-26,1279023.0,1001711.0,277312.0,18.0,55597645.0,1.8017148028482142
13053,Kenya,KEN,2021-06-27,1287776.0,1002499.0,285277.0,18.0,55597645.0,1.8031321290676967
13054,Kenya,KEN,2021-06-28,1293004.0,1003204.0,289800.0,21.0,55597645.0,1.8044001683884272
