,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
13215,Kyrgyzstan,KGZ,2021-04-28,27858.0,27000.0,858.0,3.0,6680347.0,0.4041706216757902
13216,Kyrgyzstan,KGZ,2021-05-11,43127.0,37117.0,6010.0,7.0,6680347.0,0.5556148505459372
13217,Kyrgyzstan,KGZ,2021-06-09,135578.0,88178.0,47400.0,5.0,6680347.0,1.3199613732639937
13218,Kyrgyzstan,KGZ,2021-06-23,173700.0,99900.0,73800.0,8.0,6680347.0,1.4954313002004238
13219,Kyrgyzstan,KGZ,2021-07-27,505634.0,392788.0,112517.0,14.0,6680347.0,5.879754449881122
13220,Kyrgyzstan,KGZ,2021-07-28,518118.0,403640.0,114178.0,13.0,6680347.0,6.042201101230219
13221,Kyrgyzstan,KGZ,2021-07-29,539247.0,423415.0,115566.0,13.0,6680347.0,6.338218658402027
13222,Kyrgyzstan,KGZ,2021-07-30,562528.0,445911.0,116380.0,10.0,6680347.0,6.6749676326693805
13223,Kyrgyzstan,KGZ,2021-07-31,570564.0,453881.0,116456.0,14.0,6680347.0,6.79427281247516
13224,Kyrgyzstan,KGZ,2021-08-01,579490.0,461947.0,117311.0,10.0,6680347.0,6.915015043380232
13225,Kyrgyzstan,KGZ,2021-08-02,600458.0,479994.0,120236.0,9.0,6680347.0,7.185165680764786
13226,Kyrgyzstan,KGZ,2021-08-03,634930.0,502789.0,131906.0,10.0,6680347.0,7.5263904704351425
13227,Kyrgyzstan,KGZ,2021-08-04,645650.0,507740.0,137643.0,9.0,6680347.0,7.6005033870246566
13228,Kyrgyzstan,KGZ,2021-08-05,671769.0,521785.0,149564.0,9.0,6680347.0,7.810746956707487
13229,Kyrgyzstan,KGZ,2021-08-06,696306.0,532904.0,162962.0,8.0,6680347.0,7.977190406426492
13230,Kyrgyzstan,KGZ,2021-08-07,709938.0,538640.0,170813.0,9.0,6680347.0,8.063054209609172
13231,Kyrgyzstan,KGZ,2021-08-08,721892.0,542209.0,179070.0,10.0,6680347.0,8.116479578081798
13232,Kyrgyzstan,KGZ,2021-08-09,748710.0,552283.0,195593.0,8.0,6680347.0,8.26728012781372
13233,Kyrgyzstan,KGZ,2021-08-10,776958.0,561878.0,214559.0,6.0,6680347.0,8.410910391331468
13234,Kyrgyzstan,KGZ,2021-08-11,805952.0,571497.0,233841.0,7.0,6680347.0,8.55489991762404
13235,Kyrgyzstan,KGZ,2021-08-12,819659.0,575817.0,243177.0,6.0,6680347.0,8.619567217092166
13236,Kyrgyzstan,KGZ,2021-08-13,841077.0,583200.0,257126.0,7.0,6680347.0,8.730085428197068
13237,Kyrgyzstan,KGZ,2021-08-14,848085.0,585938.0,261380.0,6.0,6680347.0,8.771071323091451
13238,Kyrgyzstan,KGZ,2021-08-15,865447.0,592126.0,272424.0,7.0,6680347.0,8.863701241866627
13239,Kyrgyzstan,KGZ,2021-08-16,887729.0,600784.0,285926.0,5.0,6680347.0,8.993305287883999
13240,Kyrgyzstan,KGZ,2021-08-17,911632.0,610622.0,299834.0,6.0,6680347.0,9.14057308699683
13241,Kyrgyzstan,KGZ,2021-08-18,932744.0,618384.0,312948.0,5.0,6680347.0,9.256764656087476
13242,Kyrgyzstan,KGZ,2021-08-19,963766.0,627819.0,334370.0,6.0,6680347.0,9.397999834439737
13243,Kyrgyzstan,KGZ,2021-08-20,981836.0,633235.0,346902.0,5.0,6680347.0,9.479073467291443
13244,Kyrgyzstan,KGZ,2021-08-21,989905.0,635267.0,352916.0,5.0,6680347.0,9.50949104889312
13245,Kyrgyzstan,KGZ,2021-08-22,1000277.0,638014.0,360447.0,6.0,6680347.0,9.550611667328061
13246,Kyrgyzstan,KGZ,2021-08-23,1022084.0,644276.0,375905.0,5.0,6680347.0,9.644349312992274
13247,Kyrgyzstan,KGZ,2021-08-25,1064235.0,658752.0,403364.0,4.0,6680347.0,9.861044643339635
13248,Kyrgyzstan,KGZ,2021-08-26,1089812.0,668691.0,418848.0,5.0,6680347.0,10.00982433996318
13249,Kyrgyzstan,KGZ,2021-08-27,1106146.0,674622.0,429172.0,4.0,6680347.0,10.098607153191294
13250,Kyrgyzstan,KGZ,2021-08-28,1110423.0,676156.0,431907.0,6.0,6680347.0,10.121570032215393
13251,Kyrgyzstan,KGZ,2021-08-29,1124350.0,680409.0,441427.0,5.0,6680347.0,10.185234389770473
13252,Kyrgyzstan,KGZ,2021-08-30,1125963.0,680926.0,442499.0,6.0,6680347.0,10.192973508711448
13253,Kyrgyzstan,KGZ,2021-08-31,1141442.0,685629.0,453130.0,4.0,6680347.0,10.263374043294457
13254,Kyrgyzstan,KGZ,2021-09-01,1154363.0,690946.0,460598.0,4.0,6680347.0,10.34296571720002
13255,Kyrgyzstan,KGZ,2021-09-02,1169143.0,696371.0,469782.0,4.0,6680347.0,10.424174073592283
13256,Kyrgyzstan,KGZ,2021-09-03,1176307.0,698892.0,474366.0,5.0,6680347.0,10.461911634230976
13257,Kyrgyzstan,KGZ,2021-09-04,1180407.0,700537.0,476780.0,5.0,6680347.0,10.486536103588632
13258,Kyrgyzstan,KGZ,2021-09-05,1188137.0,703407.0,481593.0,4.0,6680347.0,10.52949794374454
13259,Kyrgyzstan,KGZ,2021-09-06,1204086.0,710470.0,490322.0,4.0,6680347.0,10.635225984518467
13260,Kyrgyzstan,KGZ,2021-09-07,1211784.0,714055.0,494364.0,3.0,6680347.0,10.688890861507645
13261,Kyrgyzstan,KGZ,2021-09-09,1249067.0,731217.0,514203.0,2.0,6680347.0,10.945793684070605
13262,Kyrgyzstan,KGZ,2021-09-10,1255900.0,734421.0,517815.0,3.0,6680347.0,10.993755264509463
13263,Kyrgyzstan,KGZ,2021-09-11,1257442.0,735276.0,518500.0,3.0,6680347.0,11.006554000862527
13264,Kyrgyzstan,KGZ,2021-09-12,1270320.0,740586.0,525926.0,3.0,6680347.0,11.086040889792102
13265,Kyrgyzstan,KGZ,2021-09-13,1277536.0,743257.0,530448.0,2.0,6680347.0,11.126023842773435
13266,Kyrgyzstan,KGZ,2021-09-14,1293759.0,749242.0,540454.0,2.0,6680347.0,11.215614997244904
13267,Kyrgyzstan,KGZ,2021-09-15,1310873.0,756207.0,550410.0,2.0,6680347.0,11.319876048354974
13268,Kyrgyzstan,KGZ,2021-09-16,1315525.0,757736.0,553491.0,3.0,6680347.0,11.342764080967653
13269,Kyrgyzstan,KGZ,2021-09-17,1327177.0,762691.0,560146.0,2.0,6680347.0,11.4169368746863
13270,Kyrgyzstan,KGZ,2021-09-18,1331001.0,764781.0,561853.0,3.0,6680347.0,11.448222674660466
13271,Kyrgyzstan,KGZ,2021-09-19,1338921.0,768526.0,565989.0,2.0,6680347.0,11.504282636815127
13272,Kyrgyzstan,KGZ,2021-09-20,1350457.0,774616.0,571416.0,2.0,6680347.0,11.59544556592644
13273,Kyrgyzstan,KGZ,2021-09-21,1361717.0,780874.0,576364.0,2.0,6680347.0,11.689123334461517
13274,Kyrgyzstan,KGZ,2021-09-22,1375815.0,788761.0,582500.0,3.0,6680347.0,11.8071860638377
13275,Kyrgyzstan,KGZ,2021-09-23,1392427.0,798451.0,589382.0,0.0,6680347.0,11.95223840917246
13276,Kyrgyzstan,KGZ,2021-09-24,1398986.0,801883.0,592459.0,2.0,6680347.0,12.003612985972135
13277,Kyrgyzstan,KGZ,2021-09-25,1401008.0,803094.0,593266.0,2.0,6680347.0,12.021740786818409
13278,Kyrgyzstan,KGZ,2021-09-26,1411946.0,808701.0,598510.0,1.0,6680347.0,12.105673552586415
13279,Kyrgyzstan,KGZ,2021-09-27,1422970.0,813844.0,604331.0,2.0,6680347.0,12.182660571374509
13280,Kyrgyzstan,KGZ,2021-09-28,1436823.0,820666.0,611281.0,2.0,6680347.0,12.284781015117927
13281,Kyrgyzstan,KGZ,2021-09-29,1448417.0,826560.0,616944.0,1.0,6680347.0,12.373009964901525
13282,Kyrgyzstan,KGZ,2021-09-30,1459330.0,832011.0,622326.0,2.0,6680347.0,12.45460752263318
13283,Kyrgyzstan,KGZ,2021-10-01,1466222.0,835334.0,625868.0,0.0,6680347.0,12.504350447663873
13284,Kyrgyzstan,KGZ,2021-10-02,1468307.0,836331.0,626952.0,0.0,6680347.0,12.519274822101304
13285,Kyrgyzstan,KGZ,2021-10-03,1471891.0,837915.0,633059.0,0.0,6680347.0,12.54298616523962
13286,Kyrgyzstan,KGZ,2021-10-04,1481916.0,843173.0,637740.0,1.0,6680347.0,12.62169465149041
13287,Kyrgyzstan,KGZ,2021-10-05,1492885.0,849204.0,642588.0,2.0,6680347.0,12.711974392946955
13288,Kyrgyzstan,KGZ,2021-10-06,1502331.0,854601.0,646554.0,2.0,6680347.0,12.79276360943526
13289,Kyrgyzstan,KGZ,2021-10-07,1513833.0,861385.0,651176.0,2.0,6680347.0,12.89431522045187
13290,Kyrgyzstan,KGZ,2021-10-08,1524280.0,867988.0,654983.0,2.0,6680347.0,12.993157391375027
13291,Kyrgyzstan,KGZ,2021-10-09,1527504.0,870147.0,656041.0,2.0,6680347.0,13.025476071826805
13292,Kyrgyzstan,KGZ,2021-10-10,1534397.0,873990.0,659063.0,1.0,6680347.0,13.083003023645327
13293,Kyrgyzstan,KGZ,2021-10-11,1545233.0,880003.0,663856.0,1.0,6680347.0,13.173013318020756
13294,Kyrgyzstan,KGZ,2021-10-12,1556599.0,886280.0,668881.0,2.0,6680347.0,13.266975502919236
13295,Kyrgyzstan,KGZ,2021-10-13,1565476.0,890868.0,673105.0,2.0,6680347.0,13.335654570039553
13296,Kyrgyzstan,KGZ,2021-10-14,1578215.0,897838.0,678770.0,3.0,6680347.0,13.439990467561042
13297,Kyrgyzstan,KGZ,2021-10-15,1589664.0,904187.0,683762.0,2.0,6680347.0,13.535030440783991
13298,Kyrgyzstan,KGZ,2021-10-16,1592816.0,906083.0,685013.0,3.0,6680347.0,13.563412199995
13299,Kyrgyzstan,KGZ,2021-10-17,1597895.0,908652.0,687496.0,2.0,6680347.0,13.601868286183338
13300,Kyrgyzstan,KGZ,2021-10-18,1612242.0,916055.0,694374.0,2.0,6680347.0,13.712685882933927
13301,Kyrgyzstan,KGZ,2021-10-19,1630706.0,926704.0,702130.0,2.0,6680347.0,13.872093769979315
13302,Kyrgyzstan,KGZ,2021-10-20,1637317.0,930260.0,705161.0,3.0,6680347.0,13.925324537782245
13303,Kyrgyzstan,KGZ,2021-10-21,1648169.0,936539.0,709695.0,2.0,6680347.0,14.019316661245293
13304,Kyrgyzstan,KGZ,2021-10-22,1656272.0,941483.0,712861.0,4.0,6680347.0,14.093324792858816
13305,Kyrgyzstan,KGZ,2021-10-23,1661058.0,944443.0,714684.0,3.0,6680347.0,14.137633868420307
13306,Kyrgyzstan,KGZ,2021-10-24,1667139.0,947865.0,717333.0,3.0,6680347.0,14.188858752397143
13307,Kyrgyzstan,KGZ,2021-10-25,1677709.0,953834.0,721857.0,2.0,6680347.0,14.278210398352062
13308,Kyrgyzstan,KGZ,2021-10-26,1689000.0,959578.0,727325.0,3.0,6680347.0,14.364193955793016
13309,Kyrgyzstan,KGZ,2021-10-27,1701405.0,965983.0,733235.0,3.0,6680347.0,14.460072208823881
13310,Kyrgyzstan,KGZ,2021-10-28,1715814.0,971686.0,741708.0,3.0,6680347.0,14.54544202569118
13311,Kyrgyzstan,KGZ,2021-10-29,1726706.0,976951.0,747206.0,2.0,6680347.0,14.62425529691796
13312,Kyrgyzstan,KGZ,2021-10-30,1728970.0,978171.0,748241.0,2.0,6680347.0,14.64251782130479
13313,Kyrgyzstan,KGZ,2021-10-31,1741064.0,983749.0,754624.0,3.0,6680347.0,14.726016477886553
13314,Kyrgyzstan,KGZ,2021-11-01,1748032.0,987156.0,758105.0,1.0,6680347.0,14.777016822629125
13315,Kyrgyzstan,KGZ,2021-11-02,1763182.0,994230.0,766044.0,2.0,6680347.0,14.882909525508179
13316,Kyrgyzstan,KGZ,2021-11-03,1773825.0,999583.0,771259.0,2.0,6680347.0,14.963040093575973
13317,Kyrgyzstan,KGZ,2021-11-04,1783376.0,1004619.0,775733.0,3.0,6680347.0,15.038425399159653
13318,Kyrgyzstan,KGZ,2021-11-05,1796721.0,1011314.0,782306.0,2.0,6680347.0,15.138644744052966
13319,Kyrgyzstan,KGZ,2021-11-06,1799656.0,1013023.0,783529.0,2.0,6680347.0,15.164227247476814
13320,Kyrgyzstan,KGZ,2021-11-07,1802325.0,1014402.0,784804.0,3.0,6680347.0,15.18486988774685
13321,Kyrgyzstan,KGZ,2021-11-08,1805684.0,1016027.0,786516.0,3.0,6680347.0,15.209194971458814
13322,Kyrgyzstan,KGZ,2021-11-09,1814268.0,1019349.0,791656.0,2.0,6680347.0,15.258922927207225
13323,Kyrgyzstan,KGZ,2021-11-10,1824110.0,1023628.0,797145.0,3.0,6680347.0,15.322976486101696
13324,Kyrgyzstan,KGZ,2021-11-11,1843471.0,1032510.0,807353.0,3.0,6680347.0,15.455933651350744
13325,Kyrgyzstan,KGZ,2021-11-12,1854174.0,1037598.0,812885.0,2.0,6680347.0,15.532097359613207
13326,Kyrgyzstan,KGZ,2021-11-13,1855319.0,1038142.0,813479.0,3.0,6680347.0,15.540240649175859
13327,Kyrgyzstan,KGZ,2021-11-14,1863966.0,1042048.0,818092.0,2.0,6680347.0,15.598710665778288
13328,Kyrgyzstan,KGZ,2021-11-15,1875978.0,1047579.0,824488.0,3.0,6680347.0,15.681505766092695
13329,Kyrgyzstan,KGZ,2021-11-16,1888577.0,1053547.0,830996.0,3.0,6680347.0,15.770842442765325
13330,Kyrgyzstan,KGZ,2021-11-17,1900478.0,1059306.0,837060.0,2.0,6680347.0,15.85705053944054
13331,Kyrgyzstan,KGZ,2021-11-18,1907574.0,1063125.0,840277.0,3.0,6680347.0,15.91421822848424
13332,Kyrgyzstan,KGZ,2021-11-19,1920885.0,1070060.0,846540.0,3.0,6680347.0,16.01803020112578
13333,Kyrgyzstan,KGZ,2021-11-20,1922780.0,1071066.0,847420.0,2.0,6680347.0,16.033089299103775
13334,Kyrgyzstan,KGZ,2021-11-21,1934226.0,1076385.0,853367.0,3.0,6680347.0,16.112710911573902
13335,Kyrgyzstan,KGZ,2021-11-22,1945695.0,1081645.0,859539.0,4.0,6680347.0,16.19144933638926
13336,Kyrgyzstan,KGZ,2021-11-23,1958801.0,1088090.0,866084.0,2.0,6680347.0,16.287926360711502
13337,Kyrgyzstan,KGZ,2021-11-24,1966408.0,1091411.0,870255.0,3.0,6680347.0,16.337639347177625
13338,Kyrgyzstan,KGZ,2021-11-25,1981920.0,1098795.0,878229.0,2.0,6680347.0,16.44817252756481
13339,Kyrgyzstan,KGZ,2021-11-26,1986976.0,1101015.0,880993.0,3.0,6680347.0,16.48140433423593
13340,Kyrgyzstan,KGZ,2021-11-27,1991733.0,1103737.0,883003.0,3.0,6680347.0,16.522150720613766
13341,Kyrgyzstan,KGZ,2021-11-29,2011747.0,1114927.0,891186.0,2.0,6680347.0,16.689656989374953
13342,Kyrgyzstan,KGZ,2021-11-30,2021768.0,1120234.0,895200.0,3.0,6680347.0,16.76909897045767
13343,Kyrgyzstan,KGZ,2021-12-01,2033611.0,1126276.0,900435.0,3.0,6680347.0,16.859543374019342
13344,Kyrgyzstan,KGZ,2021-12-02,2043745.0,1131231.0,904839.0,3.0,6680347.0,16.933716167737995
13345,Kyrgyzstan,KGZ,2021-12-03,2051501.0,1135054.0,908079.0,3.0,6680347.0,16.99094373391083
13346,Kyrgyzstan,KGZ,2021-12-05,2056269.0,1137694.0,914026.0,1.0,6680347.0,17.03046263914135
13347,Kyrgyzstan,KGZ,2021-12-06,2066076.0,1142019.0,918900.0,2.0,6680347.0,17.095204785020893
13348,Kyrgyzstan,KGZ,2021-12-07,2074950.0,1146191.0,922951.0,2.0,6680347.0,17.15765663071095
13349,Kyrgyzstan,KGZ,2021-12-08,2086909.0,1152114.0,928399.0,0.0,6680347.0,17.246319689680792
13350,Kyrgyzstan,KGZ,2021-12-09,2092761.0,1154666.0,931230.0,2.0,6680347.0,17.284521298070295
13351,Kyrgyzstan,KGZ,2021-12-10,2103942.0,1160051.0,936109.0,2.0,6680347.0,17.36513088317119
13352,Kyrgyzstan,KGZ,2021-12-11,2105537.0,1160863.0,936814.0,2.0,6680347.0,17.377285940386027
13353,Kyrgyzstan,KGZ,2021-12-12,2112639.0,1163928.0,940341.0,2.0,6680347.0,17.423166790587373
13354,Kyrgyzstan,KGZ,2021-12-13,2125262.0,1169585.0,946238.0,0.0,6680347.0,17.507848020469595
