,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
13362,Lao People's Democratic Republic,LAO,2021-04-14,135849.0,105568.0,30281.0,0.0,7430981.0,1.4206468836348791
13363,Lao People's Democratic Republic,LAO,2021-04-19,137026.0,106105.0,30921.0,0.0,7430981.0,1.4278733857615835
13364,Lao People's Democratic Republic,LAO,2021-04-21,151175.0,108501.0,42674.0,0.0,7430981.0,1.4601167732766374
13365,Lao People's Democratic Republic,LAO,2021-04-22,156818.0,109706.0,47112.0,0.0,7430981.0,1.4763326672481063
13366,Lao People's Democratic Republic,LAO,2021-04-24,179525.0,122310.0,57215.0,0.0,7430981.0,1.6459468810376447
13367,Lao People's Democratic Republic,LAO,2021-04-25,183678.0,125363.0,58315.0,0.0,7430981.0,1.6870316314898397
13368,Lao People's Democratic Republic,LAO,2021-04-26,184387.0,126072.0,58315.0,0.0,7430981.0,1.6965727674448368
13369,Lao People's Democratic Republic,LAO,2021-05-10,488473.0,405200.0,83273.0,1.0,7430981.0,5.452846669908052
13370,Lao People's Democratic Republic,LAO,2021-05-14,563466.0,474983.0,88483.0,0.0,7430981.0,6.391928602697276
13371,Lao People's Democratic Republic,LAO,2021-05-15,582747.0,493481.0,89266.0,1.0,7430981.0,6.640859396626098
13372,Lao People's Democratic Republic,LAO,2021-05-17,623577.0,533172.0,90405.0,0.0,7430981.0,7.174988066851469
13373,Lao People's Democratic Republic,LAO,2021-05-18,634714.0,542132.0,92582.0,0.0,7430981.0,7.295564340697412
13374,Lao People's Democratic Republic,LAO,2021-05-19,649006.0,553612.0,95394.0,0.0,7430981.0,7.450052691562528
13375,Lao People's Democratic Republic,LAO,2021-05-20,669259.0,568233.0,101026.0,0.0,7430981.0,7.646810024140824
13376,Lao People's Democratic Republic,LAO,2021-05-21,690266.0,584532.0,105734.0,0.0,7430981.0,7.866148493718393
13377,Lao People's Democratic Republic,LAO,2021-05-22,728918.0,602669.0,126249.0,0.0,7430981.0,8.110221248042485
13378,Lao People's Democratic Republic,LAO,2021-05-23,728918.0,602669.0,126249.0,0.0,7430981.0,8.110221248042485
13379,Lao People's Democratic Republic,LAO,2021-05-26,750783.0,614566.0,136217.0,0.0,7430981.0,8.270321240223867
13380,Lao People's Democratic Republic,LAO,2021-05-31,865694.0,638377.0,227317.0,0.0,7430981.0,8.590749996534777
13381,Lao People's Democratic Republic,LAO,2021-06-01,902456.0,662521.0,239935.0,0.0,7430981.0,8.915659991594648
13382,Lao People's Democratic Republic,LAO,2021-06-02,914014.0,664661.0,249353.0,0.0,7430981.0,8.944458342714105
13383,Lao People's Democratic Republic,LAO,2021-06-03,933505.0,667657.0,265848.0,0.0,7430981.0,8.984776034281342
13384,Lao People's Democratic Republic,LAO,2021-06-04,957785.0,674311.0,283474.0,0.0,7430981.0,9.07432006622006
13385,Lao People's Democratic Republic,LAO,2021-06-05,982253.0,679729.0,302524.0,0.0,7430981.0,9.147231031811275
13386,Lao People's Democratic Republic,LAO,2021-06-06,993659.0,683354.0,310305.0,0.0,7430981.0,9.196013285459887
13387,Lao People's Democratic Republic,LAO,2021-06-07,1000196.0,686794.0,313402.0,0.0,7430981.0,9.24230596202574
13388,Lao People's Democratic Republic,LAO,2021-06-08,1017620.0,691381.0,326239.0,0.0,7430981.0,9.304034016504684
13389,Lao People's Democratic Republic,LAO,2021-06-09,1034588.0,694374.0,340214.0,0.0,7430981.0,9.34431133655166
13390,Lao People's Democratic Republic,LAO,2021-06-10,1054356.0,698503.0,355853.0,0.0,7430981.0,9.399876005604105
13391,Lao People's Democratic Republic,LAO,2021-06-11,1079903.0,708652.0,371251.0,0.0,7430981.0,9.536452858646793
