,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
13431,Latvia,LVA,2021-01-01,2339.0,2338.0,1.0,9.0,1857389.0,0.1258756243307137
13432,Latvia,LVA,2021-01-02,2341.0,2340.0,1.0,9.0,1857389.0,0.12598330236692476
13433,Latvia,LVA,2021-01-03,2345.0,2344.0,1.0,24.0,1857389.0,0.12619865843934686
13434,Latvia,LVA,2021-01-04,3053.0,3052.0,2.0,12.0,1857389.0,0.1643166832580574
13435,Latvia,LVA,2021-01-05,3950.0,3949.0,2.0,12.0,1857389.0,0.2126102824987119
13436,Latvia,LVA,2021-01-06,4734.0,4730.0,5.0,30.0,1857389.0,0.2546585556391257
13437,Latvia,LVA,2021-01-07,5547.0,5543.0,5.0,32.0,1857389.0,0.2984296773589162
13438,Latvia,LVA,2021-01-08,6467.0,6459.0,9.0,36.0,1857389.0,0.34774621794357563
13439,Latvia,LVA,2021-01-09,6778.0,6770.0,9.0,11.0,1857389.0,0.3644901525743934
13440,Latvia,LVA,2021-01-10,7115.0,7106.0,10.0,17.0,1857389.0,0.3825800626578493
13441,Latvia,LVA,2021-01-11,8492.0,8483.0,10.0,31.0,1857389.0,0.456716390589155
13442,Latvia,LVA,2021-01-12,10132.0,10120.0,13.0,15.0,1857389.0,0.5448508632278968
13443,Latvia,LVA,2021-01-13,11656.0,11638.0,19.0,18.0,1857389.0,0.6265784927120813
13444,Latvia,LVA,2021-01-14,13501.0,13478.0,24.0,27.0,1857389.0,0.7256422860262444
13445,Latvia,LVA,2021-01-15,15382.0,15359.0,24.0,11.0,1857389.0,0.8269134790827338
13446,Latvia,LVA,2021-01-16,16058.0,16034.0,25.0,15.0,1857389.0,0.8632548163039622
13447,Latvia,LVA,2021-01-17,16185.0,16156.0,30.0,26.0,1857389.0,0.8698231765128359
13448,Latvia,LVA,2021-01-18,17045.0,16433.0,613.0,17.0,1857389.0,0.8847365845280661
13449,Latvia,LVA,2021-01-19,17934.0,16513.0,1422.0,5.0,1857389.0,0.889043705976508
13450,Latvia,LVA,2021-01-20,18725.0,16543.0,2183.0,29.0,1857389.0,0.8906588765196736
13451,Latvia,LVA,2021-01-21,19020.0,16817.0,2204.0,20.0,1857389.0,0.9054107674805868
13452,Latvia,LVA,2021-01-22,19252.0,17026.0,2227.0,25.0,1857389.0,0.9166631222646412
13453,Latvia,LVA,2021-01-23,19388.0,17160.0,2229.0,19.0,1857389.0,0.9238775506907816
13454,Latvia,LVA,2021-01-24,19393.0,17160.0,2234.0,21.0,1857389.0,0.9238775506907816
13455,Latvia,LVA,2021-01-25,20075.0,17189.0,2887.0,14.0,1857389.0,0.9254388822158416
13456,Latvia,LVA,2021-01-26,20947.0,17231.0,3717.0,3.0,1857389.0,0.9277001209762736
13457,Latvia,LVA,2021-01-27,21783.0,17317.0,4467.0,12.0,1857389.0,0.9323302765333488
13458,Latvia,LVA,2021-01-28,22579.0,17356.0,5225.0,12.0,1857389.0,0.9344299982394642
13459,Latvia,LVA,2021-01-29,23548.0,17412.0,6138.0,10.0,1857389.0,0.9374449832533734
13460,Latvia,LVA,2021-01-30,23869.0,17425.0,6446.0,18.0,1857389.0,0.9381448904887452
13461,Latvia,LVA,2021-01-31,24219.0,17437.0,6784.0,14.0,1857389.0,0.9387909587060116
13462,Latvia,LVA,2021-02-01,25416.0,17458.0,7960.0,15.0,1857389.0,0.9399215780862274
13463,Latvia,LVA,2021-02-02,27246.0,17607.0,9641.0,7.0,1857389.0,0.9479435917839504
13464,Latvia,LVA,2021-02-03,28883.0,17862.0,11023.0,17.0,1857389.0,0.9616725414008588
13465,Latvia,LVA,2021-02-04,30399.0,18009.0,12392.0,31.0,1857389.0,0.9695868770623708
13466,Latvia,LVA,2021-02-05,32076.0,18177.0,13901.0,31.0,1857389.0,0.9786318321040988
13467,Latvia,LVA,2021-02-06,32655.0,18194.0,14463.0,28.0,1857389.0,0.9795470954118928
13468,Latvia,LVA,2021-02-07,32788.0,18203.0,14588.0,18.0,1857389.0,0.9800316465748424
13469,Latvia,LVA,2021-02-08,33210.0,18466.0,14747.0,12.0,1857389.0,0.9941913083365952
13470,Latvia,LVA,2021-02-09,33404.0,18611.0,14796.0,8.0,1857389.0,1.001997965961896
13471,Latvia,LVA,2021-02-10,34059.0,19059.0,15003.0,16.0,1857389.0,1.0261178460731704
13472,Latvia,LVA,2021-02-11,35865.0,20174.0,15694.0,32.0,1857389.0,1.0861483512608292
13473,Latvia,LVA,2021-02-12,37618.0,21363.0,16258.0,21.0,1857389.0,1.1501629437882963
13474,Latvia,LVA,2021-02-13,38027.0,21593.0,16437.0,15.0,1857389.0,1.1625459179525668
13475,Latvia,LVA,2021-02-14,38058.0,21602.0,16460.0,12.0,1857389.0,1.1630304691155164
