,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
14068,Liberia,LBR,2021-06-08,63802.0,63662.0,140.0,2.0,5242114.0,1.2144337189156893
14069,Liberia,LBR,2021-06-10,64129.0,63662.0,467.0,0.0,5242114.0,1.2144337189156893
14070,Liberia,LBR,2021-06-14,65590.0,65097.0,493.0,0.0,5242114.0,1.24180817128357
14071,Liberia,LBR,2021-06-15,67437.0,66884.0,553.0,0.0,5242114.0,1.2758974718977878
14072,Liberia,LBR,2021-06-20,68821.0,68134.0,687.0,0.0,5242114.0,1.299742813681656
14073,Liberia,LBR,2021-06-24,76642.0,74372.0,2270.0,11.0,5242114.0,1.4187406073198714
14074,Liberia,LBR,2021-06-28,82212.0,79670.0,2542.0,7.0,5242114.0,1.519806703936618
14075,Liberia,LBR,2021-10-06,93617.0,84482.0,9135.0,0.0,5242114.0,1.6116017316677964
14076,Liberia,LBR,2021-10-21,349837.0,262220.0,242632.0,1.0,5242114.0,5.002180418052717
14077,Liberia,LBR,2021-10-29,409014.0,327381.0,313317.0,0.0,5242114.0,6.24520947083562
14078,Liberia,LBR,2021-10-31,438430.0,365900.0,344837.0,0.0,5242114.0,6.980008446973872
14079,Liberia,LBR,2021-11-02,438563.0,393975.0,371645.0,0.0,5242114.0,7.51557482343955
14080,Liberia,LBR,2021-11-18,589628.0,494052.0,456623.0,0.0,5242114.0,9.424671039202886
14081,Liberia,LBR,2021-11-30,597913.0,506647.0,476276.0,0.0,5242114.0,9.664936703017142
14082,Liberia,LBR,2021-12-08,605863.0,605468.0,575654.0,0.0,5242114.0,11.550073119356046
14083,Liberia,LBR,2021-12-15,880313.0,784838.0,755263.0,0.0,5242114.0,14.971784283973985
