,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
15010,Malaysia,MYS,2021-02-24,64.0,61.0,3.0,14.0,32980115.0,0.00018495993722277804
15011,Malaysia,MYS,2021-02-25,1213.0,1208.0,5.0,12.0,32980115.0,0.003662813183034686
15012,Malaysia,MYS,2021-02-26,5275.0,5267.0,8.0,12.0,32980115.0,0.01597022933364544
15013,Malaysia,MYS,2021-02-27,11974.0,11960.0,14.0,11.0,32980115.0,0.03626427621613812
15014,Malaysia,MYS,2021-02-28,18687.0,18668.0,19.0,10.0,32980115.0,0.05660380505040689
15015,Malaysia,MYS,2021-03-01,34078.0,34053.0,25.0,9.0,32980115.0,0.10325312692208624
15016,Malaysia,MYS,2021-03-02,55764.0,55734.0,30.0,5.0,32980115.0,0.168992740019251
15017,Malaysia,MYS,2021-03-03,78454.0,78418.0,36.0,6.0,32980115.0,0.2377735796251772
15018,Malaysia,MYS,2021-03-04,98006.0,97958.0,48.0,7.0,32980115.0,0.2970214021388343
15019,Malaysia,MYS,2021-03-05,112376.0,112321.0,55.0,5.0,32980115.0,0.3405718870295025
15020,Malaysia,MYS,2021-03-06,128169.0,128111.0,58.0,6.0,32980115.0,0.3884492215991364
15021,Malaysia,MYS,2021-03-07,140743.0,140679.0,64.0,7.0,32980115.0,0.42655703292726543
15022,Malaysia,MYS,2021-03-08,167951.0,167873.0,78.0,3.0,32980115.0,0.5090127793672035
15023,Malaysia,MYS,2021-03-09,198075.0,197935.0,140.0,8.0,32980115.0,0.6001646749867307
15024,Malaysia,MYS,2021-03-10,226854.0,226703.0,151.0,9.0,32980115.0,0.6873929942330401
15025,Malaysia,MYS,2021-03-11,253370.0,253215.0,159.0,5.0,32980115.0,0.7677808279322252
15026,Malaysia,MYS,2021-03-12,279494.0,279330.0,168.0,9.0,32980115.0,0.846964905974403
15027,Malaysia,MYS,2021-03-13,296548.0,296382.0,170.0,3.0,32980115.0,0.8986687887534656
15028,Malaysia,MYS,2021-03-14,306853.0,306683.0,174.0,3.0,32980115.0,0.9299027611031678
15029,Malaysia,MYS,2021-03-15,327026.0,326853.0,177.0,4.0,32980115.0,0.9910608255914208
15030,Malaysia,MYS,2021-03-16,352386.0,352207.0,183.0,3.0,32980115.0,1.0679374526134915
15031,Malaysia,MYS,2021-03-17,373241.0,372999.0,246.0,5.0,32980115.0,1.130981502035393
15032,Malaysia,MYS,2021-03-18,391350.0,390311.0,1043.0,2.0,32980115.0,1.1834737386452414
15033,Malaysia,MYS,2021-03-19,405924.0,401052.0,4876.0,3.0,32980115.0,1.2160418482470423
15034,Malaysia,MYS,2021-03-20,419729.0,408754.0,10979.0,2.0,32980115.0,1.2393953144190066
15035,Malaysia,MYS,2021-03-21,435278.0,418464.0,16818.0,4.0,32980115.0,1.268837297868731
15036,Malaysia,MYS,2021-03-22,459572.0,428182.0,31394.0,4.0,32980115.0,1.2983035383594024
15037,Malaysia,MYS,2021-03-23,488748.0,436486.0,52266.0,5.0,32980115.0,1.323482346862647
15038,Malaysia,MYS,2021-03-24,517854.0,442773.0,75085.0,6.0,32980115.0,1.3425453489170671
15039,Malaysia,MYS,2021-03-25,543650.0,449204.0,94450.0,2.0,32980115.0,1.3620449777085373
15040,Malaysia,MYS,2021-03-26,560344.0,453134.0,107214.0,2.0,32980115.0,1.3739612490738735
15041,Malaysia,MYS,2021-03-27,576483.0,454841.0,121646.0,1.0,32980115.0,1.3791370951859931
15042,Malaysia,MYS,2021-03-28,593075.0,458521.0,134558.0,2.0,32980115.0,1.3902953340217281
15043,Malaysia,MYS,2021-03-29,628306.0,466382.0,161928.0,4.0,32980115.0,1.414130908882519
15044,Malaysia,MYS,2021-03-30,669228.0,477898.0,191334.0,5.0,32980115.0,1.449048919326085
15045,Malaysia,MYS,2021-03-31,706675.0,487828.0,218851.0,5.0,32980115.0,1.4791579714018583
15046,Malaysia,MYS,2021-04-01,749105.0,503704.0,245405.0,7.0,32980115.0,1.5272960691616753
15047,Malaysia,MYS,2021-04-02,779585.0,511282.0,268307.0,6.0,32980115.0,1.5502735511989572
15048,Malaysia,MYS,2021-04-03,796988.0,513942.0,283050.0,5.0,32980115.0,1.5583390173139178
15049,Malaysia,MYS,2021-04-04,812093.0,519893.0,292204.0,3.0,32980115.0,1.576383223648553
15050,Malaysia,MYS,2021-04-05,840583.0,529090.0,311497.0,2.0,32980115.0,1.6042697243475348
15051,Malaysia,MYS,2021-04-06,873174.0,540098.0,333080.0,7.0,32980115.0,1.6376474126909502
15052,Malaysia,MYS,2021-04-07,904189.0,552794.0,351399.0,5.0,32980115.0,1.6761433366742355
15053,Malaysia,MYS,2021-04-08,931084.0,564883.0,366205.0,4.0,32980115.0,1.7127987576756483
15054,Malaysia,MYS,2021-04-09,952701.0,572108.0,380597.0,4.0,32980115.0,1.7347058977811327
15055,Malaysia,MYS,2021-04-10,968439.0,577779.0,390664.0,5.0,32980115.0,1.7519011076826143
15056,Malaysia,MYS,2021-04-11,991629.0,590255.0,401378.0,8.0,32980115.0,1.78972996303985
15057,Malaysia,MYS,2021-04-12,1030947.0,615617.0,415334.0,8.0,32980115.0,1.866630847102868
15058,Malaysia,MYS,2021-04-13,1055463.0,632434.0,423033.0,4.0,32980115.0,1.917622179304105
15059,Malaysia,MYS,2021-04-14,1084154.0,653375.0,430783.0,12.0,32980115.0,1.9811180161136492
15060,Malaysia,MYS,2021-04-15,1111421.0,671475.0,439950.0,8.0,32980115.0,2.0359995712568013
15061,Malaysia,MYS,2021-04-16,1130971.0,687103.0,443872.0,10.0,32980115.0,2.0833857007472534
15062,Malaysia,MYS,2021-04-17,1140654.0,695674.0,444984.0,2.0,32980115.0,2.109374087992113
15063,Malaysia,MYS,2021-04-18,1150509.0,701766.0,448747.0,5.0,32980115.0,2.1278458246734435
15064,Malaysia,MYS,2021-04-19,1183658.0,726431.0,457231.0,8.0,32980115.0,2.2026333140439323
15065,Malaysia,MYS,2021-04-20,1217023.0,748514.0,468513.0,8.0,32980115.0,2.2695918434486964
15066,Malaysia,MYS,2021-04-21,1244713.0,764337.0,480380.0,3.0,32980115.0,2.3175692383122377
