,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
15893,Mauritania,MRT,2021-05-21,25741.0,19468.0,6273.0,0.0,4837949.0,0.4024019269322599
15894,Mauritania,MRT,2021-05-23,28382.0,22109.0,6273.0,0.0,4837949.0,0.456991175392713
15895,Mauritania,MRT,2021-05-26,28770.0,22360.0,6410.0,0.0,4837949.0,0.4621793243376479
15896,Mauritania,MRT,2021-05-31,37331.0,30561.0,6770.0,0.0,4837949.0,0.6316933063990546
15897,Mauritania,MRT,2021-06-10,44628.0,37726.0,6902.0,0.0,4837949.0,0.7797932553650317
15898,Mauritania,MRT,2021-06-14,46703.0,39801.0,6902.0,0.0,4837949.0,0.8226833313042365
15899,Mauritania,MRT,2021-06-15,49235.0,42333.0,6902.0,1.0,4837949.0,0.8750195589081241
15900,Mauritania,MRT,2021-06-23,142362.0,135460.0,6902.0,1.0,4837949.0,2.799946836975752
15901,Mauritania,MRT,2021-06-30,161082.0,152224.0,8858.0,0.0,4837949.0,3.146457310732296
15902,Mauritania,MRT,2021-07-05,171733.0,160481.0,11252.0,0.0,4837949.0,3.317128808096158
15903,Mauritania,MRT,2021-07-07,174628.0,163150.0,11478.0,0.0,4837949.0,3.372296814207839
15904,Mauritania,MRT,2021-07-12,176337.0,164213.0,12124.0,1.0,4837949.0,3.394268935038381
15905,Mauritania,MRT,2021-07-13,178928.0,166277.0,12651.0,0.0,4837949.0,3.4369316419003177
15906,Mauritania,MRT,2021-07-15,182642.0,169595.0,13047.0,3.0,4837949.0,3.5055144235708147
15907,Mauritania,MRT,2021-07-19,189076.0,174957.0,14119.0,1.0,4837949.0,3.616346513780943
15908,Mauritania,MRT,2021-07-24,190950.0,176294.0,14656.0,3.0,4837949.0,3.6439821916270714
15909,Mauritania,MRT,2021-07-26,192094.0,177259.0,14835.0,7.0,4837949.0,3.663928660678317
15910,Mauritania,MRT,2021-07-29,193776.0,178483.0,15293.0,5.0,4837949.0,3.689228638003418
15911,Mauritania,MRT,2021-08-03,219338.0,200929.0,18409.0,4.0,4837949.0,4.15318557512698
15912,Mauritania,MRT,2021-08-05,224000.0,205245.0,18755.0,5.0,4837949.0,4.242396933080527
15913,Mauritania,MRT,2021-08-09,236578.0,215782.0,20796.0,6.0,4837949.0,4.460195839187226
15914,Mauritania,MRT,2021-08-12,242626.0,221081.0,21545.0,4.0,4837949.0,4.569725724682091
15915,Mauritania,MRT,2021-09-09,306666.0,285121.0,21545.0,6.0,4837949.0,5.893427152704586
15916,Mauritania,MRT,2021-10-13,1298995.0,711425.0,587570.0,0.0,4837949.0,14.705095072312668
15917,Mauritania,MRT,2021-10-18,1300831.0,712117.0,588714.0,0.0,4837949.0,14.71939865426444
15918,Mauritania,MRT,2021-10-29,1556245.0,938294.0,617951.0,2.0,4837949.0,19.39445827147
15919,Mauritania,MRT,2021-11-04,1625803.0,1002548.0,623255.0,2.0,4837949.0,20.722583061541158
15920,Mauritania,MRT,2021-11-08,1679943.0,1020381.0,659562.0,0.0,4837949.0,21.09118967562494
15921,Mauritania,MRT,2021-11-10,1683625.0,1023425.0,660200.0,3.0,4837949.0,21.15410890027985
15922,Mauritania,MRT,2021-11-11,1694010.0,1030659.0,663351.0,0.0,4837949.0,21.303635073457784
15923,Mauritania,MRT,2021-11-15,1705013.0,1030659.0,663351.0,0.0,4837949.0,21.303635073457784
15924,Mauritania,MRT,2021-11-18,1715120.0,1046262.0,668858.0,3.0,4837949.0,21.626147774604487
15925,Mauritania,MRT,2021-11-22,1725899.0,1054378.0,671521.0,2.0,4837949.0,21.793904813796097
15926,Mauritania,MRT,2021-11-24,1734046.0,1060233.0,673813.0,1.0,4837949.0,21.91492717265105
15927,Mauritania,MRT,2021-12-02,1759659.0,1075584.0,684075.0,3.0,4837949.0,22.232231054936708
15928,Mauritania,MRT,2021-12-06,1782657.0,1088628.0,694029.0,2.0,4837949.0,22.501849440744415
15929,Mauritania,MRT,2021-12-08,1795467.0,1097581.0,697886.0,2.0,4837949.0,22.686907199724512
15930,Mauritania,MRT,2021-12-13,1812604.0,1106694.0,705910.0,0.0,4837949.0,22.875272145283052
15931,Mauritania,MRT,2021-12-15,1814988.0,1107814.0,707174.0,2.0,4837949.0,22.898422451332173
15932,Mauritania,MRT,2021-12-16,1820362.0,1110533.0,709829.0,0.0,4837949.0,22.95462395324961
15933,Mauritania,MRT,2021-12-17,1824139.0,1112438.0,711701.0,0.0,4837949.0,22.994000143449217
15934,Mauritania,MRT,2021-12-23,1838424.0,1117799.0,720625.0,2.0,4837949.0,23.10481156374323
