,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
15962,Mexico,MEX,2021-01-15,417375.0,415417.0,1958.0,1236.0,130930379.0,0.3172808351834069
15963,Mexico,MEX,2021-01-16,463246.0,461025.0,2221.0,1262.0,130930379.0,0.3521146150504918
15964,Mexico,MEX,2021-01-17,472142.0,468708.0,3434.0,1300.0,130930379.0,0.3579826191444844
15965,Mexico,MEX,2021-01-18,492529.0,485983.0,6546.0,1280.0,130930379.0,0.37117665412088974
15966,Mexico,MEX,2021-01-19,498122.0,488513.0,9609.0,1387.0,130930379.0,0.3731089787802416
15967,Mexico,MEX,2021-01-20,501030.0,489628.0,11402.0,1395.0,130930379.0,0.373960576406794
15968,Mexico,MEX,2021-01-21,552335.0,534317.0,18018.0,1429.0,130930379.0,0.4080924565260749
15969,Mexico,MEX,2021-01-22,614808.0,594725.0,20083.0,1477.0,130930379.0,0.454229953768025
15970,Mexico,MEX,2021-01-23,618768.0,596296.0,22472.0,1410.0,130930379.0,0.4554298280920733
15971,Mexico,MEX,2021-01-24,629626.0,604441.0,25185.0,1383.0,130930379.0,0.4616506914716867
15972,Mexico,MEX,2021-01-25,645105.0,616390.0,28715.0,1334.0,130930379.0,0.4707769157225154
15973,Mexico,MEX,2021-01-26,652319.0,621005.0,31314.0,1410.0,130930379.0,0.4743016897552859
15974,Mexico,MEX,2021-01-27,656044.0,624730.0,31314.0,1462.0,130930379.0,0.4771467132161895
15975,Mexico,MEX,2021-01-28,657842.0,626528.0,31314.0,1403.0,130930379.0,0.4785199621242981
15976,Mexico,MEX,2021-01-29,662217.0,630820.0,31397.0,1309.0,130930379.0,0.4817980401630091
15977,Mexico,MEX,2021-01-30,670307.0,631298.0,39009.0,1240.0,130930379.0,0.4821631196836297
15978,Mexico,MEX,2021-01-31,673327.0,631485.0,41842.0,1238.0,130930379.0,0.4823059436801906
15979,Mexico,MEX,2021-02-01,675202.0,631747.0,43455.0,1228.0,130930379.0,0.4825060500283132
15980,Mexico,MEX,2021-02-02,677539.0,631791.0,45748.0,1163.0,130930379.0,0.4825396556745627
15981,Mexico,MEX,2021-02-03,686601.0,632439.0,54162.0,1279.0,130930379.0,0.4830345751920568
15982,Mexico,MEX,2021-02-04,695088.0,634346.0,60742.0,1239.0,130930379.0,0.484491074451102
15983,Mexico,MEX,2021-02-05,700316.0,636070.0,64246.0,1143.0,130930379.0,0.4858078047723362
15984,Mexico,MEX,2021-02-06,710198.0,637098.0,73100.0,1073.0,130930379.0,0.4865929548710769
15985,Mexico,MEX,2021-02-07,713517.0,637681.0,75836.0,1031.0,130930379.0,0.4870382296838841
15986,Mexico,MEX,2021-02-08,717820.0,638391.0,79429.0,1037.0,130930379.0,0.4875805026120027
15987,Mexico,MEX,2021-02-10,724707.0,640115.0,84592.0,1062.0,130930379.0,0.488897232933237
15988,Mexico,MEX,2021-02-11,725447.0,640115.0,85332.0,961.0,130930379.0,0.488897232933237
15989,Mexico,MEX,2021-02-12,726002.0,640115.0,85887.0,878.0,130930379.0,0.488897232933237
15990,Mexico,MEX,2021-02-13,726313.0,640125.0,86188.0,911.0,130930379.0,0.4889048705801119
15991,Mexico,MEX,2021-02-15,749682.0,663484.0,86198.0,766.0,130930379.0,0.5067456499152118
15992,Mexico,MEX,2021-02-16,915383.0,829185.0,86198.0,777.0,130930379.0,0.6333022223971413
15993,Mexico,MEX,2021-02-17,1058139.0,958473.0,99666.0,799.0,130930379.0,0.7320478313134646
15994,Mexico,MEX,2021-02-19,1574158.0,1155227.0,418931.0,745.0,130930379.0,0.882321588636049
15995,Mexico,MEX,2021-02-20,1656304.0,1210886.0,445418.0,678.0,130930379.0,0.9248319673771049
15996,Mexico,MEX,2021-02-21,1689158.0,1236103.0,453055.0,715.0,130930379.0,0.944091821501563
15997,Mexico,MEX,2021-02-22,1733404.0,1277187.0,456217.0,611.0,130930379.0,0.9754703299224392
15998,Mexico,MEX,2021-02-23,1801156.0,1336854.0,464302.0,715.0,130930379.0,1.0210418775309589
15999,Mexico,MEX,2021-02-24,1900784.0,1425395.0,475389.0,722.0,130930379.0,1.0886663667260903
16000,Mexico,MEX,2021-02-25,2088813.0,1562401.0,526412.0,603.0,130930379.0,1.1933067115004683
16001,Mexico,MEX,2021-02-26,2271032.0,1708721.0,562311.0,595.0,130930379.0,1.305060760574137
16002,Mexico,MEX,2021-02-27,2383411.0,1818034.0,565377.0,575.0,130930379.0,1.3885501698578295
16003,Mexico,MEX,2021-02-28,2455095.0,1889672.0,565423.0,564.0,130930379.0,1.4432647445403026
16004,Mexico,MEX,2021-03-01,2526863.0,1959525.0,567338.0,581.0,130930379.0,1.4966159992556043
16005,Mexico,MEX,2021-03-02,2583435.0,2012853.0,570582.0,577.0,130930379.0,1.537346042510119
16006,Mexico,MEX,2021-03-03,2633580.0,2043941.0,589639.0,578.0,130930379.0,1.5610899591148362
16007,Mexico,MEX,2021-03-05,2731900.0,2128766.0,603134.0,500.0,130930379.0,1.6258762987312516
16008,Mexico,MEX,2021-03-06,2765805.0,2162358.0,603447.0,506.0,130930379.0,1.651532682113446
16009,Mexico,MEX,2021-03-08,2849630.0,2245291.0,604339.0,475.0,130930379.0,1.7148739789411287
16010,Mexico,MEX,2021-03-09,3100868.0,2495067.0,605801.0,478.0,130930379.0,1.905644067523856
16011,Mexico,MEX,2021-03-10,3488000.0,2882000.0,606000.0,513.0,130930379.0,2.201169829348772
16012,Mexico,MEX,2021-03-12,4005131.0,3395671.0,609460.0,519.0,130930379.0,2.593493600136909
16013,Mexico,MEX,2021-03-13,4214294.0,3604420.0,609874.0,483.0,130930379.0,2.7529287148859467
16014,Mexico,MEX,2021-03-14,4339926.0,3730045.0,609881.0,407.0,130930379.0,2.8488766537519914
16015,Mexico,MEX,2021-03-15,4404608.0,3794719.0,609889.0,421.0,130930379.0,2.8982723711507776
16016,Mexico,MEX,2021-03-17,4737622.0,4110741.0,626881.0,398.0,130930379.0,3.1396388152210273
16017,Mexico,MEX,2021-03-18,4947522.0,4300720.0,646802.0,389.0,130930379.0,3.2847380667858603
16018,Mexico,MEX,2021-03-20,5459014.0,4763347.0,695667.0,371.0,130930379.0,3.638076232865713
16019,Mexico,MEX,2021-03-21,5612291.0,4895523.0,716768.0,378.0,130930379.0,3.739027594199509
16020,Mexico,MEX,2021-03-22,5781359.0,5046896.0,734463.0,349.0,130930379.0,3.8546409462390696
16021,Mexico,MEX,2021-03-24,6119298.0,5351319.0,767979.0,357.0,130930379.0,4.087148483699112
16022,Mexico,MEX,2021-03-25,6243886.0,5460096.0,783790.0,399.0,130930379.0,4.170228515110311
16023,Mexico,MEX,2021-03-26,6487170.0,5675286.0,811884.0,338.0,130930379.0,4.334583038211476
16024,Mexico,MEX,2021-03-27,6724789.0,5901505.0,823284.0,299.0,130930379.0,4.50736112205098
16025,Mexico,MEX,2021-03-29,7018449.0,6167510.0,850939.0,312.0,130930379.0,4.710526347746996
16026,Mexico,MEX,2021-03-31,7851053.0,6905214.0,945839.0,332.0,130930379.0,5.2739586127677835
16027,Mexico,MEX,2021-04-02,8644446.0,7586131.0,1058315.0,305.0,130930379.0,5.794018972480023
16028,Mexico,MEX,2021-04-03,8987190.0,7903660.0,1083530.0,291.0,130930379.0,6.036536409934322
16029,Mexico,MEX,2021-04-04,9036000.0,7924236.0,1111764.0,296.0,130930379.0,6.0522516321441335
16030,Mexico,MEX,2021-04-05,9287405.0,8113230.0,1174175.0,303.0,130930379.0,6.196598575491787
16031,Mexico,MEX,2021-04-06,9675517.0,8372272.0,1303245.0,265.0,130930379.0,6.3944457076688055
16032,Mexico,MEX,2021-04-07,10089420.0,8617038.0,1472382.0,310.0,130930379.0,6.581389335167204
16033,Mexico,MEX,2021-04-08,10642873.0,9232815.0,1664658.0,271.0,130930379.0,7.051698063136286
16034,Mexico,MEX,2021-04-09,10984869.0,9426179.0,1855048.0,297.0,130930379.0,7.199382658168278
16035,Mexico,MEX,2021-04-10,11204183.0,9552933.0,1976517.0,286.0,130930379.0,7.296192887366497
16036,Mexico,MEX,2021-04-11,11395137.0,9673708.0,2069821.0,273.0,130930379.0,7.3884365674982115
16037,Mexico,MEX,2021-04-12,11703164.0,9871026.0,2223846.0,269.0,130930379.0,7.539141088104541
16038,Mexico,MEX,2021-04-13,12407625.0,10310521.0,2632006.0,265.0,130930379.0,7.874811849433353
16039,Mexico,MEX,2021-04-14,12912963.0,10581915.0,2954683.0,252.0,130930379.0,8.08209300303026
16040,Mexico,MEX,2021-04-15,13421708.0,10837356.0,3286908.0,292.0,130930379.0,8.277189818567622
16041,Mexico,MEX,2021-04-16,13978181.0,11067294.0,3681064.0,266.0,130930379.0,8.452808343279905
16042,Mexico,MEX,2021-04-17,14240830.0,11196970.0,3844491.0,277.0,130930379.0,8.551850292894974
16043,Mexico,MEX,2021-04-18,14368074.0,11253761.0,3927307.0,245.0,130930379.0,8.595225253262269
16044,Mexico,MEX,2021-04-19,14571509.0,11288822.0,4111121.0,255.0,130930379.0,8.622003606970388
16045,Mexico,MEX,2021-04-20,15003610.0,11449064.0,4512826.0,206.0,130930379.0,8.744390788023306
16046,Mexico,MEX,2021-04-21,15477517.0,11622868.0,4978670.0,224.0,130930379.0,8.877136145767976
16047,Mexico,MEX,2021-04-22,15874809.0,11807897.0,5347232.0,246.0,130930379.0,9.018454762129727
16048,Mexico,MEX,2021-04-23,16214484.0,11961104.0,5646105.0,223.0,130930379.0,9.135468858606147
16049,Mexico,MEX,2021-04-24,16410034.0,12038498.0,5830079.0,195.0,130930379.0,9.194579662829817
16050,Mexico,MEX,2021-04-25,16501739.0,12054021.0,5917676.0,204.0,130930379.0,9.20643558207374
16051,Mexico,MEX,2021-04-26,16687189.0,12096308.0,6096954.0,208.0,130930379.0,9.238732899413666
16052,Mexico,MEX,2021-04-28,17357993.0,12235767.0,6752282.0,209.0,130930379.0,9.345246758966457
16053,Mexico,MEX,2021-04-29,17718806.0,12354467.0,7100269.0,195.0,130930379.0,9.435905627371627
16054,Mexico,MEX,2021-04-30,18080005.0,12477933.0,7440439.0,193.0,130930379.0,9.53020459827738
16055,Mexico,MEX,2021-05-01,18326726.0,12572997.0,7650150.0,208.0,130930379.0,9.602811124529014
16056,Mexico,MEX,2021-05-02,18471669.0,12625860.0,7792707.0,156.0,130930379.0,9.643186017203844
16057,Mexico,MEX,2021-05-04,19340234.0,12984236.0,8418291.0,187.0,130930379.0,9.916900950848083
16058,Mexico,MEX,2021-05-05,19951121.0,13328238.0,8790655.0,164.0,130930379.0,10.179637530874329
16059,Mexico,MEX,2021-05-06,20540830.0,13715159.0,9092249.0,149.0,130930379.0,10.475154127522996
16060,Mexico,MEX,2021-05-07,21008618.0,14021482.0,9325576.0,170.0,130930379.0,10.709112817889267
16061,Mexico,MEX,2021-05-08,21228359.0,14148207.0,9440251.0,151.0,130930379.0,10.805900897911556
16062,Mexico,MEX,2021-05-09,21300414.0,14176406.0,9486795.0,132.0,130930379.0,10.827438298334107
16063,Mexico,MEX,2021-05-11,21589272.0,14368460.0,9500000.0,148.0,130930379.0,10.974122361625485
16064,Mexico,MEX,2021-05-12,21986456.0,14673682.0,9861173.0,161.0,130930379.0,11.207240147070834
16065,Mexico,MEX,2021-05-13,22413285.0,14996844.0,10108593.0,122.0,130930379.0,11.454059871009767
16066,Mexico,MEX,2021-05-16,23168462.0,15454195.0,10604476.0,130.0,130930379.0,11.80336841459842
16067,Mexico,MEX,2021-05-17,23301884.0,15544106.0,10652500.0,103.0,130930379.0,11.872039261415413
16068,Mexico,MEX,2021-05-19,24223297.0,16173646.0,11131624.0,129.0,130930379.0,12.352859682778432
16069,Mexico,MEX,2021-05-20,24988066.0,16819083.0,11384107.0,130.0,130930379.0,12.845821671378493
16070,Mexico,MEX,2021-05-21,25626413.0,17386061.0,11584756.0,117.0,130930379.0,13.278859446362713
16071,Mexico,MEX,2021-05-22,26148948.0,17858127.0,11720188.0,103.0,130930379.0,13.639406787327788
16072,Mexico,MEX,2021-05-23,26478866.0,18170321.0,11784494.0,99.0,130930379.0,13.877849540174324
16073,Mexico,MEX,2021-05-24,26655760.0,18338034.0,11794554.0,85.0,130930379.0,14.005942807207484
16074,Mexico,MEX,2021-05-25,26953788.0,18610667.0,11832208.0,120.0,130930379.0,14.214170265252195
16075,Mexico,MEX,2021-05-26,27709853.0,19327543.0,11919690.0,109.0,130930379.0,14.76169483936192
16076,Mexico,MEX,2021-05-28,29239997.0,20721248.0,12204779.0,94.0,130930379.0,15.826157503141422
16077,Mexico,MEX,2021-05-29,29861331.0,21259657.0,12320589.0,103.0,130930379.0,16.23737528476871
16078,Mexico,MEX,2021-05-30,30293682.0,21636247.0,12390240.0,99.0,130930379.0,16.525001428430908
