,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
16345,Monaco,MCO,2021-03-04,15612.0,8449.0,7163.0,1.0,39511.0,21.3839184024702
16346,Monaco,MCO,2021-03-19,18081.0,9750.0,8331.0,0.0,39511.0,24.67667231910101
16347,Monaco,MCO,2021-04-02,20510.0,11715.0,8795.0,0.0,39511.0,29.64997089418136
16348,Monaco,MCO,2021-04-15,22953.0,12094.0,10859.0,0.0,39511.0,30.609197438687964
16349,Monaco,MCO,2021-04-22,24390.0,12758.0,11632.0,0.0,39511.0,32.289742097137506
16350,Monaco,MCO,2021-04-29,25104.0,13289.0,11815.0,0.0,39511.0,33.633671635747014
16351,Monaco,MCO,2021-05-06,25937.0,13934.0,12003.0,0.0,39511.0,35.266128419933686
16352,Monaco,MCO,2021-05-18,28663.0,15688.0,12975.0,0.0,39511.0,39.705398496621186
16353,Monaco,MCO,2021-05-27,30029.0,16502.0,13527.0,0.0,39511.0,41.765584267672295
16354,Monaco,MCO,2021-06-03,31774.0,17704.0,14070.0,0.0,39511.0,44.80777504998608
16355,Monaco,MCO,2021-06-10,33965.0,18836.0,15129.0,0.0,39511.0,47.672799979752476
16356,Monaco,MCO,2021-06-24,36609.0,19842.0,16767.0,0.0,39511.0,50.21892637493357
16357,Monaco,MCO,2021-07-01,37872.0,20178.0,17694.0,0.0,39511.0,51.069322467161044
16358,Monaco,MCO,2021-07-08,38849.0,20624.0,18225.0,0.0,39511.0,52.198122041962996
16359,Monaco,MCO,2021-07-15,39790.0,21144.0,18646.0,0.0,39511.0,53.51421123231506
16360,Monaco,MCO,2021-07-22,40630.0,21796.0,18834.0,0.0,39511.0,55.164384601756474
16361,Monaco,MCO,2021-07-30,42806.0,23551.0,19255.0,0.0,39511.0,59.60618561919466
16362,Monaco,MCO,2021-08-05,44060.0,24454.0,19606.0,0.0,39511.0,61.89162511705602
16363,Monaco,MCO,2021-08-19,46315.0,25355.0,20960.0,0.0,39511.0,64.17200273341601
16364,Monaco,MCO,2021-08-26,47882.0,25930.0,21952.0,0.0,39511.0,65.62729366505529
16365,Monaco,MCO,2021-09-02,48691.0,26135.0,22556.0,0.0,39511.0,66.14613651894409
16366,Monaco,MCO,2021-09-09,49262.0,26451.0,22811.0,0.0,39511.0,66.94591379615802
16367,Monaco,MCO,2021-09-16,49980.0,26672.0,23308.0,0.0,39511.0,67.50525170205765
