,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
16822,Montserrat,MSR,2021-03-10,932.0,892.0,40.0,0.0,4977.0,17.922443238898932
16823,Montserrat,MSR,2021-03-17,1306.0,1112.0,194.0,0.0,4977.0,22.34277677315652
16824,Montserrat,MSR,2021-03-31,1542.0,1266.0,276.0,0.0,4977.0,25.437010247136836
16825,Montserrat,MSR,2021-04-14,1751.0,1284.0,467.0,0.0,4977.0,25.79867389993972
16826,Montserrat,MSR,2021-04-21,1909.0,1293.0,616.0,0.0,4977.0,25.97950572634117
16827,Montserrat,MSR,2021-05-21,2428.0,1342.0,1086.0,0.0,4977.0,26.96403455897127
16828,Montserrat,MSR,2021-05-28,2522.0,1358.0,1164.0,0.0,4977.0,27.28551336146273
16829,Montserrat,MSR,2021-06-11,2584.0,1389.0,1195.0,0.0,4977.0,27.90837854128993
16830,Montserrat,MSR,2021-06-18,2600.0,1394.0,1206.0,0.0,4977.0,28.00884066706851
16831,Montserrat,MSR,2021-06-25,2640.0,1411.0,1229.0,0.0,4977.0,28.35041189471569
16832,Montserrat,MSR,2021-07-02,2651.0,1418.0,1233.0,0.0,4977.0,28.491058870805713
16833,Montserrat,MSR,2021-07-09,2695.0,1435.0,1260.0,0.0,4977.0,28.832630098452878
16834,Montserrat,MSR,2021-07-16,2710.0,1435.0,1275.0,0.0,4977.0,28.832630098452878
16835,Montserrat,MSR,2021-07-23,2730.0,1439.0,1291.0,0.0,4977.0,28.912999799075752
16836,Montserrat,MSR,2021-07-30,2791.0,1454.0,1337.0,0.0,4977.0,29.21438617641149
16837,Montserrat,MSR,2021-08-06,2828.0,1460.0,1368.0,0.0,4977.0,29.334940727345792
16838,Montserrat,MSR,2021-09-03,2837.0,1466.0,1371.0,0.0,4977.0,29.45549527828009
16839,Montserrat,MSR,2021-09-10,2840.0,1466.0,1374.0,0.0,4977.0,29.45549527828009
16840,Montserrat,MSR,2021-09-17,2856.0,1472.0,1384.0,0.0,4977.0,29.576049829214387
16841,Montserrat,MSR,2021-09-24,2871.0,1483.0,1388.0,0.0,4977.0,29.797066505927265
16842,Montserrat,MSR,2021-10-08,2911.0,1502.0,1409.0,0.0,4977.0,30.17882258388587
16843,Montserrat,MSR,2021-11-12,2949.0,1531.0,1417.0,0.0,4977.0,30.761502913401646
