,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
17034,Mozambique,MOZ,2021-05-12,355995.0,296983.0,59012.0,1.0,32617919.0,0.9104903350823822
17035,Mozambique,MOZ,2021-05-18,393105.0,318548.0,74557.0,2.0,32617919.0,0.9766043014577356
17036,Mozambique,MOZ,2021-05-31,394312.0,319511.0,74801.0,0.0,32617919.0,0.9795566663832846
17037,Mozambique,MOZ,2021-06-10,394930.0,320129.0,74801.0,1.0,32617919.0,0.9814513304788084
17038,Mozambique,MOZ,2021-06-24,438382.0,341707.0,96675.0,5.0,32617919.0,1.0476051522477567
17039,Mozambique,MOZ,2021-07-05,508184.0,354572.0,153612.0,7.0,32617919.0,1.0870466629094273
17040,Mozambique,MOZ,2021-07-19,671336.0,372085.0,299251.0,19.0,32617919.0,1.1407380096811204
17041,Mozambique,MOZ,2021-07-24,671599.0,372085.0,299514.0,11.0,32617919.0,1.1407380096811204
17042,Mozambique,MOZ,2021-07-26,691040.0,372085.0,318955.0,25.0,32617919.0,1.1407380096811204
17043,Mozambique,MOZ,2021-08-03,714776.0,394234.0,320542.0,17.0,32617919.0,1.2086424029687486
17044,Mozambique,MOZ,2021-08-09,1386326.0,907839.0,478487.0,13.0,32617919.0,2.7832523589257794
17045,Mozambique,MOZ,2021-08-16,1487560.0,916174.0,571386.0,9.0,32617919.0,2.80880579781929
17046,Mozambique,MOZ,2021-08-25,2297842.0,1643520.0,654322.0,5.0,32617919.0,5.038702806270382
17047,Mozambique,MOZ,2021-09-08,2405890.0,1643520.0,762370.0,0.0,32617919.0,5.038702806270382
17048,Mozambique,MOZ,2021-09-14,3644423.0,1903730.0,1740693.0,2.0,32617919.0,5.83645449607009
17049,Mozambique,MOZ,2021-10-08,3677063.0,1903730.0,1773333.0,0.0,32617919.0,5.83645449607009
17050,Mozambique,MOZ,2021-10-15,3782029.0,1973519.0,1808510.0,0.0,32617919.0,6.050413577886437
17051,Mozambique,MOZ,2021-10-21,3799385.0,1973519.0,1825866.0,0.0,32617919.0,6.050413577886437
17052,Mozambique,MOZ,2021-10-28,4781293.0,2734512.0,2046781.0,0.0,32617919.0,8.38346554236032
17053,Mozambique,MOZ,2021-10-31,5871057.0,3667470.0,2203587.0,1.0,32617919.0,11.243727719110467
17054,Mozambique,MOZ,2021-11-04,6585750.0,4159380.0,2426370.0,0.0,32617919.0,12.751825154756196
17055,Mozambique,MOZ,2021-11-10,7459438.0,4858830.0,2600608.0,0.0,32617919.0,14.896198620151088
17056,Mozambique,MOZ,2021-11-18,8891246.0,5919277.0,2971969.0,0.0,32617919.0,18.147316510289947
17057,Mozambique,MOZ,2021-11-24,9706476.0,6257220.0,3449256.0,1.0,32617919.0,19.183381993192143
17058,Mozambique,MOZ,2021-11-29,10145909.0,6422216.0,3723693.0,0.0,32617919.0,19.6892266487019
17059,Mozambique,MOZ,2021-12-02,10503956.0,6572756.0,3931200.0,0.0,32617919.0,20.150752106533837
17060,Mozambique,MOZ,2021-12-03,10799768.0,6685501.0,4114267.0,0.0,32617919.0,20.496405671986615
17061,Mozambique,MOZ,2021-12-09,11099580.0,6801754.0,4297826.0,0.0,32617919.0,20.852814062111076
17062,Mozambique,MOZ,2021-12-13,11730770.0,7105910.0,4624860.0,2.0,32617919.0,21.785295377059466
17063,Mozambique,MOZ,2021-12-15,12025232.0,7241597.0,4783635.0,0.0,32617919.0,22.20128451480917
17064,Mozambique,MOZ,2021-12-20,13250204.0,7845444.0,5404760.0,0.0,32617919.0,24.052558349905766
