,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
17084,Namibia,NAM,2021-04-19,4748.0,4620.0,128.0,2.0,2610492.0,0.1769781328577142
17085,Namibia,NAM,2021-04-20,5699.0,5536.0,163.0,0.0,2610492.0,0.21206730378794494
17086,Namibia,NAM,2021-04-21,6237.0,5998.0,239.0,4.0,2610492.0,0.2297651170737164
17087,Namibia,NAM,2021-04-22,7417.0,7120.0,297.0,1.0,2610492.0,0.2727455207677327
17088,Namibia,NAM,2021-04-23,9955.0,9460.0,495.0,7.0,2610492.0,0.36238379585151004
17089,Namibia,NAM,2021-04-24,12550.0,11692.0,858.0,6.0,2610492.0,0.4478849197775744
17090,Namibia,NAM,2021-04-25,12833.0,11971.0,862.0,2.0,2610492.0,0.4585725602683326
17091,Namibia,NAM,2021-04-28,20005.0,18837.0,1168.0,6.0,2610492.0,0.7215881144244074
17092,Namibia,NAM,2021-04-30,21707.0,20315.0,1392.0,0.0,2610492.0,0.7782057941568103
17093,Namibia,NAM,2021-05-01,25048.0,23425.0,1623.0,5.0,2610492.0,0.8973404247168733
17094,Namibia,NAM,2021-05-05,29397.0,27648.0,1749.0,4.0,2610492.0,1.0591106963744763
17095,Namibia,NAM,2021-05-06,34657.0,32698.0,1959.0,4.0,2610492.0,1.2525608199527138
17096,Namibia,NAM,2021-05-07,36417.0,34346.0,2071.0,7.0,2610492.0,1.315690682062998
17097,Namibia,NAM,2021-05-08,39878.0,37578.0,2300.0,8.0,2610492.0,1.43949876115307
17098,Namibia,NAM,2021-05-09,40120.0,37819.0,2301.0,1.0,2610492.0,1.4487307373475955
17099,Namibia,NAM,2021-05-10,41675.0,39339.0,2336.0,6.0,2610492.0,1.506957309196887
17100,Namibia,NAM,2021-05-11,44586.0,42088.0,2498.0,2.0,2610492.0,1.6122631289427436
17101,Namibia,NAM,2021-05-12,47182.0,44579.0,2603.0,5.0,2610492.0,1.7076857542562855
17102,Namibia,NAM,2021-05-13,47626.0,45003.0,2623.0,6.0,2610492.0,1.7239279032458248
17103,Namibia,NAM,2021-05-14,50361.0,47632.0,2729.0,2.0,2610492.0,1.8246368883720003
17104,Namibia,NAM,2021-05-15,53163.0,50222.0,2941.0,0.0,2610492.0,1.9238519022467797
17105,Namibia,NAM,2021-05-16,53402.0,50339.0,3063.0,6.0,2610492.0,1.9283338160009684
17106,Namibia,NAM,2021-05-17,53849.0,50784.0,3065.0,8.0,2610492.0,1.945380411048952
17107,Namibia,NAM,2021-05-18,56996.0,53578.0,3418.0,5.0,2610492.0,2.0524100437771886
17108,Namibia,NAM,2021-05-19,60539.0,56759.0,3780.0,10.0,2610492.0,2.174264468153896
17109,Namibia,NAM,2021-05-21,65988.0,60809.0,5179.0,10.0,2610492.0,2.329407636568126
17110,Namibia,NAM,2021-05-22,66759.0,61086.0,5673.0,10.0,2610492.0,2.340018663148556
17111,Namibia,NAM,2021-05-23,67659.0,61986.0,5673.0,4.0,2610492.0,2.3744949227961625
17112,Namibia,NAM,2021-05-25,69765.0,63309.0,6456.0,9.0,2610492.0,2.4251750244781443
17113,Namibia,NAM,2021-05-26,72533.0,65037.0,7496.0,5.0,2610492.0,2.4913694430015494
17114,Namibia,NAM,2021-05-27,74662.0,66344.0,8318.0,10.0,2610492.0,2.5414366334009064
17115,Namibia,NAM,2021-05-29,76370.0,67593.0,8777.0,12.0,2610492.0,2.5892820204007516
17116,Namibia,NAM,2021-05-30,76578.0,67706.0,8872.0,11.0,2610492.0,2.5936107063342853
17117,Namibia,NAM,2021-05-31,76949.0,67864.0,9085.0,6.0,2610492.0,2.5996632052501982
17118,Namibia,NAM,2021-06-01,78720.0,69146.0,9574.0,6.0,2610492.0,2.6487727217704555
17119,Namibia,NAM,2021-06-02,80585.0,70585.0,10000.0,24.0,2610492.0,2.7038964302514623
17120,Namibia,NAM,2021-06-03,82907.0,72371.0,10536.0,11.0,2610492.0,2.7723126521743797
17121,Namibia,NAM,2021-06-04,85243.0,74110.0,11133.0,12.0,2610492.0,2.838928447204588
17122,Namibia,NAM,2021-06-05,87457.0,75964.0,11493.0,22.0,2610492.0,2.9099495420786585
17123,Namibia,NAM,2021-06-06,87474.0,75977.0,11497.0,6.0,2610492.0,2.91044753249579
17124,Namibia,NAM,2021-06-07,87859.0,76251.0,11608.0,7.0,2610492.0,2.920943638210728
17125,Namibia,NAM,2021-06-08,90718.0,78397.0,12321.0,8.0,2610492.0,3.003150363992688
17126,Namibia,NAM,2021-06-09,93061.0,80193.0,12868.0,16.0,2610492.0,3.0719496554672454
17127,Namibia,NAM,2021-06-10,96433.0,82845.0,13588.0,14.0,2610492.0,3.1735397005621935
17128,Namibia,NAM,2021-06-11,99782.0,85539.0,14243.0,18.0,2610492.0,3.2767386377740286
17129,Namibia,NAM,2021-06-12,100793.0,86409.0,14384.0,5.0,2610492.0,3.3100656887667155
17130,Namibia,NAM,2021-06-13,102549.0,87863.0,14686.0,20.0,2610492.0,3.3657640015751817
17131,Namibia,NAM,2021-06-14,103605.0,88649.0,14956.0,2.0,2610492.0,3.395873268334092
17132,Namibia,NAM,2021-06-15,107796.0,91797.0,15999.0,13.0,2610492.0,3.516463563190387
17133,Namibia,NAM,2021-06-16,112691.0,95476.0,17215.0,32.0,2610492.0,3.6573948512387697
17134,Namibia,NAM,2021-06-17,116733.0,98646.0,18087.0,0.0,2610492.0,3.7788278991086734
17135,Namibia,NAM,2021-06-18,121012.0,101933.0,19079.0,67.0,2610492.0,3.9047428607327666
17136,Namibia,NAM,2021-06-19,123954.0,104103.0,19851.0,0.0,2610492.0,3.9878689534386624
17137,Namibia,NAM,2021-06-20,124064.0,104199.0,19865.0,27.0,2610492.0,3.991546421134408
17138,Namibia,NAM,2021-06-21,124460.0,104530.0,19930.0,27.0,2610492.0,4.004226023293693
17139,Namibia,NAM,2021-06-22,128610.0,107611.0,20999.0,18.0,2610492.0,4.1222497521540005
17140,Namibia,NAM,2021-06-23,132060.0,110597.0,21463.0,0.0,2610492.0,4.236634320273726
17141,Namibia,NAM,2021-06-24,135058.0,112773.0,22285.0,45.0,2610492.0,4.319990254710606
17142,Namibia,NAM,2021-06-25,139022.0,115947.0,23075.0,81.0,2610492.0,4.441576530401166
17143,Namibia,NAM,2021-06-26,141164.0,117632.0,23532.0,0.0,2610492.0,4.506123749852518
17144,Namibia,NAM,2021-06-27,141209.0,117668.0,23541.0,95.0,2610492.0,4.507502800238423
17145,Namibia,NAM,2021-06-29,143813.0,119571.0,24242.0,45.0,2610492.0,4.580400935915528
17146,Namibia,NAM,2021-06-30,145957.0,121095.0,24862.0,22.0,2610492.0,4.638780735585477
17147,Namibia,NAM,2021-07-01,147803.0,122381.0,25422.0,54.0,2610492.0,4.68804347992639
17148,Namibia,NAM,2021-07-02,149232.0,123439.0,25793.0,65.0,2610492.0,4.728572238489909
17149,Namibia,NAM,2021-07-03,150322.0,124154.0,26168.0,40.0,2610492.0,4.755961711432175
17150,Namibia,NAM,2021-07-04,150363.0,124192.0,26171.0,0.0,2610492.0,4.757417375728408
17151,Namibia,NAM,2021-07-05,150911.0,124586.0,26325.0,23.0,2610492.0,4.772510316063026
17152,Namibia,NAM,2021-07-06,152907.0,125970.0,26937.0,41.0,2610492.0,4.825527142010012
17153,Namibia,NAM,2021-07-07,154759.0,127220.0,27539.0,52.0,2610492.0,4.873410835965021
