,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
17342,Netherlands,NLD,2021-01-30,351293.0,348864.0,2429.0,66.0,17192021.0,2.029220415680041
17343,Netherlands,NLD,2021-02-06,571218.0,544781.0,26437.0,62.0,17192021.0,3.1688013875739216
17344,Netherlands,NLD,2021-02-13,787972.0,690423.0,97549.0,80.0,17192021.0,4.015950189916588
17345,Netherlands,NLD,2021-02-20,1037761.0,873547.0,164214.0,46.0,17192021.0,5.081118735255151
17346,Netherlands,NLD,2021-02-27,1382372.0,1104977.0,277395.0,71.0,17192021.0,6.427266462738731
17347,Netherlands,NLD,2021-03-06,1676451.0,1314614.0,361837.0,31.0,17192021.0,7.646651897412178
17348,Netherlands,NLD,2021-03-13,1961551.0,1512061.0,449490.0,30.0,17192021.0,8.795132346569376
17349,Netherlands,NLD,2021-03-20,2175988.0,1598938.0,577050.0,41.0,17192021.0,9.300465605527123
17350,Netherlands,NLD,2021-03-27,2473994.0,1798341.0,675653.0,22.0,17192021.0,10.460323425617037
17351,Netherlands,NLD,2021-04-03,2924930.0,2139734.0,785196.0,16.0,17192021.0,12.446087635653775
17352,Netherlands,NLD,2021-04-10,3567964.0,2653780.0,914184.0,41.0,17192021.0,15.436114229967494
17353,Netherlands,NLD,2021-04-17,4374137.0,3368696.0,1005441.0,18.0,17192021.0,19.594531672570664
17354,Netherlands,NLD,2021-04-24,5027160.0,3903514.0,1132533.0,18.0,17192021.0,22.705381758200502
17355,Netherlands,NLD,2021-05-01,5713759.0,4497479.0,1264790.0,26.0,17192021.0,26.160269348205194
17356,Netherlands,NLD,2021-05-08,6557587.0,5067312.0,1585754.0,25.0,17192021.0,29.4747894968253
17357,Netherlands,NLD,2021-05-15,7565793.0,5759075.0,1931115.0,11.0,17192021.0,33.49853400016205
17358,Netherlands,NLD,2021-05-22,8598347.0,6268745.0,2471724.0,11.0,17192021.0,36.463106926172316
17359,Netherlands,NLD,2021-05-29,9608413.0,6759891.0,3088847.0,15.0,17192021.0,39.31993219412657
17360,Netherlands,NLD,2021-06-05,10792147.0,7339891.0,3841849.0,10.0,17192021.0,42.6935902416592
17361,Netherlands,NLD,2021-06-12,12450717.0,8357125.0,4532103.0,3.0,17192021.0,48.61048622497611
17362,Netherlands,NLD,2021-06-19,13866023.0,9100843.0,5223778.0,3.0,17192021.0,52.93643487289831
17363,Netherlands,NLD,2021-06-26,15295255.0,9915627.0,5921123.0,5.0,17192021.0,57.675749698072146
17364,Netherlands,NLD,2021-07-03,16751831.0,10840521.0,6583729.0,6.0,17192021.0,63.055536053614645
17365,Netherlands,NLD,2021-07-10,17869539.0,11542435.0,7068686.0,2.0,17192021.0,67.13832538943501
17366,Netherlands,NLD,2021-07-17,18854782.0,11653279.0,7957034.0,2.0,17192021.0,67.78306634222933
17367,Netherlands,NLD,2021-07-24,19590142.0,11733665.0,8621134.0,3.0,17192021.0,68.25064371431374
17368,Netherlands,NLD,2021-07-31,20302865.0,11805185.0,9269634.0,6.0,17192021.0,68.66665065148536
17369,Netherlands,NLD,2021-08-07,21052969.0,11857060.0,9973294.0,8.0,17192021.0,68.96838946392631
17370,Netherlands,NLD,2021-08-14,21635323.0,11902771.0,10514474.0,6.0,17192021.0,69.23427443463453
17371,Netherlands,NLD,2021-08-21,21799626.0,11945720.0,10639598.0,6.0,17192021.0,69.48409381305433
17372,Netherlands,NLD,2021-08-28,21935752.0,11984283.0,10740466.0,4.0,17192021.0,69.7084013566526
17373,Netherlands,NLD,2021-09-04,22051445.0,12018260.0,10825359.0,9.0,17192021.0,69.90603373506814
17374,Netherlands,NLD,2021-09-11,22136079.0,12049547.0,10881858.0,4.0,17192021.0,70.08801932012531
17375,Netherlands,NLD,2021-09-18,22237392.0,12096810.0,10942513.0,10.0,17192021.0,70.36293173443657
17376,Netherlands,NLD,2021-09-25,22337910.0,12148385.0,11005100.0,3.0,17192021.0,70.6629255513357
17377,Netherlands,NLD,2021-10-02,22427279.0,12196934.0,11059309.0,6.0,17192021.0,70.94531817986959
17378,Netherlands,NLD,2021-10-09,22500522.0,12227479.0,11103954.0,2.0,17192021.0,71.12298780928664
17379,Netherlands,NLD,2021-10-16,22581369.0,12251395.0,11147961.0,6.0,17192021.0,71.2620988538811
17380,Netherlands,NLD,2021-10-23,22664045.0,12276075.0,11186526.0,10.0,17192021.0,71.40565382045544
17381,Netherlands,NLD,2021-10-30,22752943.0,12309911.0,11226552.0,13.0,17192021.0,71.60246605096631
17382,Netherlands,NLD,2021-11-06,22854592.0,12366699.0,11266172.0,20.0,17192021.0,71.93278207373059
17383,Netherlands,NLD,2021-11-13,22953694.0,12418926.0,11304365.0,31.0,17192021.0,72.2365683476073
17384,Netherlands,NLD,2021-11-20,23047762.0,12456804.0,11342375.0,39.0,17192021.0,72.45689148471841
17385,Netherlands,NLD,2021-11-27,23352323.0,12481818.0,11388472.0,59.0,17192021.0,72.60238921299594
17386,Netherlands,NLD,2021-12-04,23719602.0,12500502.0,11433715.0,62.0,17192021.0,72.71106753534096
17387,Netherlands,NLD,2021-12-11,24283335.0,12514240.0,11477369.0,84.0,17192021.0,72.79097669785305
17388,Netherlands,NLD,2021-12-18,25128312.0,12525124.0,11513700.0,59.0,17192021.0,72.85428513611052
