,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
17770,Nigeria,NGA,2021-05-25,1939737.0,1930922.0,8815.0,0.0,214049109.0,0.9020929865211448
17771,Nigeria,NGA,2021-05-26,1953870.0,1938611.0,15259.0,4.0,214049109.0,0.9056851528403232
17772,Nigeria,NGA,2021-05-27,1967435.0,1945273.0,22162.0,0.0,214049109.0,0.90879752272176
17773,Nigeria,NGA,2021-05-28,1984242.0,1950298.0,33944.0,0.0,214049109.0,0.911145114834372
17774,Nigeria,NGA,2021-05-29,1996914.0,1952694.0,44220.0,0.0,214049109.0,0.912264484128266
17775,Nigeria,NGA,2021-05-30,2014590.0,1955652.0,58938.0,0.0,214049109.0,0.9136464099927648
17776,Nigeria,NGA,2021-05-31,2030063.0,1956598.0,73465.0,0.0,214049109.0,0.9140883646471988
17777,Nigeria,NGA,2021-06-01,2051228.0,1960493.0,90735.0,28.0,214049109.0,0.9159080405235416
17778,Nigeria,NGA,2021-06-02,2110141.0,1961883.0,148258.0,0.0,214049109.0,0.9165574242124036
17779,Nigeria,NGA,2021-06-04,2225765.0,1964095.0,261670.0,18.0,214049109.0,0.9175908319244628
17780,Nigeria,NGA,2021-06-15,2659153.0,1978808.0,680345.0,0.0,214049109.0,0.9244644881936884
17781,Nigeria,NGA,2021-06-24,3104802.0,2099568.0,1005234.0,0.0,214049109.0,0.9808814480979692
17782,Nigeria,NGA,2021-06-28,3397472.0,2241662.0,1155810.0,0.0,214049109.0,1.0472652796700028
17783,Nigeria,NGA,2021-07-05,3832459.0,2476637.0,1355822.0,0.0,214049109.0,1.1570414899507946
17784,Nigeria,NGA,2021-07-12,3938945.0,2534205.0,1404740.0,2.0,214049109.0,1.1839362526848922
17785,Nigeria,NGA,2021-08-09,3967013.0,2550390.0,1416623.0,2.0,214049109.0,1.1914976016087973
17786,Nigeria,NGA,2021-08-28,4182515.0,2756203.0,1426312.0,10.0,214049109.0,1.28764983553377
17787,Nigeria,NGA,2021-08-31,4432282.0,2994933.0,1437349.0,1.0,214049109.0,1.3991803161395082
17788,Nigeria,NGA,2021-09-05,5001836.0,3461713.0,1540123.0,0.0,214049109.0,1.6172517681444776
17789,Nigeria,NGA,2021-09-06,5176869.0,3600858.0,1576011.0,0.0,214049109.0,1.682257878494603
17790,Nigeria,NGA,2021-09-12,5712019.0,4024704.0,1687315.0,3.0,214049109.0,1.880271316616413
17791,Nigeria,NGA,2021-09-15,5858737.0,4146028.0,1712709.0,18.0,214049109.0,1.9369517674563173
17792,Nigeria,NGA,2021-09-19,6186647.0,4415507.0,1771140.0,5.0,214049109.0,2.0628476430612004
17793,Nigeria,NGA,2021-09-22,6255025.0,4474172.0,1780853.0,0.0,214049109.0,2.090254905008738
17794,Nigeria,NGA,2021-09-25,6552979.0,4685526.0,1867453.0,4.0,214049109.0,2.1889957972214686
17795,Nigeria,NGA,2021-09-30,6734764.0,4790943.0,1943821.0,6.0,214049109.0,2.238244775875241
17796,Nigeria,NGA,2021-10-07,7130171.0,4963985.0,2166186.0,0.0,214049109.0,2.3190869717659046
17797,Nigeria,NGA,2021-10-14,7478203.0,5118422.0,2359781.0,5.0,214049109.0,2.391237237058529
17798,Nigeria,NGA,2021-10-18,8029702.0,5348573.0,2681129.0,33.0,214049109.0,2.498759758911213
17799,Nigeria,NGA,2021-10-21,8188833.0,5427920.0,2760913.0,2.0,214049109.0,2.5358292895300023
17800,Nigeria,NGA,2021-10-23,8402127.0,5526303.0,2875824.0,5.0,214049109.0,2.581792106408628
17801,Nigeria,NGA,2021-10-28,8581274.0,5607813.0,2973461.0,2.0,214049109.0,2.6198721527964874
17802,Nigeria,NGA,2021-10-31,8772539.0,5693300.0,3079239.0,0.0,214049109.0,2.659810184026508
17803,Nigeria,NGA,2021-11-04,8862242.0,5741264.0,3120978.0,1.0,214049109.0,2.682218125934829
17804,Nigeria,NGA,2021-11-10,8929327.0,5776679.0,3152648.0,8.0,214049109.0,2.698763394525506
17805,Nigeria,NGA,2021-11-11,9017951.0,5823013.0,3194938.0,8.0,214049109.0,2.7204098289425724
17806,Nigeria,NGA,2021-11-18,9253702.0,5947322.0,3306380.0,0.0,214049109.0,2.7784848195747456
17807,Nigeria,NGA,2021-11-21,9483387.0,6079895.0,3403492.0,0.0,214049109.0,2.840420606469332
17808,Nigeria,NGA,2021-11-24,9640048.0,6183844.0,3456204.0,0.0,214049109.0,2.8889837611984643
17809,Nigeria,NGA,2021-11-25,9846182.0,6329967.0,3516215.0,0.0,214049109.0,2.9572498711031776
17810,Nigeria,NGA,2021-12-02,10119982.0,6524582.0,3595400.0,1.0,214049109.0,3.048170595281478
17811,Nigeria,NGA,2021-12-03,10917191.0,7131832.0,3785359.0,0.0,214049109.0,3.3318671744622863
17812,Nigeria,NGA,2021-12-09,11193780.0,7350443.0,3843337.0,0.0,214049109.0,3.433998410149888
17813,Nigeria,NGA,2021-12-12,11863889.0,7894068.0,3969325.0,0.0,214049109.0,3.687970502133695
17814,Nigeria,NGA,2021-12-15,12214538.0,8181113.0,4031004.0,0.0,214049109.0,3.8220729057087546
17815,Nigeria,NGA,2021-12-20,12971729.0,8811055.0,4153915.0,1.0,214049109.0,4.11637079040586
17816,Nigeria,NGA,2021-12-22,13498938.0,9242736.0,4244751.0,4.0,214049109.0,4.318044603493304
