,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
17819,North Macedonia,MKD,2021-05-10,145043.0,121181.0,23862.0,14.0,2082107.0,5.820113951876634
17820,North Macedonia,MKD,2021-05-11,160425.0,135574.0,24851.0,16.0,2082107.0,6.511384861584923
17821,North Macedonia,MKD,2021-05-12,175348.0,149700.0,25648.0,26.0,2082107.0,7.1898322228396525
17822,North Macedonia,MKD,2021-05-15,203324.0,176909.0,26415.0,16.0,2082107.0,8.496633458318904
17823,North Macedonia,MKD,2021-05-19,219977.0,186146.0,33831.0,2.0,2082107.0,8.940270600886508
17824,North Macedonia,MKD,2021-05-20,232485.0,196119.0,36366.0,17.0,2082107.0,9.419256551176284
17825,North Macedonia,MKD,2021-05-21,244518.0,206013.0,38505.0,16.0,2082107.0,9.894448268028492
17826,North Macedonia,MKD,2021-05-22,255259.0,216453.0,38806.0,15.0,2082107.0,10.395863421044163
17827,North Macedonia,MKD,2021-05-23,259577.0,220771.0,38806.0,16.0,2082107.0,10.603249496783787
17828,North Macedonia,MKD,2021-05-27,278619.0,224019.0,54600.0,14.0,2082107.0,10.759245322166441
17829,North Macedonia,MKD,2021-05-28,290829.0,231014.0,59815.0,13.0,2082107.0,11.095203080341212
17830,North Macedonia,MKD,2021-05-29,304904.0,233844.0,71060.0,18.0,2082107.0,11.231123088294694
17831,North Macedonia,MKD,2021-05-31,315781.0,234508.0,81273.0,10.0,2082107.0,11.263013860478832
17832,North Macedonia,MKD,2021-06-01,331034.0,236878.0,94156.0,5.0,2082107.0,11.376840863605953
17833,North Macedonia,MKD,2021-06-02,346931.0,239283.0,107648.0,10.0,2082107.0,11.492348856230734
17834,North Macedonia,MKD,2021-06-03,362710.0,241368.0,121342.0,6.0,2082107.0,11.592487802019779
17835,North Macedonia,MKD,2021-06-04,369661.0,243832.0,125829.0,6.0,2082107.0,11.710829462654893
17836,North Macedonia,MKD,2021-06-05,384466.0,245413.0,139053.0,7.0,2082107.0,11.786762159677673
17837,North Macedonia,MKD,2021-06-06,399962.0,249187.0,150775.0,6.0,2082107.0,11.968020855796555
17838,North Macedonia,MKD,2021-06-08,410711.0,250813.0,159898.0,3.0,2082107.0,12.046114825030605
17839,North Macedonia,MKD,2021-06-09,420821.0,252537.0,168284.0,4.0,2082107.0,12.128915564858096
17840,North Macedonia,MKD,2021-06-10,431174.0,254154.0,177020.0,5.0,2082107.0,12.206577279649892
17841,North Macedonia,MKD,2021-06-11,442928.0,255808.0,187120.0,1.0,2082107.0,12.286016040482071
17842,North Macedonia,MKD,2021-06-14,452424.0,259395.0,193029.0,0.0,2082107.0,12.458293449856324
17843,North Macedonia,MKD,2021-06-15,458131.0,263083.0,195048.0,1.0,2082107.0,12.635421714638104
17844,North Macedonia,MKD,2021-06-16,462415.0,265164.0,197251.0,0.0,2082107.0,12.735368547341707
17845,North Macedonia,MKD,2021-06-17,473853.0,274710.0,199143.0,0.0,2082107.0,13.193846425760059
17846,North Macedonia,MKD,2021-06-21,482058.0,278202.0,203856.0,0.0,2082107.0,13.361561149354957
17847,North Macedonia,MKD,2021-06-22,488010.0,281847.0,206163.0,2.0,2082107.0,13.536624198468184
17848,North Macedonia,MKD,2021-06-23,494909.0,286317.0,208592.0,0.0,2082107.0,13.75131057145478
17849,North Macedonia,MKD,2021-06-24,501506.0,289305.0,212201.0,1.0,2082107.0,13.894819046283406
17850,North Macedonia,MKD,2021-06-25,501506.0,289305.0,212201.0,3.0,2082107.0,13.894819046283406
17851,North Macedonia,MKD,2021-06-26,510351.0,295780.0,214571.0,3.0,2082107.0,14.205802103350115
17852,North Macedonia,MKD,2021-06-29,529445.0,310384.0,219061.0,0.0,2082107.0,14.907206978315715
17853,North Macedonia,MKD,2021-06-30,542699.0,321815.0,220884.0,0.0,2082107.0,15.456218148250786
17854,North Macedonia,MKD,2021-07-01,557400.0,334386.0,223014.0,0.0,2082107.0,16.059981547538143
17855,North Macedonia,MKD,2021-07-02,572176.0,346836.0,225340.0,1.0,2082107.0,16.657933525990742
17856,North Macedonia,MKD,2021-07-03,586537.0,358686.0,227851.0,1.0,2082107.0,17.227068541626338
17857,North Macedonia,MKD,2021-07-05,613219.0,380624.0,232595.0,0.0,2082107.0,18.28071275875832
17858,North Macedonia,MKD,2021-07-06,627948.0,390626.0,237322.0,0.0,2082107.0,18.761091528917586
17859,North Macedonia,MKD,2021-07-07,640886.0,400235.0,240651.0,0.0,2082107.0,19.22259518843172
17860,North Macedonia,MKD,2021-07-08,652680.0,408953.0,243727.0,0.0,2082107.0,19.641305658162626
17861,North Macedonia,MKD,2021-07-09,662372.0,417141.0,245231.0,0.0,2082107.0,20.034561144071848
17862,North Macedonia,MKD,2021-07-12,676620.0,428081.0,248539.0,0.0,2082107.0,20.559990432768345
17863,North Macedonia,MKD,2021-07-13,686788.0,434450.0,252338.0,0.0,2082107.0,20.865882493070718
17864,North Macedonia,MKD,2021-07-14,700193.0,440299.0,259894.0,0.0,2082107.0,21.146799852265037
17865,North Macedonia,MKD,2021-07-15,713114.0,446008.0,267106.0,0.0,2082107.0,21.420993253468726
17866,North Macedonia,MKD,2021-07-16,725902.0,453773.0,272129.0,0.0,2082107.0,21.79393278059197
17867,North Macedonia,MKD,2021-07-21,760961.0,455157.0,305804.0,1.0,2082107.0,21.8604039081565
17868,North Macedonia,MKD,2021-07-22,800168.0,481268.0,318900.0,0.0,2082107.0,23.114470101680652
17869,North Macedonia,MKD,2021-07-23,818295.0,487975.0,330320.0,1.0,2082107.0,23.43659571770327
17870,North Macedonia,MKD,2021-07-26,847336.0,495967.0,351369.0,0.0,2082107.0,23.820437662425608
17871,North Macedonia,MKD,2021-07-27,862426.0,500995.0,361431.0,2.0,2082107.0,24.061923810832013
17872,North Macedonia,MKD,2021-07-28,862426.0,500995.0,361431.0,0.0,2082107.0,24.061923810832013
17873,North Macedonia,MKD,2021-07-29,878290.0,506033.0,372257.0,0.0,2082107.0,24.303890241952022
17874,North Macedonia,MKD,2021-07-30,891379.0,510197.0,381182.0,0.0,2082107.0,24.503879963901948
17875,North Macedonia,MKD,2021-07-31,904583.0,514021.0,390562.0,2.0,2082107.0,24.68754007358892
17876,North Macedonia,MKD,2021-08-03,920442.0,519106.0,401336.0,1.0,2082107.0,24.93176383346293
17877,North Macedonia,MKD,2021-08-04,932603.0,523417.0,409186.0,0.0,2082107.0,25.138813711303023
17878,North Macedonia,MKD,2021-08-05,944731.0,528117.0,416614.0,3.0,2082107.0,25.3645465867028
17879,North Macedonia,MKD,2021-08-06,958742.0,533386.0,425356.0,4.0,2082107.0,25.617607548507358
17880,North Macedonia,MKD,2021-08-09,982645.0,543597.0,439048.0,4.0,2082107.0,26.1080242273812
17881,North Macedonia,MKD,2021-08-10,998876.0,552263.0,446613.0,2.0,2082107.0,26.5242372270013
17882,North Macedonia,MKD,2021-08-11,1016700.0,561912.0,454788.0,4.0,2082107.0,26.98766201736991
17883,North Macedonia,MKD,2021-08-12,1033584.0,571392.0,462192.0,8.0,2082107.0,27.442970029878392
17884,North Macedonia,MKD,2021-08-14,1058112.0,586384.0,471728.0,5.0,2082107.0,28.16300987413231
17885,North Macedonia,MKD,2021-08-16,1079049.0,599716.0,479333.0,10.0,2082107.0,28.80332278792588
17886,North Macedonia,MKD,2021-08-17,1097855.0,612391.0,485464.0,8.0,2082107.0,29.41208112743485
17887,North Macedonia,MKD,2021-08-18,1115988.0,624819.0,491169.0,14.0,2082107.0,30.00897648391749
17888,North Macedonia,MKD,2021-08-19,1134231.0,638428.0,495803.0,15.0,2082107.0,30.66259322887825
17889,North Macedonia,MKD,2021-08-20,1152274.0,652340.0,499934.0,19.0,2082107.0,31.330762540061578
17890,North Macedonia,MKD,2021-08-23,1177911.0,674510.0,503401.0,14.0,2082107.0,32.395549316149456
17891,North Macedonia,MKD,2021-08-25,1193218.0,685775.0,507443.0,32.0,2082107.0,32.9365877930385
17892,North Macedonia,MKD,2021-08-26,1207515.0,695526.0,511989.0,28.0,2082107.0,33.40491146708599
17893,North Macedonia,MKD,2021-08-27,1220375.0,703578.0,516797.0,27.0,2082107.0,33.79163510809002
17894,North Macedonia,MKD,2021-08-28,1234123.0,712339.0,521784.0,36.0,2082107.0,34.212410793489475
