,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
18490,Panama,PAN,2021-02-18,30776.0,28549.0,2227.0,13.0,4414831.0,0.6466612198745546
18491,Panama,PAN,2021-02-19,40830.0,38262.0,2568.0,17.0,4414831.0,0.8666696414879753
18492,Panama,PAN,2021-02-20,45535.0,42867.0,2668.0,22.0,4414831.0,0.9709771449915072
18493,Panama,PAN,2021-02-21,47848.0,45014.0,2834.0,17.0,4414831.0,1.0196086781124805
18494,Panama,PAN,2021-02-22,61168.0,57896.0,3272.0,16.0,4414831.0,1.3113978768383203
18495,Panama,PAN,2021-02-23,64636.0,61104.0,3534.0,15.0,4414831.0,1.384062039973897
18496,Panama,PAN,2021-02-24,79989.0,74711.0,5278.0,14.0,4414831.0,1.6922731583609882
18497,Panama,PAN,2021-02-25,89419.0,83733.0,5686.0,16.0,4414831.0,1.8966297917179615
18498,Panama,PAN,2021-02-26,106667.0,100819.0,5848.0,17.0,4414831.0,2.2836434735553865
18499,Panama,PAN,2021-02-27,114529.0,108675.0,5854.0,21.0,4414831.0,2.4615891299123343
18500,Panama,PAN,2021-02-28,119176.0,113320.0,5856.0,10.0,4414831.0,2.5668026703626934
18501,Panama,PAN,2021-03-01,122189.0,116326.0,5863.0,11.0,4414831.0,2.6348913469167905
18502,Panama,PAN,2021-03-02,132610.0,126732.0,5878.0,14.0,4414831.0,2.870596858634
18503,Panama,PAN,2021-03-03,136343.0,130462.0,5881.0,13.0,4414831.0,2.955084803925677
18504,Panama,PAN,2021-03-04,150411.0,144529.0,5882.0,13.0,4414831.0,3.2737153472012857
18505,Panama,PAN,2021-03-05,166931.0,161039.0,5892.0,13.0,4414831.0,3.6476820970043926
18506,Panama,PAN,2021-03-06,194715.0,191140.0,5892.0,11.0,4414831.0,4.32949755041586
18507,Panama,PAN,2021-03-07,208415.0,202522.0,5893.0,12.0,4414831.0,4.5873103636356625
18508,Panama,PAN,2021-03-08,211751.0,205850.0,5901.0,3.0,4414831.0,4.6626926376117215
18509,Panama,PAN,2021-03-09,214492.0,208590.0,5902.0,13.0,4414831.0,4.724756168469416
18510,Panama,PAN,2021-03-10,224765.0,218861.0,5904.0,11.0,4414831.0,4.957403805491082
18511,Panama,PAN,2021-03-11,233365.0,227461.0,5904.0,10.0,4414831.0,5.152201749059024
18512,Panama,PAN,2021-03-18,287086.0,235570.0,51516.0,4.0,4414831.0,5.335878089104656
18513,Panama,PAN,2021-03-25,329822.0,238228.0,91594.0,8.0,4414831.0,5.3960842442213535
18514,Panama,PAN,2021-03-26,342716.0,243926.0,98790.0,5.0,4414831.0,5.525149207296949
18515,Panama,PAN,2021-03-27,352876.0,251650.0,101226.0,8.0,4414831.0,5.700104941729367
18516,Panama,PAN,2021-03-28,357431.0,255881.0,101550.0,14.0,4414831.0,5.79594099978006
18517,Panama,PAN,2021-03-29,358277.0,256704.0,101577.0,3.0,4414831.0,5.814582709961037
18518,Panama,PAN,2021-04-01,373491.0,269072.0,101722.0,6.0,4414831.0,6.094729333920142
18519,Panama,PAN,2021-04-05,387580.0,269747.0,117833.0,5.0,4414831.0,6.1100187073978605
18520,Panama,PAN,2021-04-06,408618.0,276374.0,132244.0,4.0,4414831.0,6.260126378563528
18521,Panama,PAN,2021-04-07,440787.0,300804.0,139983.0,3.0,4414831.0,6.813488443838508
18522,Panama,PAN,2021-04-08,456929.0,311480.0,145449.0,8.0,4414831.0,7.0553097049468025
18523,Panama,PAN,2021-04-09,478146.0,332630.0,145516.0,2.0,4414831.0,7.534376740581917
18524,Panama,PAN,2021-04-10,490911.0,345248.0,145663.0,4.0,4414831.0,7.820186095458694
18525,Panama,PAN,2021-04-12,505005.0,345894.0,159111.0,3.0,4414831.0,7.83481859214996
18526,Panama,PAN,2021-04-13,518629.0,349033.0,169596.0,4.0,4414831.0,7.905919841552259
18527,Panama,PAN,2021-04-14,529017.0,352276.0,176741.0,4.0,4414831.0,7.979376787016308
18528,Panama,PAN,2021-04-15,550860.0,368217.0,182643.0,6.0,4414831.0,8.340455161250793
18529,Panama,PAN,2021-04-16,557510.0,374250.0,183260.0,4.0,4414831.0,8.477108183756071
18530,Panama,PAN,2021-04-17,560691.0,377215.0,183476.0,6.0,4414831.0,8.544268172439669
18531,Panama,PAN,2021-04-18,564725.0,380939.0,183786.0,2.0,4414831.0,8.628620212189322
18532,Panama,PAN,2021-04-19,565471.0,381070.0,184401.0,2.0,4414831.0,8.631587483190183
18533,Panama,PAN,2021-04-20,569267.0,383997.0,185270.0,1.0,4414831.0,8.697886736774294
18534,Panama,PAN,2021-04-21,574212.0,388362.0,185850.0,1.0,4414831.0,8.796758018596861
18535,Panama,PAN,2021-04-22,590703.0,403926.0,186777.0,3.0,4414831.0,9.149296994607496
18536,Panama,PAN,2021-04-23,595807.0,408366.0,187441.0,4.0,4414831.0,9.249867095705364
18537,Panama,PAN,2021-04-24,608957.0,421297.0,187660.0,2.0,4414831.0,9.542766189691068
18538,Panama,PAN,2021-04-25,619190.0,431461.0,187729.0,2.0,4414831.0,9.772990177879967
18539,Panama,PAN,2021-04-26,622720.0,434695.0,188025.0,7.0,4414831.0,9.846243265030985
18540,Panama,PAN,2021-04-27,640507.0,452242.0,188265.0,2.0,4414831.0,10.243699022680596
18541,Panama,PAN,2021-04-28,643939.0,453873.0,190066.0,3.0,4414831.0,10.280642679187494
18542,Panama,PAN,2021-04-29,672159.0,482089.0,190070.0,4.0,4414831.0,10.919761141479707
18543,Panama,PAN,2021-05-05,706271.0,492348.0,213923.0,6.0,4414831.0,11.152136967417324
18544,Panama,PAN,2021-05-06,731189.0,496131.0,235058.0,4.0,4414831.0,11.237825411663547
18545,Panama,PAN,2021-05-07,758563.0,507759.0,250804.0,4.0,4414831.0,11.501210352106344
18546,Panama,PAN,2021-05-08,769842.0,514300.0,255542.0,3.0,4414831.0,11.649370043836331
18547,Panama,PAN,2021-05-09,770569.0,514959.0,255610.0,3.0,4414831.0,11.664297002535315
18548,Panama,PAN,2021-05-10,775995.0,518957.0,256998.0,7.0,4414831.0,11.754855395370742
18549,Panama,PAN,2021-05-11,778174.0,519371.0,258803.0,6.0,4414831.0,11.764232877770405
18550,Panama,PAN,2021-05-12,779163.0,520260.0,258903.0,6.0,4414831.0,11.78436954891365
