,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
18741,Papua New Guinea,PNG,2021-07-27,83123.0,74771.0,8352.0,0.0,9205355.0,0.81225547520981
18742,Papua New Guinea,PNG,2021-08-02,100409.0,83122.0,17287.0,0.0,9205355.0,0.9029744100037423
18743,Papua New Guinea,PNG,2021-08-16,113052.0,91962.0,21090.0,0.0,9205355.0,0.9990054701855604
18744,Papua New Guinea,PNG,2021-08-31,127334.0,98373.0,28961.0,0.0,9205355.0,1.0686497153015826
18745,Papua New Guinea,PNG,2021-09-07,134444.0,102739.0,31705.0,2.0,9205355.0,1.116078630318983
18746,Papua New Guinea,PNG,2021-09-14,154710.0,114419.0,40291.0,8.0,9205355.0,1.2429612980705254
18747,Papua New Guinea,PNG,2021-09-28,165070.0,119996.0,45074.0,1.0,9205355.0,1.3035455992734664
18748,Papua New Guinea,PNG,2021-10-05,194962.0,133741.0,61221.0,0.0,9205355.0,1.4528608619656709
18749,Papua New Guinea,PNG,2021-10-25,290513.0,183856.0,106657.0,0.0,9205355.0,1.9972722399081841
18750,Papua New Guinea,PNG,2021-11-22,435991.0,254708.0,181283.0,43.0,9205355.0,2.7669546693201945
18751,Papua New Guinea,PNG,2021-11-30,467166.0,269366.0,197800.0,1.0,9205355.0,2.92618807205154
18752,Papua New Guinea,PNG,2021-12-13,498598.0,282571.0,216027.0,0.0,9205355.0,3.069637184008656
18753,Papua New Guinea,PNG,2021-12-20,504018.0,283915.0,220103.0,0.0,9205355.0,3.0842373813937654
