,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
18754,Paraguay,PRY,2021-03-02,1634.0,1633.0,1.0,14.0,7263178.0,0.022483271097032183
18755,Paraguay,PRY,2021-03-03,1702.0,1699.0,3.0,17.0,7263178.0,0.02339196423383813
18756,Paraguay,PRY,2021-03-04,1733.0,1730.0,3.0,20.0,7263178.0,0.023818774646580325
18757,Paraguay,PRY,2021-03-05,1783.0,1780.0,3.0,21.0,7263178.0,0.02450717853809999
18758,Paraguay,PRY,2021-03-06,1784.0,1781.0,3.0,17.0,7263178.0,0.024520946615930385
18759,Paraguay,PRY,2021-03-08,1884.0,1881.0,3.0,16.0,7263178.0,0.025897754398969703
18760,Paraguay,PRY,2021-03-09,1934.0,1931.0,3.0,24.0,7263178.0,0.026586158290489367
18761,Paraguay,PRY,2021-03-10,2895.0,2892.0,3.0,25.0,7263178.0,0.039817281085497286
18762,Paraguay,PRY,2021-03-11,4726.0,4723.0,3.0,17.0,7263178.0,0.06502663159294733
18763,Paraguay,PRY,2021-03-12,7864.0,7861.0,3.0,27.0,7263178.0,0.10823085982472136
18764,Paraguay,PRY,2021-03-13,9932.0,9929.0,3.0,24.0,7263178.0,0.1367032447779746
18765,Paraguay,PRY,2021-03-14,11667.0,11664.0,3.0,25.0,7263178.0,0.1605908598137069
18766,Paraguay,PRY,2021-03-15,12103.0,11950.0,153.0,20.0,7263178.0,0.16452853007319934
18767,Paraguay,PRY,2021-03-16,13129.0,12631.0,498.0,20.0,7263178.0,0.17390459107569714
18768,Paraguay,PRY,2021-03-17,14007.0,13089.0,918.0,41.0,7263178.0,0.1802103707220173
18769,Paraguay,PRY,2021-03-18,14545.0,13322.0,1223.0,37.0,7263178.0,0.18341833285649886
18770,Paraguay,PRY,2021-03-19,14785.0,13407.0,1378.0,34.0,7263178.0,0.18458861947208235
18771,Paraguay,PRY,2021-03-20,14790.0,13412.0,1378.0,32.0,7263178.0,0.1846574598612343
18772,Paraguay,PRY,2021-03-21,14793.0,13415.0,1378.0,42.0,7263178.0,0.18469876409472544
18773,Paraguay,PRY,2021-03-22,14821.0,13418.0,1403.0,33.0,7263178.0,0.18474006832821666
18774,Paraguay,PRY,2021-03-23,19062.0,17553.0,1509.0,35.0,7263178.0,0.24167107015689274
18775,Paraguay,PRY,2021-03-24,24815.0,23226.0,1589.0,39.0,7263178.0,0.3197773756887137
18776,Paraguay,PRY,2021-03-25,30791.0,29167.0,1624.0,49.0,7263178.0,0.40157352607908003
18777,Paraguay,PRY,2021-03-26,35917.0,34261.0,1656.0,51.0,7263178.0,0.4717081145471033
