,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
18955,Peru,PER,2021-02-10,20425.0,20424.0,1.0,655.0,33553419.0,0.06087010089791446
18956,Peru,PER,2021-02-11,54541.0,54540.0,1.0,665.0,33553419.0,0.16254677354936614
18957,Peru,PER,2021-02-12,86910.0,86909.0,1.0,683.0,33553419.0,0.2590168232930301
18958,Peru,PER,2021-02-13,105760.0,105759.0,1.0,661.0,33553419.0,0.3151958970261719
18959,Peru,PER,2021-02-14,111111.0,111110.0,1.0,685.0,33553419.0,0.3311436011930706
18960,Peru,PER,2021-02-15,122587.0,122586.0,1.0,738.0,33553419.0,0.36534577892047293
18961,Peru,PER,2021-02-16,130123.0,130121.0,2.0,678.0,33553419.0,0.38780250680266
18962,Peru,PER,2021-02-17,134075.0,134073.0,2.0,688.0,33553419.0,0.399580740192229
18963,Peru,PER,2021-02-18,141476.0,141473.0,3.0,681.0,33553419.0,0.4216351245755313
18964,Peru,PER,2021-02-19,171993.0,171990.0,3.0,731.0,33553419.0,0.5125856175789418
18965,Peru,PER,2021-02-20,198112.0,198109.0,3.0,713.0,33553419.0,0.5904286534853572
18966,Peru,PER,2021-02-21,202671.0,202668.0,3.0,683.0,33553419.0,0.6040159424587999
18967,Peru,PER,2021-02-22,233171.0,233159.0,12.0,716.0,33553419.0,0.6948889470846473
18968,Peru,PER,2021-02-23,260548.0,260535.0,13.0,693.0,33553419.0,0.7764782480140102
18969,Peru,PER,2021-02-24,283474.0,283457.0,17.0,705.0,33553419.0,0.8447931938023961
18970,Peru,PER,2021-02-25,299343.0,299325.0,18.0,699.0,33553419.0,0.8920849466935098
18971,Peru,PER,2021-02-26,315263.0,315241.0,22.0,650.0,33553419.0,0.9395197550508936
18972,Peru,PER,2021-02-27,322115.0,322093.0,22.0,677.0,33553419.0,0.959940922860946
18973,Peru,PER,2021-02-28,323110.0,323088.0,22.0,678.0,33553419.0,0.962906343463836
18974,Peru,PER,2021-03-01,332411.0,332384.0,27.0,680.0,33553419.0,0.990611418764806
18975,Peru,PER,2021-03-02,341661.0,339491.0,2170.0,692.0,33553419.0,1.011792568739418
18976,Peru,PER,2021-03-03,360135.0,345912.0,14223.0,668.0,33553419.0,1.0309292176752538
18977,Peru,PER,2021-03-04,393262.0,349684.0,43578.0,732.0,33553419.0,1.04217099306631
