,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
20014,Romania,ROU,2021-01-17,204185.0,203310.0,875.0,66.0,19071925.0,1.0660171954325532
20015,Romania,ROU,2021-01-18,235239.0,233289.0,1950.0,57.0,19071925.0,1.2232063622313951
20016,Romania,ROU,2021-01-19,270046.0,267425.0,2621.0,50.0,19071925.0,1.4021919654151325
20017,Romania,ROU,2021-01-20,308384.0,302571.0,5813.0,98.0,19071925.0,1.5864733109007088
20018,Romania,ROU,2021-01-21,348096.0,338253.0,9843.0,116.0,19071925.0,1.7735650701227064
20019,Romania,ROU,2021-01-22,385936.0,374682.0,11254.0,69.0,19071925.0,1.9645735813243812
20020,Romania,ROU,2021-01-23,418885.0,406007.0,12878.0,74.0,19071925.0,2.1288202423195357
20021,Romania,ROU,2021-01-24,446285.0,433130.0,13155.0,94.0,19071925.0,2.2710345180153557
20022,Romania,ROU,2021-01-25,484631.0,459568.0,25063.0,54.0,19071925.0,2.409657126902502
20023,Romania,ROU,2021-01-26,528378.0,487712.0,40666.0,65.0,19071925.0,2.5572248213014683
20024,Romania,ROU,2021-01-27,570704.0,513430.0,57274.0,97.0,19071925.0,2.6920722475576015
20025,Romania,ROU,2021-01-28,609396.0,534347.0,75049.0,77.0,19071925.0,2.8017465462977653
20026,Romania,ROU,2021-01-29,647000.0,554925.0,92075.0,90.0,19071925.0,2.9096433632158263
20027,Romania,ROU,2021-01-30,672396.0,571092.0,101304.0,91.0,19071925.0,2.9944119432097183
20028,Romania,ROU,2021-01-31,691415.0,585219.0,106196.0,68.0,19071925.0,3.068484172415737
20029,Romania,ROU,2021-02-01,721184.0,598136.0,123048.0,71.0,19071925.0,3.1362119974779685
20030,Romania,ROU,2021-02-02,748732.0,610384.0,138348.0,67.0,19071925.0,3.2004320486788833
20031,Romania,ROU,2021-02-03,772202.0,620177.0,152025.0,111.0,19071925.0,3.2517797757698816
